arachin,Arakhin
avodah_zara,Avodah Zarah
bava_basra,Bava Batra
bava_kama,Bava Kamma
bava_metzia,Bava Metzia
bechoros,Bekhorot
beitzah,Beitzah
brachos,Berakhot
chagigah,Chagigah
chullin,Chullin
eruvin,Eruvin
gittin,Gittin
horious,Horayot
kerisos,Keritot
kesubos,Ketubot
kiddushin,Kiddushin
makkos,Makkot
megillah,Megillah
meilah,Meilah
menachos,Menachot
moed_katan,Moed Katan
nazir,Nazir
nedarim,Nedarim
niddah,Niddah
pesachim,Pesachim
rosh_hashana,Rosh Hashanah
sanhedrin,Sanhedrin
shabbos,Shabbat
shevous,Shevuot
sotah,Sotah
sukkah,Sukkah
taanis,Taanit
,Tamid
temurah,Temurah
yevamos,Yevamot
yoma,Yoma
zevachim,Zevachim
