עירובין מג ב,מפלרדסין,ברינדיזיום
עירובין מג א,מפלרדסין,ברינדיזיום
משנה עירובין ד א,ברינדיזי,ברינדיזיום
בבא בתרא עה א,פמיא,אפמיאה
תלמוד ירושלמי שביעית ו ו,מאיספמיא,אפמיאה
מכות יג א,לבצרה,בצרה
ויקרא רבה ה ד,לבוצרה,בצרה
בראשית רבה פג ג,בוצרה,בצרה
בראשית רבה פג ג,בוצרה,בצרה
"יומא י ע""א",פרת דמישון,בצרה
סדר עולם רבה,אשדוד,אשדוד
ערכין יג א,מבבל,בבל
סנהדרין צב ב,לבבל,בבל
בבא מציעא לד א,שבבל,בבל
כתובות עח ב,בבבל,בבל
כתובות עח ב,בבבל,בבל
יבמות יז א,בבל,בבל
חגיגה ד א,בבל,בבל
תענית יג א,בבבל,בבל
ביצה יח ב,בבל,בבל
סוכה לט ב,בבל,בבל
ביצה ג ב,מבבל,בבל
סוכה לט ב,בבל,בבל
סוכה לב ב,בבל,בבל
סוכה טז ב,בבבל,בבל
יומא ה ב,בבבל,בבל
תלמוד ירושלמי כתובות ב ז,גנמרין,בית נמר
תוספתא בכורות ז ג,נמרי,בית נמר
תוספתא יומא ד ג,נמרים,בית נמר
איכה רבה א ו,מאיתנס,אתונה
ביצה יח ב,ביתר,ביתר
עירובין יט א,דורמסקנין,דמשק
סדר עולם רבה,דמשק,דמשק
סדר עולם רבה,דמשק,דמשק
בראשית רבה פו ה,בדמשק,דמשק
בראשית רבה צו ד,אפרתה,אפרת
בראשית רבה פב י,אפרתה,אפרת
פסחים ט ב,גניסר,גינוסר
תלמוד ירושלמי מעשרות א ב,גיניסר,גינוסר
תוספתא עירובין ז יג,גניסר,גינוסר
ערכין לב ב,וגדור,גדור
ערכין לב ב,גדור,גדור
ערכין לב ב,גדור,גדור
ערכין לב א,וגדור,גדור
מגילה ו א,גדר,גדור
ביצה כב א,שלגדר,גדור
ביצה כג ב,גדיר,גדור
תלמוד ירושלמי ראש השנה א ו,גדר,גדור
משנה ערכין ט ו,גדור,גדור
תוספתא ראש השנה א יז,גדור,גדור
סיפרא,גדור,גדור
תוספתא מכות ג ב,גולן,גולן (בשן)
סנהדרין עב א,עזה,עזה
סדר עולם רבה,עזה,עזה
זבחים קיט א,שבגלגל,גלגלה
מגילה י א,ושבגלגל,גלגלה
תענית יז א,בגלגל,גלגלה
סדר עולם רבה,גלגל,גלגלה
סדר עולם רבה,גלגל,גלגלה
רות רבה,לגלגל,גלגלה
מנחות פה א,לחפריים,חפםרים
משנה מנחות ח א,עפרים,חפםרים
תוספתא מנחות ט ב,עפרים,חפםרים
ויקרא רבה טז ח,מפרתים,חפםרים
בראשית רבה פו ה,בעפרו,חפםרים
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,שבחברון,חברון
ראש השנה כח ב,בחברון,חברון
ראש השנה כח ב,שבחברון,חברון
