en_name,he_name,lat,lng,wikidata_id,plaedias_id
Arraba,ערבה,32.84476857,35.33849861,Q2568887,
Brundisium,ברינדיזיום,40.64114,17.94687,,442509
Ephrata,אפמיאה,35.41675,36.39475,,999112
Bozrah,בצרה,30.745843,35.603919,Q4952895,
Ashqelon,אשקלון,31.66181578,34.54596751,,687839
Ashdod,אשדוד,31.7608365,34.65407,,687838
Babylon,בבל,32.53617,44.42082,,893951
,בית נמר,31.8973067,35.622521,,
Athenae,אתונה,37.97281915,23.72374385,,579885
Bethar,ביתר,31.72662053,35.12583483,,687851
Scythopolis,סקיתופוליס,32.49282998,35.4975736,,678378
Damascus,דמשק,33.51161,36.3091,,678106
Efrat,אפרת,31.69958915,35.19969662,,
Gennesar,גינוסר,32.86244851,35.53083444,,678155
Gador,גדור,32.03213768,35.73958056,,
Golan (Bashan),גולן (בשן),32.97901264,35.72382253,,
Gaza,עזה,31.50396,34.46203,,
Gilgalah,גלגלה,31.84357521,35.4849376,,
,חפםרים,32.606138,35.449647,,
Hebron,חברון,31.51917712,35.104953,,687915
Lod,לוד,31.95172115,34.89294729,,
,ננוה,36.34773,43.1609,,
Paneas,פיניאס,33.24962751,35.69322552,,678324
Nov,נוב,32.82545127,35.78700256,,
Stratonos Pyrgos,קיסריה,32.50179818,34.89106501,,678401
Neapolis,שכם,32.2136161,35.25270639,,678301
Roma,רומא,41.9028,12.4964,,423025
,תדמור,34.55357,38.26148,,999184
,שושן,37.5,41.5,,
Tiberias,טבריה,32.77225233,35.54117793,,678431
Sidon,צידון,33.560328,35.37324,,678393
Sepphoris,ציפורי,32.74563412,35.27433054,,678387
Acre,עכו,32.92589631,35.04995025,Q126084,678010
Ierusalem,ירושלים,31.78075456,35.22080767,,687928
,צוער,31.03192631,35.46158328,,
Usha,אושה,32.799414,35.146701,,
,גבעה,31.82316,35.231051,,
Hierichous,יריחו,31.85267959,35.44270208,,687917
,פי רעמסס,30.798889,31.835833,,
Ioppe,יפו,32.05046754,34.74437601,,687931
,עי,31.916944,35.261111,,
Alexandria,אלכסנדריה,31.21564,29.95527,,727070
,קדש,33.111638,35.529517,,
Hippos,היפוס,32.778889,35.659444,,678185
Carrhae,חרן,36.8775,39.033889,,658427
Sakhnin,סכנין,32.866667,35.3,,
,אנטיוכיה,36.20066,36.16532,,999103
Pegai,אנטיפטריס,32.10510047,34.92421176,,687996
Edessa,אדסה,37.1625575,38.781432,Q1190403,658457
,נציבין,37.06864,41.21462,,
Ctesiphon,קטסיפון,33.094703,44.58122267,,893976
Beirut,בירות,33.8985935,35.511241,,678060
Neue,נווה,32.889163,36.0422425,,678307
Haluza,חלוצה,31.097,34.652,Q923921,
Esbous,אסבוס,31.786736,35.801042,,697662
Tel Hazor,חצור,33.018333,35.569167,Q740138,
Jezreel,יזרעאל,32.557853,35.327953,Q2914898,
