"Date","Parashah","Aliyah","Reading","Verses"
01-Oct-2011,"Ha'Azinu",1,"Deuteronomy 32:1 - 32:6",6
01-Oct-2011,"Ha'Azinu",2,"Deuteronomy 32:7 - 32:12",6
01-Oct-2011,"Ha'Azinu",3,"Deuteronomy 32:13 - 32:18",6
01-Oct-2011,"Ha'Azinu",4,"Deuteronomy 32:19 - 32:28",10
01-Oct-2011,"Ha'Azinu",5,"Deuteronomy 32:29 - 32:39",11
01-Oct-2011,"Ha'Azinu",6,"Deuteronomy 32:40 - 32:43",4
01-Oct-2011,"Ha'Azinu",7,"Deuteronomy 32:44 - 32:52",9
01-Oct-2011,"Ha'Azinu","maf","Deuteronomy 32:48 - 32:52",5
01-Oct-2011,"Ha'Azinu","Haftara","Hosea 14:2-10; Micah 7:18-20; Joel 2:15-27 | Shabbat Shuva",

22-Oct-2011,"Bereshit",1,"Genesis 1:1 - 2:3",34
22-Oct-2011,"Bereshit",2,"Genesis 2:4 - 2:19",16
22-Oct-2011,"Bereshit",3,"Genesis 2:20 - 3:21",27
22-Oct-2011,"Bereshit",4,"Genesis 3:22 - 4:18",21
22-Oct-2011,"Bereshit",5,"Genesis 4:19 - 4:22",4
22-Oct-2011,"Bereshit",6,"Genesis 4:23 - 5:24",28
22-Oct-2011,"Bereshit",7,"Genesis 5:25 - 6:8",16
22-Oct-2011,"Bereshit","maf","Genesis 6:5 - 6:8",4
22-Oct-2011,"Bereshit","Haftara","Isaiah 42:5 - 43:10",

29-Oct-2011,"Noach",1,"Genesis 6:9 - 6:22",14
29-Oct-2011,"Noach",2,"Genesis 7:1 - 7:16",16
29-Oct-2011,"Noach",3,"Genesis 7:17 - 8:14",22
29-Oct-2011,"Noach",4,"Genesis 8:15 - 9:7",15
29-Oct-2011,"Noach",5,"Genesis 9:8 - 9:17",10
29-Oct-2011,"Noach",6,"Genesis 9:18 - 10:32",44
29-Oct-2011,"Noach",7,"Genesis 11:1 - 11:32",32
29-Oct-2011,"Noach","maf","Numbers 28:9 - 28:15 | Shabbat Rosh Chodesh",7
29-Oct-2011,"Noach","Haftara","Isaiah 66:1 - 66:24 | Shabbat Rosh Chodesh",

05-Nov-2011,"Lech-Lecha",1,"Genesis 12:1 - 12:13",13
05-Nov-2011,"Lech-Lecha",2,"Genesis 12:14 - 13:4",11
05-Nov-2011,"Lech-Lecha",3,"Genesis 13:5 - 13:18",14
05-Nov-2011,"Lech-Lecha",4,"Genesis 14:1 - 14:20",20
05-Nov-2011,"Lech-Lecha",5,"Genesis 14:21 - 15:6",10
05-Nov-2011,"Lech-Lecha",6,"Genesis 15:7 - 17:6",37
05-Nov-2011,"Lech-Lecha",7,"Genesis 17:7 - 17:27",21
05-Nov-2011,"Lech-Lecha","maf","Genesis 17:24 - 17:27",4
05-Nov-2011,"Lech-Lecha","Haftara","Isaiah 40:27 - 41:16",

12-Nov-2011,"Vayera",1,"Genesis 18:1 - 18:14",14
