Day,Ref
1,Psalms 1-9
2,Psalms 10-17
3,Psalms 18-22
4,Psalms 23-28
5,Psalms 29-34
6,Psalms 35-38
7,Psalms 39-43
8,Psalms 44-48
9,Psalms 49-54
10,Psalms 55-59
11,Psalms 60-65
12,Psalms 66-68
13,Psalms 69-71
14,Psalms 72-76
15,Psalms 77-78
16,Psalms 79-82
17,Psalms 83-87
18,Psalms 88-89
19,Psalms 90-96
20,Psalms 97-103
21,Psalms 104-105
22,Psalms 106-107
23,Psalms 108-112
24,Psalms 113-118
25,Psalm 119:1-96
26,Psalm 119:97-176
27,Psalms 120-134
28,Psalms 135-139
29,Psalms 140-144
30,Psalms 145-150 
