commentary ref,base ref,commentary text match,base text match
Yad Ramah on Sanhedrin.2b.3,Sanhedrin.2b.21 - 3a.1,"אחד דיני ממונות ואחד דיני נפשות בדו""ח שנאמר משפט אחד יהי' לכם","אחד דיני ממונות ואחד דיני נפשות בדרישה ובחקירה שנאמר (ויקרא כד, כב) משפט אחד יהיה לכם"
Chidushei_Halachot_on_Shabbat.15a.1,Rashi_on_Shabbat.15a.22.1,שני גרדיים משער האשפות - במסכת עדיות מפ' למה הוזכר שם אומנותם ושם מקומם,שני גרדיים כו' במסכת עדיות מפרש למה הוזכר שם כו'
Chidushei_Halachot_on_Shabbat.121a.1,Tosafot_on_Shabbat.129a.20,רבא משמיה כו' דמסתמא ביום ח' היה קודם מילה כו' דלאחר מילה כו',רבא משמיה דרב יהודה אמר שבעה - לכאורה משמע דרבא לטעמיה דבפרק הדר (עירובין דף סח.) גבי ההוא ינוקא דאישתפוך חמימיה אמר להו רבא נישייליה לאימיה אם צריכה ניחיימו אגב אימיה דמסתמא ביום שמיני היה קודם מילה שהיה צריך חמין למולו דלאחר מילה מסוכן הוא
Chidushei_Halachot_on_Shabbat.50a.1,Shabbat.52a.11-12,או דילמא זימנין דרפו ונפיל ואתי לאתויי ד' כו',"או דילמא זימנין דרפי ונפיל ואתי לאתויי ד""א ברה""ר"
Chidushei_Halachot_on_Shabbat.50a.2,Shabbat.52a.45-46,רבינא אמר במורדת כו',רבינא אמר במורד'
Chidushei_Halachot_on_Shabbat.50a.3,Shabbat.52a.65,"דאי ס""ד דרב דימי נמשכין קאמר מדרב יהודה אמר שמואל כו'","דאי ס""ד דרב דימי נמשכין קאמר מדרב יהודה אמר שמואל נפקא"
Chidushei_Halachot_on_Shabbat.141a,Rashi_on_Shabbat.150a.65.1,של מלך של עצה שאינה שלו כו',של מלך - של עצה שאינו שלו
Chidushei_Halachot_on_Shabbat.141a.2,Tosafot_on_Shabbat.150a.12.1,"מה לי כו' וי""ל דא""כ מאי אריא חבירו אפי' הוא כו' דשאם יש בורגנין הולך כו'","מה לי הוא ומה לי חבירו - ואם תאמר ונימא דחבירו היינו דאמר ליה שכור לי פועלים למחר וי""ל דא""כ מאי איריא חבירו אפי' הוא נמי לא מצי למימר אשכור פועלים למחר דעד כאן לא קאמר רב יהודה אמר שמואל מותר לאדם לומר לחבירו לכרך פלוני אני הולך למחר אלא משום דשאם יש בורגנין הולך הא לאו הכי לא"
Chidushei_Halachot_on_Shabbat.141a.3,Tosafot_on_Shabbat.150a.19.1,"אומר אדם כו' עמי לערב י""א דדוקא כו' שהוא עושה לדעת אותה אמירה ואין נראה דהא כו' והרהור מותר וא""כ לא שנא נכרי כו'","אומר אדם לחבירו הנראה שתעמוד עמי לערב - י""א דדווקא לחבירו אבל לנכרי אסור לפי שהוא [עושה] לדעת אותה [אמירה] ואינו נראה דהא שרינן ליה הכא משו' דדבור אסור והרהור מותר [א""כ] ל""ש נכרי ל""ש ישראל"
Chidushei_Halachot_on_Shabbat.146a.1,Shabbat.154b.14-15,דיקא נמי דקתני דומיא דטבל מה טבל לא חזי כו',דיקא נמי דקתני דומיא דטבל מה טבל דלא חזי ליה
Chidushei_Halachot_on_Shabbat.146a.2,Shabbat.154b.50-51,אלא התם בגואזא ופרסכנא,אלא התם בגואזא פרסכנא
Ritva_on_Sukkah.4b.1,Sukkah.4b.2-3,"מ""ש התם דמכשרינן פחות מארבע והכא לא מכשרינן אלא בפחות משלשה ופרקינן התם דהיא דופן ולא מיבעיא לן אלא לקרבה לסוכה אמרינן דופן עקומה ובפחות מארבע אמו' סגי הכא דלשויי דופן דהא לא הויא דופן כי היכא דנימא דופן עקומה ובעינן למעבדה דופן אי איכא פחות משלשה דהוי לבוד אין ואי לא לא",מאי שנא התם דאמרת פחות מארבע אמות ומאי שנא הכא דאמרת פחות משלשה טפחים התם דאיתיה לדופן פחות מארבע אמות סגיא הכא לשוויי לדופן פחות משלשה טפחים אין אי לא לא
Ritva_on_Sukkah.4b.2,Sukkah.4b.4,היתה גבוהה מעשרים אמה ובנה בה עמוד גבוה עשרה,היתה גבוהה מעשרים אמה ובנה בה עמוד שהוא גבוה עשרה טפחים
