Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,נחמיה איש בית דלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שמואל הקטן,,Shmuel haKatan,שמואל הקטן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel%20haKatan,,,,,,,,,,,,,,
,רבי מתיא,,Rabbi Mattia b. Heresh,רבי מתיא בן חרש,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Mattia%20b.%20Heresh,,,,,,,,,,,,,,
,רבי נתן,,Rabbi Natan haBavli,רבי נתן הבבלי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Natan%20haBavli,,,,,,,,,,,,,,
,אדמון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יוחנן החורני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר ישמעאל בן פיאבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,הורקנוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,טיטוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בן סטדא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יוחנן בן בג בג,,Ben Bag Bag,בן בג בג,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Ben%20Bag%20Bag,,,,,,,,,,,,,,
,אימא שלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר ישמעאל בן אלישע,,Rabbi Yishmael b. Elisha,רבי ישמעאל בן אלישע,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,,,,,,,,,,,,,,
,ר אלעזר בן פרטא,,Rabbi Eliezar b. Parta,רבי אליעזר בן פרטא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Eliezar%20b.%20Parta,,,,,,,,,,,,,,
,רבי חנניה בן חכינאי,,Rabbi Hananyah b. Hakhinai,רבי חנינה בן חכינאי,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Hananyah%20b.%20Hakhinai,,,,,,,,,,,,,,
,רבי אלעזר בן שמעון,,Rabbi Elazar b. Shimon,רבי אלעזר בן שמעון,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,,,,,,,,,,,,,,
,רבי מאיר,,Rabbi Meir,רבי מאיר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Meir,,,,,,,,,,,,,,
,בן ציצית הכסת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יהודה בן קנוסא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר אלעזר חסמא,,Rabbi Eliezar Hisma,רבי אליאזר בן חיסמא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Eliezar%20Hisma,,,,,,,,,,,,,,
,בר כוכבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אלעזר בן חרסום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יוסי בר ר יהודה,,Rabbi Yose b. Yehudah,רבי יוסי בן יהודה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,,,,,,,,,,,,,,
,ר יוחנן הסנדלר,,Rabbi Yohanan haSandlar,רבי יוחנן הסנדלר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,,,,,,
,אותו האיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יהודה בן דורתאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חמי בר חנינה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,פלימו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יהושע,,Rabbi Yehoshua b. Hananyah,רבי יהושע בן חנניה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Hananyah,,,,,,,,,,,,,,
,ר יוסי דפקיעין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שמעון התימני,,Shimon haTimni,שמעון התימני,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20haTimni,,,,,,,,,,,,,,
,ציצית הכסת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יהושע בן פתר ראש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שמעון העמסוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבא יודן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יוסי בר חלפתא,,Rabbi Yose b. Halafta,רבי יוסי בן חלפתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,,,,,,,,,,,,,,
,אחר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי זכריה בן הקצב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חנן בן אבישלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,הורדוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי נחוניא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,לולינוס ופפוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבן שמעון בן גמליאל,,Rabban Shimon b. Gamliel,רבן שמעון בן גמליאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),,,,,,,,,,,,,,
,גביעא בן פסיסא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בן עזאי,,Shimon b. Azzai,שמעון בן עזאי,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Shimon%20b.%20Azzai,,,,,,,,,,,,,,
,רבי אלעזר בר יוסי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אלישע בן אבויה,,Elisha b. Avuyah,אלישע בן אבויה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Elisha%20b.%20Avuyah,,,,,,,,,,,,,,
,רבי אלעזר בן חסמא,רבי אלעזר בן חסמא,Rabbi Eliezar Hisma,רבי אליאזר בן חיסמא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Eliezar%20Hisma,,,,,,,,,,,,,,
,רבי שמעון בן נתנאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,טבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי פנחס בן יאיר,,Rabbi Pinehas b. Yair,רבי פנחס בן יאיר,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pinehas%20b.%20Yair,,,,,,,,,,,,,,
,רבי טרפון,,Rabbi Tarfon,רבי טרפון‎,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Tarfon,,,,,,,,,,,,,,
,רבי יוחנן בן נורי,,Rabbi Yohanan b. Nuri,רבי יוחנן בן נורי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,,,,,,,,,,,,,,
,טורנוס רופוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בר קפרא,,Bar Kappara,בר קפרא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Bar%20Kappara,,,,,,,,,,,,,,
,רבי דוסא בן הרכינס,,Rabbi Dosa b. Harkinas,רבי דוסא בן הרכינס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Dosa%20b.%20Harkinas,,,,,,,,,,,,,,
,רבי חמא בר רבי חנינא,,Rabbi Hama b. Hanina,רבי חמא בר חנינא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Hama%20b.%20Hanina,,,,,,,,,,,,,,
,נקדימון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי,,Rabbi Yehudah haNasi,רבי יהודה הנשיא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Yehudah%20haNasi,,,,,,,,,,,,,,
,אבא חלפתא,,Rabbi Halafta,רבי חלפתא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Halafta,,,,,,,,,,,,,,
,שמעון הפקולי,,Shimon haPaqoli,שמעון הפקולי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20haPaqoli,,,,,,,,,,,,,,
,רבי שמעון בן אלעזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,עקביא בן מהללאל,,Akavyah b. Mahalal'el,עקביא בן מהללאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Akavyah%20b.%20Mahalal'el,,,,,,,,,,,,,,
,ינאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,סומכוס,,Summakhos,סומכוס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Summakhos,,,,,,,,,,,,,,
,אנשי כנסת הגדולה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יהודה המכבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
