ID,Name,He Name,Edge,Value,Value ID
Q4416778,Abigail,אביגיל,has gender,female,
Q4416778,Abigail,אביגיל,spouse of,David,Q41370
Q4416778,Abigail,אביגיל,parent of,Chileab,Q2418113
Q4416778,Abigail,אביגיל,spouse of,Nabal,Q1709507
Q360378,Adonijah,אדוניה,alternate spelling of,אדניה,
Q360378,Adonijah,אדוניה,child of,David,Q41370
Q360378,Adonijah,אדוניה,alternate spelling of,אדוניה בן חגית,
Q360378,Adonijah,אדוניה,has gender,male,
Q360378,Adonijah,אדוניה,alternate spelling of,אדוניהו,
Q1143157,Jair,יאיר הגלעדי,has role,שופט,
Q1143157,Jair,יאיר הגלעדי,has gender,male,
Q661074,Onan,אונן,child of,Judah's wife,Q30226372
Q661074,Onan,אונן,spouse of,Tamar,Q1030008
Q661074,Onan,אונן,has gender,male,
Q661074,Onan,אונן,child of,Judah,Q282220
Q927410,Jared,ירד,child of,Mahalalel,Q10297002
Q927410,Jared,ירד,has gender,male,
Q927410,Jared,ירד,has transliteration,Jered,
Q32945196,Havilah,חוילה,has gender,male,
Q32945196,Havilah,חוילה,child of,Cush,Q1138595
Q400257,Ahimelech,אחימלך בן אחיטוב,parent of,Abiathar,Q321804
Q400257,Ahimelech,אחימלך בן אחיטוב,has gender,male,
Q400257,Ahimelech,אחימלך בן אחיטוב,has role,כהן גדול,
Q7800767,Tidal,תדעל,has gender,male,
Q1330627,Elishah,אלישה,has gender,male,
Q1330627,Elishah,אלישה,child of,Javan,Q1684266
Q235901,Ahab,אחאב,alternate spelling of,אַחְאָב,
Q235901,Ahab,אחאב,has gender,male,
Q235901,Ahab,אחאב,has role,מלך ישראל,
Q235901,Ahab,אחאב,child of,Omri,Q313221
Q235901,Ahab,אחאב,parent of,Ahaziah of Israel,Q313213
Q235901,Ahab,אחאב,parent of,Jehoram of Israel,Q334739
Q235901,Ahab,אחאב,parent of,Athaliah,Q463934
Q235901,Ahab,אחאב,spouse of,Jezebel,Q721295
Q8183887,Abednego,,has gender,male,
Q8183887,Abednego,,has transliteration,Azaria,
Q2825091,Adriel,עדריאל המחולתי,has gender,male,
Q3860078,Potiphar's wife,,has gender,female,
Q3860078,Potiphar's wife,,parent of,Asenath,Q723681
Q3860078,Potiphar's wife,,has transliteration,Zulaika,
