sefaria_key,bonayich,bonayich_name,comments,Slug
Rabbi Abba,7,אבא [ב],,rabbi-abba
Rabbi Abba b. Hiyya b. Abba,34,אבא בר חייא בר אבא,,rabbi-abba-b-r-hiyya-b-abba
Abba Shaul,2696,שאול [א],,abba-shaul
Rabbi Abbahu,92,אבהו [א],,rabbi-avuha
Avuha Di Shmuel,106,אבוה דשמואל,,avuha-di-shmuel
Avtalyon,118,אבטליון,,avtalyon
Abaye,121,אביי,,abaye
Avimi,129,אבימי [א],,avimi
Avimi b. Abbahu,131,אבימי בר אבהו,,avimi-b-abbahu
Rabbi Avin b. Ravin,139,אבין [א],"on basis of Jewish encyclopedia link that lists traversing fellow as 4 & 5th gen, and Bonayich that lists as Eretz Yisrael and Bavel intermittently",rabbi-avin-(ravin)
Rav Adda b. Ahavah (II),195,אדא בר אהבה [ב],,rav-adda-b-ahavah-(ii)
Rav Adda b. Ahavah (I),194,אדא בר אהבה [א],,rav-adda-b-ahavah-(i)
Aquilas,2472,עקילס הגר,,aquilas
Rabbi Oshaya Rabbah,239,אושעיא [א],,rabbi-oshaya
Rabbi Aha,257,אחא [ב],,rav-aha
Rav Aha b. Ya'akov,286,אחא בר יעקב,,rav-aha-b-yaakov
Rav Aha b. Rava,297,אחא בר רבא,,rav-aha-b-rava
Rav Idi b. Avin (II),344,אידי בר אבין [ב],,rav-idi-b-avin-(ii)
Rav Idi b. Avin (I),343,אידי בר אבין [א],,rav-idi-b-avin-(i)
Rabbi Eliezer b. Hyrcanus,417,אליעזר (בן הורקנוס),,rabbi-eliezer-b-hyrcanus
Rabbi Elazar b. Yose,446,אלעזר בר יוסי [ב],,rabbi-elazar-b-yose
Rabbi Eliezer b. Yose haGelili,447,אלעזר בר יוסי הגלילי,,rabbi-eliezer-b-r-yose-hagelili
Rabbi Eliezer b. Ya'akov,450,אליעזר בן יעקב [א],,rabbi-eliezer-b-yaakov-(i)
Elisha b. Avuyah,404,אלישע בן אבויה,,elisha-ben-abuya
Rabbi Elazar b. Azaryah,465,אלעזר בן עזריה,,rabbi-elazar-b-azaryah
Rabbi Elazar b. Arakh,466,אלעזר בר ערך,,rabbi-elazar-b-arakh
Rabbi Elazar b. Pedat,467,אלעזר בר פדת,,rabbi-elazar-b-pedat
Rabbi Elazar b. Tzadok (I),475,אלעזר בר צדוק [א],,rabbi-elazar-b-tzadok-(i)
Rabbi Elazar b. Tzadok (II),476,אלעזר בר צדוק [ב],,rabbi-elazar-b-tzadok-(ii)
Rabbi Elazar b. Shamu'a,477,אלעזר בר שמוע,,rabbi-elazar-b-shamua
Rabbi Elazar b. Shimon,478,אלעזר בר שמעון,,rabbi-elazar-b-shimon
Rabbi Elazar haModa'i,484,אלעזר המודעי,,rabbi-elazar-hamodai
Rabbi Elazar haKappar,485,אלעזר הקפר,,rabbi-elazar-hakappar
Rabbi Ammi,495,אמי [א],,rabbi-ammi
Amemar,514,אמימר,,amemar
Antigonus of Sokho,522,אנטיגנוס איש סוכו,,antigonus-of-sokho
Rav Assi,534,אסי [א],,rav-assi
Rabbi Assi,535,אסי [ב],,rabbi-assi
Rabbi Aphes,557,אפס,,rabbi-aphes
Rav Ashi,571,אשי,,rav-ashi
Bava b. Buta,585,בבא בר בוטא,,bava-b-buta
Rav Bivi b. Abaye,602,ביבי בר אביי,,rav-bivi-b-abaye
Ben He He,645,בן הא הא,,ben-he-he
