Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
נחמיה איש בית דלי,רבי נחמיה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehemyah,,,,,,,,,,,,,,
שמואל הקטן,שמואל הקטן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel%20haKatan,,,,,,,,,,,,,,
רבי מתיא,רבי מתיא בן חרש,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Mattia%20b.%20Heresh,,,,,,,,,,,,,,
רבי נתן,רבי נתן הבבלי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Natan%20haBavli,,,,,,,,,,,,,,
אדמון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר יוחנן החורני,רבן יוחנן בן זכאי‎,רבי יוחנן בן ברוקה,רבי יוחנן בן נורי,רבי יוחנן בן תורתא,יוחנן בן דהבאי,רבי יוחנן הסנדלר,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,https://www.sefaria.org/person/Yohanan%20b.%20Dahavai,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,
ר ישמעאל בן פיאבי,רבי ישמעאל בן אלישע,רבי ישמעאל יוחנן בן ברוקה,רבי ישמעאל בן יוסי,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Yose,,,,,,,,,,,,
הורקנוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טיטוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בן סטדא,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
יוחנן בן בג בג,רבן יוחנן בן זכאי‎,רבי יוחנן בן ברוקה,רבי יוחנן בן נורי,רבי יוחנן בן תורתא,יוחנן בן דהבאי,רבי יוחנן הסנדלר,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Berokah,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Nuri,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,https://www.sefaria.org/person/Yohanan%20b.%20Dahavai,https://www.sefaria.org/person/Rabbi%20Yohanan%20haSandlar,,,,,,,,,
אימא שלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר ישמעאל בן אלישע,רבי ישמעאל בן אלישע,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,,,,,,,,,,,,,,
