Name,Match Name 1,Match Name 2,Match Name 3,Match URL 1,Match URL 2,Match URL 3
שמשון,שמשון,,,https://www.wikidata.org/wiki/Q214648,,
בארה,,,,,,
סיחון,סיחון,,,https://www.wikidata.org/wiki/Q887987,,
ציבא,,,,,,
איש בושת,איש בושת,,,https://www.wikidata.org/wiki/Q313238,,
איוב וחבריו,איוב,,,https://www.wikidata.org/wiki/Q179962,,
אגור,אגור בן יקה,,,https://www.wikidata.org/wiki/Q398663,,
מחלון וכליון,מחלון,,,https://www.wikidata.org/wiki/Q9026972,,
אהוד,אהוד בן גרא,,,https://www.wikidata.org/wiki/Q1300996,,
נמרוד,נמרוד,,,https://www.wikidata.org/wiki/Q201861,,
יהושע כהן גדול,יהושע בן יהוצדק,יהושע בן נון,,https://www.wikidata.org/wiki/Q783824,https://www.wikidata.org/wiki/Q7734,
בלדד,,,,,,
יקטן,יקטן,,,https://www.wikidata.org/wiki/Q1553059,,
יהוידע,יהוידע הכהן,,,https://www.wikidata.org/wiki/Q2194240,,
אלישבע,אלישבע בת עמינדב,,,https://www.wikidata.org/wiki/Q2916801,,
הרן,הרן,,,https://www.wikidata.org/wiki/Q1199156,,
חזאל,,,,,,
נתנאל,,,,,,
שלומיאל,,,,,,
הושע המלך,הושע בן בארי,,,https://www.wikidata.org/wiki/Q665541,,
אליפז,אליפז בן עשו,,,https://www.wikidata.org/wiki/Q2899130,,
בניהו,בניהו בן יהוידע,,,https://www.wikidata.org/wiki/Q816667,,
שת,שת,,,https://www.wikidata.org/wiki/Q107626,,
דוד,דוד,,,https://www.wikidata.org/wiki/Q41370,,
חבקוק,,,,,,
עמשא,עמשא בן יתר,,,https://www.wikidata.org/wiki/Q2689456,,
שפרה ופועה,שפרה,,,https://www.wikidata.org/wiki/Q767434,,
צלה,צלה,,,https://www.wikidata.org/wiki/Q203082,,
עבר בנו של שם,עבר,,,https://www.wikidata.org/wiki/Q502282,,
מנשה המלך,מנשה,,,https://www.wikidata.org/wiki/Q156328,,
המן,המן האגגי,,,https://www.wikidata.org/wiki/Q650680,,
און בן פלת,און בן פלת,,,https://www.wikidata.org/wiki/Q18227832,,
אמתלאה,,,,,,
שלום בן תקוה,,,,,,
שונמית,,,,,,
לבן,לבן הארמי,,,https://www.wikidata.org/wiki/Q840401,,
נבוזראדן,נבוזראדן,,,https://www.wikidata.org/wiki/Q6903514,,
נחמיה,,,,,,
יעל אשת חבר הקיני,יעל אשת חבר הקיני,,,https://www.wikidata.org/wiki/Q954820,,
ידותון,,,,,,
מיכה הנביא,,,,,,
הושע הנביא,הושע בן בארי,,,https://www.wikidata.org/wiki/Q665541,,
יהויקים,יהויקים,,,https://www.wikidata.org/wiki/Q319034,,
יהוא,יהוא בן חנני,,,https://www.wikidata.org/wiki/Q1686571,,
עמוס,,,,,,
עידית,,,,,,
מישאל ואלצפן,,,,,,
גד,גד,,גד החוזה,https://www.wikidata.org/wiki/Q851749,,https://www.wikidata.org/wiki/Q2559051
פרץ,פרץ,,,https://www.wikidata.org/wiki/Q1814684,,
למך,למך בן מתושלח,למך בן מתושאל,,https://www.wikidata.org/wiki/Q10921342,https://www.wikidata.org/wiki/Q155852,
כלאב,כלאב,,,https://www.wikidata.org/wiki/Q2418113,,
למואל,,,,,,
נון,נון,,,https://www.wikidata.org/wiki/Q3344859,,
תמר אבשלום,תמר,,,https://www.wikidata.org/wiki/Q30148909,,
ממרא,,,,,,
חיאל,,,,,,
שבנא,,,,,,
אבשלום,אבשלום,,,https://www.wikidata.org/wiki/Q205372,,
אביאל,אביאל בן צרור,,,https://www.wikidata.org/wiki/Q16128781,,
ושתי,ושתי,,,https://www.wikidata.org/wiki/Q1889603,,
עשהאל,,,,,,
פוטיאל,,,,,,
