Hebrew Name,English Name,URL
חוילה,Havilah,https://www.wikidata.org/wiki/Q32945196
תדעל,Tidal,https://www.wikidata.org/wiki/Q7800767
אלישה,Elishah,https://www.wikidata.org/wiki/Q1330627
עדריאל המחולתי,Adriel,https://www.wikidata.org/wiki/Q2825091
קדמה,Kedemah,https://www.wikidata.org/wiki/Q11944201
שלח,Salah,https://www.wikidata.org/wiki/Q1827950
טוביה,Tobias,https://www.wikidata.org/wiki/Q1412773
זרח,Zerah,https://www.wikidata.org/wiki/Q3223065
מלכת שבא,Queen of Sheba,https://www.wikidata.org/wiki/Q159888
מתושאל,Methusael,https://www.wikidata.org/wiki/Q10329289
גיחזי,Gehazi,https://www.wikidata.org/wiki/Q977435
יונתן בן אביתר,Q20502598,https://www.wikidata.org/wiki/Q20502598
בגתא,Bigta,https://www.wikidata.org/wiki/Q859753
נפיש,Naphish,https://www.wikidata.org/wiki/Q10335361
גומר בן יפת,Gomer,https://www.wikidata.org/wiki/Q1148172
נבוכדנצר השני,Nebuchadnezzar II,https://www.wikidata.org/wiki/Q12591
תגרמה,Togarmah,https://www.wikidata.org/wiki/Q1068499
כוש בן חם,Cush,https://www.wikidata.org/wiki/Q1138595
צביה,Zibiah,https://www.wikidata.org/wiki/Q8071446
מחלת,Mahalath,https://www.wikidata.org/wiki/Q2669401
עוץ,Uz,https://www.wikidata.org/wiki/Q47010789
חלקיהו בן שלום,Hilkiah,https://www.wikidata.org/wiki/Q3276278
בת-שוע,Judah's wife,https://www.wikidata.org/wiki/Q30226372
שלף,Sheleph,https://www.wikidata.org/wiki/Q7493584
תימן,Teman,https://www.wikidata.org/wiki/Q1546303
מבשם,Mibsam,https://www.wikidata.org/wiki/Q14925213
קרן הפוך,Keren-happuch,https://www.wikidata.org/wiki/Q3201131
מצרים,Mizraim,https://www.wikidata.org/wiki/Q1369215
עילם,Elam,https://www.wikidata.org/wiki/Q1147704
עירד,Irad,https://www.wikidata.org/wiki/Q3364264
גתר,Gether,https://www.wikidata.org/wiki/Q2910407
עבדאל,Abdeel,https://www.wikidata.org/wiki/Q2613514
ענה בן צבעון,Anah,https://www.wikidata.org/wiki/Q42532204
חוה,Eve,https://www.wikidata.org/wiki/Q830183
יבל,Jabal,https://www.wikidata.org/wiki/Q1676803
שפטיה בן אביטל,Shephatiah,https://www.wikidata.org/wiki/Q9351247
עגלה,Eglah,https://www.wikidata.org/wiki/Q22040689
ארד,Ard,https://www.wikidata.org/wiki/Q47008639
בעלת האוב מעין דור,Witch of Endor,https://www.wikidata.org/wiki/Q1391553
עודד,Oded,https://www.wikidata.org/wiki/Q16341302
חבר הקיני,Heber the Kenite,https://www.wikidata.org/wiki/Q13365793
זבודה בת פדיה,Zebudah,https://www.wikidata.org/wiki/Q30527376
דדנים,Dodanim,https://www.wikidata.org/wiki/Q1518112
יחלאל,Jahleel,https://www.wikidata.org/wiki/Q44126902
סרד,Sered,https://www.wikidata.org/wiki/Q44126900
אלון,Elon,https://www.wikidata.org/wiki/Q44126901
דלילה,Delilah,https://www.wikidata.org/wiki/Q937827
אבידע,Abida,https://www.wikidata.org/wiki/Q3314892
כתים,Kittim,https://www.wikidata.org/wiki/Q1743921
האישה מצרפת,Widow of Zarephath,https://www.wikidata.org/wiki/Q6605722
יקשן,Jokshan,https://www.wikidata.org/wiki/Q737548
עזובה,Azubah,https://www.wikidata.org/wiki/Q4833002
