item,itemLabel,present_in_work,present_in_workLabel
http://www.wikidata.org/entity/Q345,Virgin Mary,http://www.wikidata.org/entity/Q152771,Presentation of Jesus at the Temple
http://www.wikidata.org/entity/Q7734,Joshua,http://www.wikidata.org/entity/Q43099,Numbers
http://www.wikidata.org/entity/Q7734,Joshua,http://www.wikidata.org/entity/Q47680,Joshua
http://www.wikidata.org/entity/Q7734,Joshua,http://www.wikidata.org/entity/Q17997448,1 Kings 16
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q131458,Isaiah
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q131635,Ezra
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q1145374,Cyropaedia
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q5201168,Cyrus the Great in the Quran
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q10869901,Cyrus the Great in the Bible
http://www.wikidata.org/entity/Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q24050047,Civilization VI
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q428,Quran
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q9190,Exodus
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q41490,Leviticus
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q42614,Deuteronomy
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q43099,Numbers
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q245227,The Prince of Egypt
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q746733,The Ten Commandments
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q767850,Once Upon a Time... Man
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q1217700,The Ten Commandments
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q1217715,The Ten Commandments
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q1471230,"History of the World, Part I"
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q1533406,Go Down Moses
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q7767876,The Tables of the Law
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q7768400,The Ten Commandments
http://www.wikidata.org/entity/Q9077,Moses,http://www.wikidata.org/entity/Q14942871,Exodus: Gods and Kings
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q428,Quran
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q9184,Book of Genesis
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q36766,Gospel of John
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q40309,Acts of the Apostles
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q41064,Psalms
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q41490,Leviticus
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q42614,Deuteronomy
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q43099,Numbers
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q47680,Joshua
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q48203,Epistle to the Romans
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q80115,Book of Daniel
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q9181,Abraham,http://www.wikidata.org/entity/Q128608,Epistle to the Hebrews
