Book,Chapter,Topic Level 1,Topic Level 2,Topic Level 3,Topic Level 4,Leaf Topic He,Leaf Topic En,Is Aspaklaria Topic,Notes
Mada,Foundations of the Torah 1,Theology,-,,,אלקים מציאותו,Knowledge of God and His Existence,yes,
Mada,Foundations of the Torah 2,Theology,-,,,אלקים ידיעה,Knowledge of God and His Existence,yes,
Mada,Foundations of the Torah 3:1-9,Theology,-,,,גלגלים,Spheres,yes,
Mada,Foundations of the Torah 3:10-11,Philosophy,-,,,ארבעה יסודות,Four Elements,yes,
Mada,Foundations of the Torah 4:1-6,Philosophy,-,,,ארבעה יסודות,Four Elements,yes,
Mada,Foundations of the Torah 4:7-9,Theology,-,,,נפש,The Soul,yes,
Mada,Foundations of the Torah 4:10-13,Theology,-,,,מעשה מרכבה,Workings of the Chariot,yes,
Mada,Foundations of the Torah 5,Theology,-,,,קדושת השם,Sanctification of God,yes,
Mada,Foundations of the Torah 6,Theology,-,,,קדושת השם,Sanctification of God,yes,
Mada,Foundations of the Torah 7,Theology,-,,,הנבואה,Prophecy,yes,
Mada,Foundations of the Torah 8,Theology,-,,,הנבואה,Prophecy,yes,
Mada,Foundations of the Torah 9,Theology,-,,,הנבואה,Prophecy,yes,
Mada,Foundations of the Torah 10,Theology,-,,,הנבואה,Prophecy,yes,
Mada,Human Dispositions 1,Behavior law,Ethics law,,,ההתנהגות הראויה בדעות ובבריאות,Moral and Medical Ethics,,
Mada,Human Dispositions 2,Behavior law,Ethics law,,,ההתנהגות הראויה בדעות ובבריאות,Moral and Medical Ethics,,
Mada,Human Dispositions 3,Behavior law,Ethics law,,,ההתנהגות הראויה בדעות ובבריאות,Moral and Medical Ethics,,
Mada,Human Dispositions 4,Behavior law,Ethics law,,,ההתנהגות הראויה בדעות ובבריאות,Moral and Medical Ethics,,
Mada,Human Dispositions 5,Behavior law,Ethics law,,,ההתנהגות הראויה בדעות ובבריאות,Moral and Medical Ethics,,
Mada,Human Dispositions 6,Behavior law,Ethics law,,,מצוות הנוגעות להתנהגות, Commandments Concerning Demeanor,,
Mada,Human Dispositions 7,Behavior law,Ethics law,,,מצוות הנוגעות להתנהגות, Commandments Concerning Demeanor,,
Mada,Torah Study 1,Behavior law,Torah study law,,,לימוד תורה,Torah Study,,
Mada,Torah Study 2,Behavior law,Torah study law,,,לימוד תורה,Torah Study,,
Mada,Torah Study 3,Behavior law,Torah study law,,,לימוד תורה,Torah Study,,
Mada,Torah Study 4,Behavior law,Torah study law,,,לימוד תורה,Torah Study,,
Mada,Torah Study 5,Behavior law,Torah study law,,,כבוד החכמים,Respecting the Sages,,
Mada,Torah Study 6,Behavior law,Torah study law,,,כבוד החכמים,Respecting the Sages,,
Mada,Torah Study 7,Behavior law,Torah study law,,,כבוד החכמים,Respecting the Sages,,
Mada,Foreign Worship and Customs of the Nations 1,Worship law,Foreign worship law,,,הגדרת עבודה זרה ואיסורה,Definition and Prohibition of Idolatry,,
Mada,Foreign Worship and Customs of the Nations 2,Worship law,Foreign worship law,,,הגדרת עבודה זרה ואיסורה,Definition and Prohibition of Idolatry,,
Mada,Foreign Worship and Customs of the Nations 3,Worship law,Foreign worship law,,,הגדרת עבודה זרה ואיסורה,Definition and Prohibition of Idolatry,,
Mada,Foreign Worship and Customs of the Nations 4,Worship law,Foreign worship law,,,דין עובדי עבודה זרה,The Laws of Idol Worship,,
Mada,Foreign Worship and Customs of the Nations 5,Worship law,Foreign worship law,,,דין עובדי עבודה זרה,The Laws of Idol Worship,,
Mada,Foreign Worship and Customs of the Nations 6,Worship law,Foreign worship law,,,דין עובדי עבודה זרה,The Laws of Idol Worship,,
Mada,Foreign Worship and Customs of the Nations 7,Worship law,Foreign worship law,,,חפצי עבודה זרה,Objects of Idol Worship,,
Mada,Foreign Worship and Customs of the Nations 8,Worship law,Foreign worship law,,,חפצי עבודה זרה,Objects of Idol Worship,,
Mada,Foreign Worship and Customs of the Nations 9,Worship law,Foreign worship law,,,היבדלות מעבודה זרה ומעובדיה,Dissociation from Idolatry and its Worshippers,,
Mada,Foreign Worship and Customs of the Nations 10,Worship law,Foreign worship law,,,היבדלות מעבודה זרה ומעובדיה,Dissociation from Idolatry and its Worshippers,,
Mada,Foreign Worship and Customs of the Nations 11,Worship law,Foreign worship law,,,היבדלות מעבודה זרה ומעובדיה,Dissociation from Idolatry and its Worshippers,,
Mada,Foreign Worship and Customs of the Nations 12,Worship law,Foreign worship law,,,היבדלות מעבודה זרה ומעובדיה,Dissociation from Idolatry and its Worshippers,,
Mada,Foreign Worship and Customs of the Nations 12,Clothing law,,,,חוקות הגויים בגוף ובלבוש,Gentile Practices relating to the Body and Clothing,,
Mada,Repentance 1,Behavior law,Repentance law,,,התשובה,Teshuvah (Repentance),,
Mada,Repentance 2,Behavior law,Repentance law,,,התשובה,Teshuvah (Repentance),,
Mada,Repentance 3,Behavior law,Repentance law,,,התשובה,Teshuvah (Repentance),,
Mada,Repentance 4,Behavior law,Repentance law,,,התשובה,Teshuvah (Repentance),,
Mada,Repentance 5,Theology,-,,,אדם בחירה,Man's Free Choice,yes,
Mada,Repentance 6,Theology,-,,,אדם בחירה,Man's Free Choice,yes,
Mada,Repentance 7,Theology,-,,,תשובה,Teshuvah (Repentance),yes,
Mada,Repentance 8,Theology,-,,,עולם הבא,The Afterlife,yes,
Mada,Repentance 9,Theology,-,,,עולם הבא,The Afterlife,yes,
Mada,Repentance 10,Theology,-,,,עבודת ה,Service of God,yes,
Ahava,Reading the Shema 1,Worship law,Prayer law,,,דיני קריאת שמע,Shema Laws,,needs more thought
Ahava,Reading the Shema 2,Worship law,Prayer law,,,דיני קריאת שמע,Shema Laws,,
Ahava,Reading the Shema 3,Worship law,Prayer law,,,דיני קריאת שמע,Shema Laws,,
Ahava,Reading the Shema 4,Worship law,Prayer law,,,דיני קריאת שמע,Shema Laws,,
Ahava,Prayer and the Priestly Blessing 1,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 2,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 3,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 4,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 5,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 6,Worship law,Prayer law,,,דיני התפילה,Laws of Prayer,,
Ahava,Prayer and the Priestly Blessing 7,Worship law,Prayer law,,,סדר התפילה למעשה,Order and Practice of Prayer,,
Ahava,Prayer and the Priestly Blessing 8,Worship law,Prayer law,,,סדר התפילה למעשה,Order and Practice of Prayer,,
Ahava,Prayer and the Priestly Blessing 9,Worship law,Prayer law,,,סדר התפילה למעשה,Order and Practice of Prayer,,
Ahava,Prayer and the Priestly Blessing 10,Worship law,Prayer law,,,סדר התפילה למעשה,Order and Practice of Prayer,,
Ahava,Prayer and the Priestly Blessing 11,Worship law,Prayer law,,,בית הכנסת,Synagogue,,
Ahava,Prayer and the Priestly Blessing 12,Worship law,Prayer law,,,קריאת התורה,Torah Reading ,,
Ahava,Prayer and the Priestly Blessing 13,Worship law,Prayer law,,,קריאת התורה,Torah Reading ,,
Ahava,Prayer and the Priestly Blessing 14,Worship law,Prayer law,,,ברכת כהנים,The Priestly Blessing,,
Ahava,Prayer and the Priestly Blessing 15,Worship law,Prayer law,,,ברכת כהנים,The Priestly Blessing,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 1",Scribe law,-,,,דיני הכתיבה,Laws Concerning Scribes,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 2",Scribe law,-,,,תפילין,Tefillin,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 3",Scribe law,-,,,תפילין,Tefillin,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 4",Scribe law,-,,,תפילין,Tefillin,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 5",Scribe law,-,,,מזוזה,Mezuza,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 6",Scribe law,-,,,מזוזה,Mezuza,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 7",Scribe law,-,,,ספר תורה,The Torah Scroll,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 8",Scribe law,-,,,ספר תורה,The Torah Scroll,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 9",Scribe law,-,,,ספר תורה,The Torah Scroll,,
Ahava,"Tefillin, Mezuzah and the Torah Scroll 10",Scribe law,-,,,ספר תורה,The Torah Scroll,,
Ahava,Fringes 1,Clothing law,-,,,ציצית,Tzitzit Laws,,
Ahava,Fringes 2,Clothing law,-,,,ציצית,Tzitzit Laws,,
Ahava,Fringes 3,Clothing law,-,,,ציצית,Tzitzit Laws,,
Ahava,Blessings 1,Worship law,Prayer law,Blessing law,,הלכות כלליות,General Laws of Blessings ,,
Ahava,Blessings 2,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 3,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 4,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 5,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 6,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 7,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 8,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 9,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 10,Worship law,Prayer law,Blessing law,,ברכות ההודאה,Blessing of Thanksgiving ,,
Ahava,Blessings 11,Worship law,Prayer law,Blessing law,,ברכות המצוות,Blessing of of Commandments,,
Ahava,Circumcision 1,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,Circumcision 2,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,Circumcision 3,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,The Order of Prayer 1,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 2,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 3,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 4,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Zemanim,Sabbath 1,Calendar law,Shabbat law,,,כללי איסורי מלאכה בשבת,General Laws of Work on Shabbat,,
Zemanim,Sabbath 2,Calendar law,Shabbat law,,,חילול שבת לצורך הצלת נפשות,Desecrating Shabbat for the Sake of Saving Lives,,
Zemanim,Sabbath 3,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinical Laws of Shabbat,,
Zemanim,Sabbath 4,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinical Laws of Shabbat,,
Zemanim,Sabbath 5,Calendar law,Shabbat law,,,נר שבת,Shabbat Lights,,
Zemanim,Sabbath 6,Calendar law,Shabbat law,,,מלאכה שנעשית בשבת,Work Done on Shabbat,,
Zemanim,Sabbath 7,Calendar law,Shabbat law,,39 Melachot Law,אבות מלאכות ותולדותיהן,Main and Sub Categories of Work on Shabbat,,
Zemanim,Sabbath 8:1,Calendar law,Shabbat law,,39 Melachot Law,דיני חורש בשבת,Laws of Plowing on Shabbat,,
Zemanim,Sabbath 8:2,Calendar law,Shabbat law,,39 Melachot Law,דיני זורע בשבת,Laws of Planting on Shabbat,,
Zemanim,Sabbath 8:3-5,Calendar law,Shabbat law,,39 Melachot Law,דיני קוצר בשבת,Laws of Reaping on Shabbat,,
Zemanim,Sabbath 8:5-6,Calendar law,Shabbat law,,39 Melachot Law,דיני מעמר בשבת,Laws of Gathering on Shabbat,,
