Source Text,Found Text,URL,Wrong segment (seg) / Wrong link (link)
" יתיריא מה אינון. ר' יצחק בן קצרתה משום ר' יונה אלו ארבעים וחמשה ימים  שישראל קוטפים מלוח ואוכלים. הה""ד (איוב ל') הקוטפים מלוח עלי שיח. לאיכן הוא מוליכן מן הארץ למדבר יהודה. שנאמר (הושע ב') הנה אנכי מפתיה והולכתי",הקטפים מלוח עלי־שיח ושרש רתמים לחמם,https://sefaria.org/Ruth_Rabbah.6.6?p2=Job.30.4,
 ולוה מן המלך והשני פרע חובו וחזר עוד והלוה למלך הרי זה משובח.  שמעון ולוי שניהם לוו מן הקב״ה שנאמר (בראשית לד) ויקחו שני בני יעקב שמעון ולוי אחי דינה איש חרבו. חזר לו שמעון ולוה בשטים שנאמר (במדכר כה) ושם איש ,ויהי ביום השלישי בהיותם כאבים ויקחו שני־בני־יעקב שמעון ולוי אחי דינה איש חרבו ויבאו על־העיר בטח ויהרגו כל־זכר,"https://sefaria.org/Midrash_Lekach_Tov,_Deuteronomy.33.8.1?p2=Genesis.34.25",
 דצחותא הוא כדכתיב (דברים כה) עיף ויגע ומתרגמין משלהי ולאי ומאי משמע דבית הבעל לישנא דמיתיבותא הוא כדכתיב (ישעיה סב) כי יבעל בחור בתולה יבעלוך בניך ומתרגמינן כמה דמיתותב עולם עם בתולתא כן יתותבון בגויך בנייכי.,כי־יבעל בחור בתולה יבעלוך בניך ומשוש חתן על־כלה ישיש עליך אלהיך,https://sefaria.org/Rif_Moed_Katan.1a.5?p2=Isaiah.62.5,
" פלחין לשפחה, כמה דאוקימנא. עובדא דכנען, פלחין לההוא דאקרי (שמות יב) שבי אשר בבית הבור. ועל דא כתיב, (בראשית ט) ארור כנען עבד עבדים יהיה לאחיו. בגין כך כלהו מכתיבין (ס''א מברכין) (ס''א מכדבין) במלין קדישין, ועב",ויאמר ארור כנען עבד עבדים יהיה לאחיו,https://sefaria.org/Zohar.3.72b.2?p2=Genesis.9.25,
" ולא יחזור בו (צפניה ג) דשארית ישראל לא יעשו עולה ולא ידברו כזב וגו' אבל עכו""ם אוסר שיחזור בו דכתיב (תהלים קמד) אשר פיהם דבר שוא ודוקא נמי בישראל אצל בתו שאינו ירא מבעלה אפי' יכעוס עמו כי האשה עיקר הבית אבל הלך",אשר פיהם דבר־שוא וימינם ימין שקר,https://sefaria.org/Rabbeinu_Yehonatan_of_Lunel_on_Eruvin.28a.18?p2=Psalms.144.8,
 יתן הטוב. הם העוסקים בטוב גם הקדוש ברוך הוא שולח בהם הטוב מדה כנגד מדה. ומנין שהגשמים נקראו טוב שנאמר (דברים כח) יפתח ה' לך את אוצרו הטוב את השמים לתת מטר ארצך בעתו ולברך את כל מעשה ידיך. וכן אמר ירמיהו (ירמיה ה,יפתח יהוה  לך את־אוצרו הטוב את־השמים לתת מטר־ארצך בעתו ולברך את כל־מעשה ידך והלוית גוים רבים ואתה לא תלוה,"https://sefaria.org/Midrash_Lekach_Tov,_Deuteronomy.26.1.2?p2=Deuteronomy.28.12",
שומר אבדה. הכניס אבדת חבירו לתוך ביתו שנאמר (דברים כב) ואספתו אל תוך ביתך:,ואם־לא קרוב אחיך אליך ולא ידעתו ואספתו אל־תוך ביתך והיה עמך עד דרש אחיך אתו והשבתו לו,https://sefaria.org/Nimukei_Yosef_on_Bava_Kamma.24a.15?p2=Deuteronomy.22.2,
(דף ח.) אבא בנימין אומר אין תפלתו של אדם נשמעת אלא בבית הכנסת שנא' (מלכים א' ח) לשמוע אל הרנה ואל התפלה במקום רנה שם תהא תפלה ואמר ר' יוחנן משום רבי יוסי בן זמרא אין תפלתו של אדם,ופנית אל־תפלת עבדך ואל־תחנתו יהוה אלהי לשמע אל־הרנה ואל־התפלה אשר עבדך מתפלל לפניך היום,https://sefaria.org/Rif_Berakhot.4a.2?p2=I_Kings.8.28,
עבר הרגל ולא חג אינו חייב באחריותו על זה נאמר (קוהלת א) מעוות לא יוכל לתקן [וגו'] ר' שמעון בן מנסיא אומר גנב [אדם] יכול שיחזיר גניבו גזל יכול שיחזיר גזילו,מעות לא־יוכל לתקן וחסרון לא־יוכל להמנות,https://sefaria.org/Tosefta_Chagigah.1.10?p2=Ecclesiastes.1.15,
 אמר משה רבינו. יעקב אבינו בקש לחזור בית אביו ולא היה בגבול עשו ולא היה עם יעקב אלא מתי מעט וכתיב בו (בראשית לב) וישלח יעקב מלאכים. אנו שאנחנו עם רב ואנחנו עוברין בגבול בני עשו  לא כל שכן. מיד וישלח משה מלאכים א,וישלח יעקב מלאכים לפניו אל־עשו אחיו ארצה שעיר שדה אדום,"https://sefaria.org/Midrash_Lekach_Tov,_Numbers.20.14.1?p2=Genesis.32.4",
 עשך ויכוננך.  רבי מאיר אומר כרכא דכולא ביה. מלכיה ממנה. כהניה ממנה. לוייה ממנה. סופריה ממנה. שנאמר (זכריה י) ממנו פנה ממנו יתד. הוא עשך ויכוננך. הוא שומרך כענין שנאמר (קהלת ה) כי גבוה מעל גבוה שומר. רבי יהוד,ממנו פנה ממנו יתד ממנו קשת מלחמה ממנו יצא כל־נוגש יחדו,"https://sefaria.org/Midrash_Lekach_Tov,_Deuteronomy.32.6.1?p2=Zechariah.10.4",
 ) ומפיבושת אכל על שלחני כאחד מבני המלך. (שמואל ב׳ ב׳) ויהיו שם שלשה בני צרויה וגו׳ ועשהאל קל ברגליו כאחד הצבים. (שם י״ג) ואני אנה אוליך את חרפתי ואתה תה,ויהיו־שם שלשה בני צרויה יואב ואבישי ועשהאל ועשהאל קל ברגליו כאחד הצבים אשר בשדה,"https://sefaria.org/Ba'alei_Brit_Avram,_Bereshit.25?p2=II_Samuel.2.18",
"(דף נט:) רבי שמעון אומר אם אכלה פירות גמורין וכו' מ""ט כי אמר רחמנא (שמות כב) ובער בשדה אחר מלמד ששמין על גב שדה אחרת הני מילי דצריך לשדה אבל הני כיון דלא צריכין לשדה בעיניהו ב",כי יבער־איש שדה או־כרם ושלח את־בעירה ובער בשדה אחר מיטב שדהו ומיטב כרמו ישלם {ס}        ,https://sefaria.org/Rif_Bava_Kamma.25a.2?p2=Exodus.22.4,
 חמשים ושרי עשרות אבל השוטרים היו כפי צורך בלא מספר. שרי אלפים חוץ מן האלפים היה השר וכן כלם.  וכה״א (מלכים ב' א) שר חמשים ואת חמשיו:,וישלח אליו שר־חמשים וחמשיו ויעל אליו והנה ישב על־ראש ההר וידבר אליו איש האלהים המלך דבר רדה,"https://sefaria.org/Midrash_Lekach_Tov,_Deuteronomy.1.15.1?p2=II_Kings.1.9",
" שיש בזה יקרות יותר להרחיב ולהגדיל את כבוד מלכותו גם בעולם הזה השפל, שהאור מוסתר והחושך גובר, וכדכתיב (ירמיה טו) ואם תוציא יקר מזולל כפי תהיה. ועל כן חוזרת לאחוריה להתקיים עם הגוף, שעי""ז תוכל למצוא כבוד שמים גם ",לכן כה־אמר יהוה אם־תשוב ואשיבך לפני תעמד ואם־תוציא יקר מזולל כפי תהיה ישבו המה אליך ואתה לא־תשוב אליהם,"https://sefaria.org/Beit_Yaakov_on_Torah,_Noach.6.3?p2=Jeremiah.15.19",
" יאכלו. אלו הן זבחי מתים. ישתו יין נסיכם, אלו נסכי עבודה זרה. יקומו ויעזרוכם. שעתידין כל אומות העולם לומר (ירמיה טז) אך שקר נחלו אבותינו הבל ואין בם מועיל היעשה לו אדם אלהים והמה לא אלהים לכן הנני מודיעם וגו':",יהוה עזי ומעזי ומנוסי ביום צרה אליך גוים יבאו מאפסי־ארץ ויאמרו אך־שקר נחלו אבותינו הבל ואין־בם מועיל היעשה־לו אדם אלהים והמה לא אלהים,"https://sefaria.org/Midrash_Lekach_Tov,_Deuteronomy.32.38.1?p2=Jeremiah.16.19-20",
"דרש ההוא גלילאה עליה דרב חסדא בריך רחמנא דיהב אוריאן תליתאי וכו' (שבת פח.).כתיב (הושע ו) יחיינו מימים ביום השלישי יקמנו ונחיה לפניו. והענין בזה דהנה השי""ת הציב בעוה""ז מדות שמנהג בהם עולמו",יחינו מימים ביום השלישי יקמנו ונחיה לפניו,"https://sefaria.org/Tiferet_Yosef,_Shavuot.14?p2=Hosea.6.2",
" הוא ל' כמישה כמו שנקרא מרחשוון ירח בול במלכים (א ו) שפרש""י ע""ש שבו העשב בלה בשדה. וכן לבול עץ אסגוד (ישעיה מד) פרש""י לשון רקבון והוא תואר נאות לעני. ועי""ל ע""ד שפי' הירושלמי פ""ה דפאה מ""ו דעולים היינו עניים שירד",ולא־ישיב אל־לבו ולא דעת ולא־תבונה לאמר חציו שרפתי במו־אש ואף אפיתי על־גחליו לחם אצלה בשר ואכל ויתרו לתועבה אעשה לבול עץ אסגוד,https://sefaria.org/Rashash_on_Gittin.36b.2?p2=Isaiah.44.19,
" צעקה, ומזה יבא ללב האדם צעקה לשוב פנים בפנים לבוראו. עיין שם כל הענין בזה., כי לזה רומז ארץ כדכתיב (קהלת א) והארץ לעולם עומדת, ויקבע בקביעות באדם מעשה עבודתו (וכמש""נ הענין בענין עגלה ערופה לקמן אות כג). לכן",דור הלך ודור בא והארץ לעולם עמדת,"https://sefaria.org/Beit_Yaakov_on_Torah,_Vayigash.9.4?p2=Ecclesiastes.1.4",
 התרחקות ההסתר היותר חזק מאד אכן דוד המלך היה מכיר גם בהתרחקות חזק כזה הקלא פנימאה המהווה אותו כדכתיב (תהלים קג) ומלכותו בכל משלה וכדכתיב (,יהוה בשמים הכין כסאו ומלכותו בכל משלה,"https://sefaria.org/Sod_Yesharim,_Hoshana_Rabba.13.2?p2=Psalms.103.19",
