Quoting Book,Quoting Ref,Quoted Book,Quoted Ref,Snippet
Alshich on Torah,"Alshich on Torah, Genesis 1:20:1",Chullin,," המים. הל""ל אשר שרצו המים אחרי העוף. ויכלול הכל. אמנם לקושי' רז""ל (חולין דף כ""ז) הטיבו אשר דברו כי מן הרקק נבראו העופות. ומי הכריחם לזה: "
Alshich on Torah,"Alshich on Torah, Genesis 1:22:2",,,") על כי השחית כל בשר את דרכו כו'. משא""כ בדגים. וגם יש בדגים לויתן"
Alshich on Torah,"Alshich on Torah, Genesis 1:26:7",,," נוסף אל האמור. למה מנע ממנו אכילת בשר שהתיר לנח ולבניו שיתכן כמשז""ל (סנהדרין פ""ד) כי ברא הקב""ה את אדם אחר כל בהמה חיה ועוף. כמכין לו שילחן לאכול."
Alshich on Torah,"Alshich on Torah, Genesis 1:26:7",Kiddushin,,) מעולם לא ראינו ארי סבל. וצבי קייץ. ושועל חנוני. ומתפרנסים שלא ב
Alshich on Torah,"Alshich on Torah, Genesis 2:7:3",,," כי עולם התנועה הוא. ועולם המלאכים נותן רוח אחרי כן כיוצא בו. כד""א (תהלים ק""ג) עושה מלאכיו רוחות. ומאתו ית' מעולם העליון נותן נשמה. היא העולה "
Alshich on Torah,"Alshich on Torah, Genesis 2:9:6",,,") אדם הראשון מין היה. וכן אמרו (ב""ר פי""ט) כי חוה סחטה ענבים והשקת"
Alshich on Torah,"Alshich on Torah, Genesis 2:16:1",,,"ויצו כו'. הנה או' לאמר. הוא בלתי צודק לאמר לזולת. והנה רז""ל (סנהדרין דף נ""ח) פירשו כי פה צוה לו ז' מצות. ויצו זו ע""א. כד""א כי הואיל הלך אחר "
Alshich on Torah,"Alshich on Torah, Genesis 2:19:9",,," תתקרר דעתו כאשר יש לו פת בסלו. גם שלא יקרב אליה. כמאמר קצת הפוסקים (יומא דף י""ח) על רב דהוה קאמר מאן בעי ליומיה. שלא היה קרב אליה רק מתקררת דעתו"
Alshich on Torah,"Alshich on Torah, Genesis 2:21:2",Berakhot,," ברא אלא אחד ולא אמר לא ברא אלא את האדם. כ""א אלא אחד. ואצ""ל לרז""ל (ברכות דף ס""א) שדו פרצופין נבראו שהיתה נפש הזכר בפרצופו. ונפש הנקבה בפרצופה וש"
Alshich on Torah,"Alshich on Torah, Genesis 2:25:1",Sanhedrin,," ועוד שהיל""ל והאשה. כמו שאומר האדם. אך לזה נשית לב מהיכן למדו רז""ל (סנהדרין דף כ""ט) שהנחש ראה אותם עסוקים במשגל. אך יהיו כוונת הכתוב כי הנה דרך העו"
Alshich on Torah,"Alshich on Torah, Genesis 3:16:2",,,) על פסוק בהלו נרו עלי ראשי שהוא בחדשי העיבור בבטן המלאה והוא בשו
Alshich on Torah,"Alshich on Torah, Genesis 3:17:3",Berakhot,," אשר אין זרעם בם אך מה שיהיה בזעת אפך הוא מה שתאכל לחם והוא כמשז""ל (ברכות דף נח) שעשר מלאכות צריך כדי לאכול מלחם הארץ שהוא כדי לנקות הפסולת ולהכ"
Alshich on Torah,"Alshich on Torah, Genesis 3:17:4",,,") (יהי כו') עתידה א""י להוציא גלוסקאות כ""א יהיה כמו זר נחשב בעיני "
Alshich on Torah,"Alshich on Torah, Genesis 3:22:2",Sanhedrin,," רק נכנס בשלום ויצא בשלום כמאמר חכמי האמת באברהם. אין רע. אך ארז""ל (סנהדרין פ""ד) שנעשה מין שהיא האכילה מפריו. כאשר רמזו ז""ל (ב""ר פי""א) שסחטה ענב"
Alshich on Torah,"Alshich on Torah, Genesis 3:23:1",,,") על פסוק ותיטב לה' משור פר כו' שהוא קרבן שהקריב אדה""ר וראוי לדעת"
Alshich on Torah,"Alshich on Torah, Genesis 4:15:1",,,"). וז""א וישב בארץ נוד כו' ויהיה לפי פירושנו כי הנע היה שלא יהיה י"
Alshich on Torah,"Alshich on Torah, Genesis 5:32:2",,," לפעמי' בן ע""י התשובה. כשהיא מאהבה וזדונות נעשים כזכיות. כמאמר רשב""ל (ביומא דף פ""ו). ואל תחוש שמא לא תוכל נגד יצרך. כי הלא יד על כס יה נשבע להיות מ"
Alshich on Torah,"Alshich on Torah, Genesis 6:9:4",,,") והוא כאשר נצטווה נח לעשות התיבה היה ק""ך שנה קודם המבול. כי מאז "
