Quoting Ref,Quoted Ref,Score,Quote Num,Snippet
"Kad HaKemach, Redemption 1:3",Lamentations 5:21,2.1059839249949173,0," מאסת את יהודה וגו', כמו שאמר הלא זה מן הנמנע, וכן אמרו במקום אחר (איכה ה') כי אם מאוס מאסתנו וגו' והכתוב הזה דבק עם חדש ימינו כקדם, אמר חד"
Sheilat Shalom on Sheiltot d'Rav Achai Gaon 74:1,Chullin 95b:10,-3.8999011667550016,0," יוחנן מחבבו לרב כדאי' חולין (נד.) (קלז:) והי' כותב לו לקדם רבינו (חולין צ""ה:) מ""מ ר' יוחנן אמר רב לא מצאתי עדיין. ודע דמעין דבר זה השיב ר' יו"
Rashi on Eruvin 76a:2:3,Eruvin 85b:11,-11.092400229364944,0,) דאינו עירוב ואי תרוייהו בית גמור. אין אחד מהן עירוב שהרי בית זה
"HaKtav VeHaKabalah, Exodus 21:34:2",Bava Kamma 7a:11,1.339305991702549,0,"כסף ישיב. ישיב לרבות שוה כסף ככסף ואפילו סובין (רש""י מרבותינו ב""ק ז') להרי""ף והרמב""ם שם אפי' יש למזיק מעות יכול לתת לו סובין, ולהרמ""ה"
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 99:6",Yevamot 21a:1,0.541276895449486,0," לישן ולא יתחייב בסוכה. שהרי אפי' בעשה דיבום הוה בעינן למימר (בפ""ב דיבמות כ""א ע""א) דאין עשה דוחה ל""ת משום דאפשר בחליצה. אלא דמסקינן דחליצה במקום י"
"Kessef Mishneh on Mishneh Torah, Sabbatical Year and the Jubilee 8:16:1",Bekhorot 29b:37,5.20482418841462,0,(יד-טז) בד''א בעם הארץ סתם וכו'. משנה בפרק עד כמה (בכורות דף כ''ט:) וכרבי שמעון ואע''ג דמתניתין לגבי חשוד להיות מוכר תרומה לשם חולי
Akeidat Yitzchak 104:1:2,Genesis 49:28,4.678411767282494,0,"בספרי וזאת הברכה זאת מוסף על הברכה ראשונה שברכן יעקב אביהם (בראשית מ""ט) וזאת אשר דבר להם יעקב אביהם ויברך אותם מצינו למדים שממקום שסיים"
Rashi on Bava Kamma 78b:21:1,Bava Kamma 71a:9,4.115875407382988,0,) דיש שליח לדבר עבירה הכא דאמרינן תחת לרבות את השליח:
Akeidat Yitzchak 104:1:6,Deuteronomy 1:10,7.189911240089131,0," אשר אליהם יתדמו אנשי זאת האומה כמו שאמר והנכם היום ככוכבי השמים (דברי' א') ונאמר כי כאשר השמים החדשים וגו' כן יעמד זרעכם ושמכם (ישעי' ס""ו)"
Akeidat Yitzchak 104:1:6,Isaiah 66:1,-3.302946252045703,0," יתעלה שיאחוז בכסא כבודו ויחזיר להם תשובה וזה על דרך שנאמר השמים כסאי (ישעי' ס""ו) כלומר שיאחוז בענינים אשר הם למטה מהמלאכים והם העניני' הנמצאים בתורה"
Akeidat Yitzchak 104:1:6,Isaiah 66:22,5.350804143860167,1," השמים (דברי' א') ונאמר כי כאשר השמים החדשים וגו' כן יעמד זרעכם ושמכם (ישעי' ס""ו) כמו שנתבאר זה הענין יפה בפרשת הכהנים שער ס""ו והוא הלבוש התוריי "
