Bava Metzia 99a:47-99b:3,Bava Kamma 79a:24-32
Sanhedrin 22b:58,Sanhedrin 83b:39
Sanhedrin 12a:8,Rosh Hashanah 7a:39
Eruvin 17a:32-34,Bava Batra 93a:15-19
Kiddushin 60b:74-61a:2,Bava Batra 102b:18-21
Zevachim 69a:13-17,Zevachim 119b:51-55
Berakhot 61b:53-54,Yoma 19b:14-16
Gittin 32a:7-8,Kiddushin 59a:64-65
Niddah 44b:21-26,Sanhedrin 69a:46-69b:1
Eruvin 16b:43-47,Eruvin 86b:6-10
Chullin 33a:30-33,Pesachim 22b:3-4
Niddah 63a:31-36,Sukkah 39a:20-25
Berakhot 13a:67-69,Sotah 33a:4-6
Shabbat 27b:6-9,Menachot 39b:34-38
Temurah 4b:21-23,Pesachim 84a:49-52
Ketubot 61a:41-42,Ketubot 96a:8-9
Niddah 9b:45-10a:4,Niddah 10a:4-7
Shabbat 135a:12-13,Shabbat 129a:18-20
Bekhorot 13b:19-20,Avodah Zarah 53a:44-46
Bava Batra 61b:11-14,Bava Batra 77b:28-31
Tamid 33b:33-35,Rosh Hashanah 31a:5-6
Sanhedrin 57a:1-4,Avodah Zarah 23b:19-22
Chagigah 26b:14,Menachot 96b:11-13
Kiddushin 48a:43-49,Ketubot 102b:32-36
Bava Kamma 102b:18-19,Arakhin 24a:20-21
Zevachim 72a:5-73a:3,Beitzah 3b:16-42
Shabbat 28b:21-24,Chullin 60a:42-45
Pesachim 29b:39-41,Avodah Zarah 73b:35-37
Nazir 8b:19-20,Eruvin 14a:22-23
Horayot 11a:60-70,Avodah Zarah 26b:10-19
Bekhorot 61a:35-40,Ketubot 99b:29-33
Berakhot 9b:73,Berakhot 19b:18
Yevamot 64a:28-29,Sukkah 14a:24-26
Arakhin 30b:23-27,Moed Katan 27b:63-67
Shevuot 41b:10-13,Shevuot 38b:42-46
Yoma 42a:37-39,Yevamot 75a:11-13
Bekhorot 8a:16-17,Beitzah 7a:52-53
Shabbat 113a:13-18,Pesachim 11a:41-45
Shabbat 112b:36-45,Shabbat 112b:41-113a:2
Eruvin 49b:13-15,Eruvin 50b:28-29
Chagigah 15b:44-46,Moed Katan 17a:18
Shevuot 43b:25-27,Bava Metzia 34b:36-38
Nedarim 10a:21-27,Taanit 11a:44-49
Temurah 12a:22-26,Shabbat 142a:36-41
Sanhedrin 28b:31-32,Yevamot 43b:26-28
Horayot 12b:18-21,Yoma 73a:13-18
