chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
1," סימן רפ""ד; "," לרמב""ם, מצוות עשה רי""ב"," עשין מ""ט","רמב""ם הלכות אישות פרק טו", אבן העזר סימן א',"בראשית א, כח."
1,[284],[],"[u'Positive Commandments', 49]","[u'Mishneh Torah, Marriage 15']","[u'Shulchan Arukh, Even HaEzer 1']",[u'Genesis 1:28']
2," סימן קנ""ז, קנ""ח, קנ""ט-רפ""ט; ",", מצוות עשה רט""ו"," עשין כ""ח","רמב""ם הלכות מילה |רמב""ם הלכות איסורי ביאה פי""ג"," יורה דעה סי' ר""ס | יורה דעה סימן רס""ח","בראשית יז, יב."
2,"[157, 158, 159, 289]","[u'Positive Commandments', 215]","[u'Positive Commandments', 28]","[[u'Mishneh Torah, Circumcision'], [u'Mishneh Torah, Forbidden Intercourse 13']]","[[u""Shulchan Arukh, Yoreh De'ah""], [u""Shulchan Arukh, Yoreh De'ah 268""]]",[u'Genesis 17:12']
3," לאוין קל""ט;  | סימן ר""ג."," לא תעשה קפ""ג",[],[]," יורה דעה סימן ק, ס""ה","בראשית לב, לב."
3,"[[], [203]]","[u'Negative Commandments', 183]",[],[],"[u""Shulchan Arukh, Yoreh De'ah 100""]",[u'Genesis 32:32']
4, סימן קג.," מצוות עשה קנ""ג"," עשין מ""ו","רמב""ם הלכות קדוש החדש פרק א' ופרק ד'",[],"שמות יב, ב. "
4,[103],"[u'Positive Commandments', 153]","[u'Positive Commandments', 46]","[u'Mishneh Torah, Sanctification of the New Month 1']",[],[u'Exodus 12:2']
5,[]," מצוות עשה נ""ה"," עשין רכ""ג","רמב""ם הלכות קרבן פסח פרק א'",[],"שמות יב, ו."
5,[],"[u'Positive Commandments', 55]","[u'Positive Commandments', 223]","[u'Mishneh Torah, Paschal Offering 1']",[],[u'Exodus 12:6']
6,[]," מצוות עשה נ""ו"," עשין רכ""ה","רמב""ם הלכות קרבן פסח פרק ח'",[],"שמות יב, ח."
6,[],"[u'Positive Commandments', 56]","[u'Positive Commandments', 225]","[u'Mishneh Torah, Paschal Offering 8']",[],[u'Exodus 12:8']
7,[]," לא תעשה קכ""ה"," לאוין ש""נ","רמב""ם הלכות קרבן פסח פרק ח'",[],"שמות יב, ט."
7,[],"[u'Negative Commandments', 125]","[u'Negative Commandments', 350]","[u'Mishneh Torah, Paschal Offering 8']",[],[u'Exodus 12:9']
8,[]," לא תעשה קי""ז"," לאוין שנ""ח","רמב""ם הלכות קרבן פסח פרק י' הלכה יא'",[],"שמות יב, י."
8,[],"[u'Negative Commandments', 117]","[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:11']",[],[u'Exodus 12:10']
9," סימן צד, וצ""ח."," מצוות עשה קנ""ו"," עשין ל""ט","רמב""ם הלכות חמץ ומצה פרק ב'"," אורח חיים סימן תל""א עד סימן תמ""א","שמות יב, טו."
9,"[94, 98, [...]]","[u'Positive Commandments', 156]","[u'Positive Commandments', 39]","[u'Mishneh Torah, Leavened and Unleavened Bread 2']","[u'Shulchan Arukh, Orach Chayim 431']",[u'Exodus 12:15']
10," סימן רי""ט."," מצוות עשה קנ""ח", עשין מ',"רמב""ם הלכות חמץ ומצה פרק ו'"," אורח חיים סימן תע""א","שמות יב, יח."
10,[219],"[u'Positive Commandments', 158]","[u'Positive Commandments', 40]","[u'Mishneh Torah, Leavened and Unleavened Bread 6']","[u'Shulchan Arukh, Orach Chayim 471']",[u'Exodus 12:18']
11," סימן ל""ו."," לא תעשה ר""א"," לאוין ע""ח","רמב""ם הלכות חמץ ומצה פרק א' ופרק ד'"," אורח חיים סימן תל""א, ת""מ, תמ""ו","שמות יב, יט."
11,[36],"[u'Negative Commandments', 201]","[u'Negative Commandments', 78]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 431']",[u'Exodus 12:19']
12,[]," לא תעשה קצ""ח"," לאווין ע""ט","רמב""ם הלכות חמץ ומצה פרק א' ופרק ד'"," אורח חיים סימן תמ""ב, תמ""ז","שמות יב, כ."
12,[],"[u'Negative Commandments', 198]","[u'Negative Commandments', 79]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 442']",[u'Exodus 12:20']
