chinukh,smk,rambam,smg,mishneh,shulchanArukh
1,[284],[],"[u'Positive Commandments', 49]","[u'Mishneh Torah, Marriage 15']","[u'Shulchan Arukh, Even HaEzer 1']"
2,"[157, 158, 159, 289]","[u'Positive Commandments', 215]","[u'Positive Commandments', 28]","[[u'Mishneh Torah, Circumcision'], [u'Mishneh Torah, Forbidden Intercourse 13']]","[[u""Shulchan Arukh, Yoreh De'ah""], [u""Shulchan Arukh, Yoreh De'ah 268""]]"
3,"[[], [203]]","[u'Negative Commandments', 183]",[],[],"[u""Shulchan Arukh, Yoreh De'ah 100""]"
4,[103],"[u'Positive Commandments', 153]","[u'Positive Commandments', 46]","[u'Mishneh Torah, Sanctification of the New Month 1']",[]
5,[],"[u'Positive Commandments', 55]","[u'Positive Commandments', 223]","[u'Mishneh Torah, Paschal Offering 1']",[]
6,[],"[u'Positive Commandments', 56]","[u'Positive Commandments', 225]","[u'Mishneh Torah, Paschal Offering 8']",[]
7,[],"[u'Negative Commandments', 125]","[u'Negative Commandments', 350]","[u'Mishneh Torah, Paschal Offering 8']",[]
8,[],"[u'Negative Commandments', 117]","[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:11']",[]
9,"[94, 98]","[u'Positive Commandments', 156]","[u'Positive Commandments', 39]","[u'Mishneh Torah, Leavened and Unleavened Bread 2']","[u'Shulchan Arukh, Orach Chayim 431']"
10,[219],"[u'Positive Commandments', 158]","[u'Positive Commandments', 40]","[u'Mishneh Torah, Leavened and Unleavened Bread 6']","[u'Shulchan Arukh, Orach Chayim 471']"
11,[36],"[u'Negative Commandments', 201]","[u'Negative Commandments', 78]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 431']"
12,[],"[u'Negative Commandments', 198]","[u'Negative Commandments', 79]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 442']"
13,[],"[u'Negative Commandments', 126, 128]","[u'Negative Commandments', 353]","[u'Mishneh Torah, Paschal Offering 9']",[]
14,[],"[u'Negative Commandments', 126, 128]","[u'Negative Commandments', 353]","[u'Mishneh Torah, Paschal Offering 9']",[]
15,[],"[u'Negative Commandments', 123]","[u'Negative Commandments', 352]","[u'Mishneh Torah, Paschal Offering 9:1-5']",[]
16,[],"[u'Negative Commandments', 121]","[u'Negative Commandments', 356]","[u'Mishneh Torah, Paschal Offering 10']",[]
17,[],"[u'Negative Commandments', 127]","[u'Negative Commandments', 355]","[u'Mishneh Torah, Paschal Offering 5']",[]
18,[242],"[[u'Positive Commandments', 79], []]","[u'Positive Commandments', 211]","[u'Mishneh Torah, Firstlings 1']","[u""Shulchan Arukh, Yoreh De'ah 306""]"
19,[222],"[u'Negative Commandments', 197]","[u'Negative Commandments', 76]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 443']"
20,"[34, 35]","[u'Negative Commandments', 200]","[u'Negative Commandments', 77]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 431']"
21,[144],"[u'Positive Commandments', 157]","[u'Positive Commandments', 41]","[u'Mishneh Torah, Leavened and Unleavened Bread 7:1-5']","[u'Shulchan Arukh, Orach Chayim 472']"
22,[242],"[u'Positive Commandments', 81]","[u'Positive Commandments', 145]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 12']","[u""Shulchan Arukh, Yoreh De'ah 321""]"
