Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Shney Luchot HaBrit, Beha'alotcha, Torah Ohr 32",Shney Luchot Habrit by Rabbi Eliyahu Munk,en,"As soon as the Israelites had committed this sin, the plan that this journey should have brought them to the Holy Land under the leadership of Moses, was abandoned. They had now become ""expelled",ngram,17.459806
1,--,Yoma 9b:7,Sefaria Community Translation,en,"idol worship, sexual sins, and murder",aggresive-ngram,19.854319
2,--,"Shney Luchot HaBrit, Vayechi, Derech Chaim Tochachot Musar 1",Shney Luchot Habrit by Rabbi Eliyahu Munk,en, victory sung by Deborah after Israel defeated Sisera under her leadership. G'd performs the miracles and all we can do in return is to acknowledge them with our lips.,ngram,9.177539
3,--,Mishnah Eruvin 6:5,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,". [This, if they are all partners in one vessel. And it is only a partnership in a mavui which is valid with wine, viz. (3:1): ""An eruv and a partnership (in a mavui) is made with all (foods)""; but a",aggresive-ngram,12.210826
4,--,Ketubot 103b:7,William Davidson Edition - English,en,"The Gemara explains: He, Jehoram, filled the place of his fathers, i.e., he was their equal in his personal attributes and leadership capabilities. However, Rabban Gamliel did not fill the place of",ngram,19.11098
5,--,Proverbs 30:22,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Because of a servant that attains rulership, and a scoundrel that is sated with bread,",aggresive-ngram,15.075143
6,--,Akeidat Yitzchak 95:17,Akeydat Yitzchak by Eliyahu Munk,en,"Although the locusts and the ants seem to manage without leadership, a nation devoid of leadership is likely to become prey to all kinds of invaders, and even the defence against attackers is no",ngram,18.132477
7,--,Sforno on Deuteronomy 31:3:1,"Eliyahu Munk, HaChut Hameshulash",en,"ה' אלוקיך הוא עובר לפניך, so that you have no reason to be saddened by my absence. You will enjoy leadership superior to mine, by G’d Himself orchestrating the crossing of the river. 'יהושע הוא עובר",ngram,15.753251
8,--,Akeidat Yitzchak 95:15,Akeydat Yitzchak by Eliyahu Munk,en," must base the country on a rule of justice; a man receptive to gifts (bribes) would ruin it."" (Proverbs 29,4) A king who accepts bribes is worse than no leadership at all, will bring about ruin at an accelerated pace.",ngram,14.623361
9,--,"Shulchan Arukh, Orach Chayim 53:1",Sefaria Community Translation,en,The leader should say Yishtabach while standing.,aggresive-ngram,14.4544935
