Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Psalms 31:20,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,	How great is Your good that You have stored up [(in the world to come)] for those who fear You! [But] would that You wrought for those who take shelter in You against the sons of men [(in this world)]!,aggresive-ngram,123.50928
1,--,Kiddushin 31b:1,William Davidson Edition - English,en,and this action brings him to the life of the World-to-Come.,aggresive-ngram,144.36208
2,--,Psalms 112:3,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	There is fortune and wealth in his house [(in this world)], and his righteousness endures forever [(in the world to come)].",aggresive-ngram,134.63423
3,--,Berakhot 7a:28,William Davidson Edition - English,en, person whose actions are entirely good and whose reward is entirely good both in this world and in the World-to-Come. The righteous person who suffers is one who is not a completely righteous person,ngram,24.75057
4,--,Deuteronomy 7:11,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And you shall keep the mitzvah and the statutes and the judgments which I command you today to do them; [and, tomorrow, in the world to come, you will receive their reward.]",aggresive-ngram,113.951324
5,--,Psalms 106:48,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Blessed is the L rd, the G d of Israel, from the world [i.e., from this world] until the world [to come]. And all the people will say Amen, Hallelukah!",aggresive-ngram,97.5382
6,--,Isaiah 27:6,The Holy Scriptures: A New Translation (JPS 1917),en,"In days to come shall Jacob take root, Israel shall blossom and bud; And the face of the world shall be filled with fruitage.",ngram,29.551552
7,--,Psalms 128:2,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	When you eat the toil of your hands, fortunate are you [(in this world)], and it is good unto you [(in the world to come)].",aggresive-ngram,152.45345
8,--,Yoma 72b:13,William Davidson Edition - English,en,"Rava said to the Sages in the study hall: I beg of you, do not inherit Gehenna twice. By studying Torah without the accompanying fear of Heaven, not only are you undeserving of the World-to-Come, but",aggresive-ngram,19.573977
9,--,Proverbs 2:21,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	For the just will dwell in the land [(in the world to come)], and the innocent will remain in it [(when the wicked descend to Gehinnom)].",aggresive-ngram,108.306366
