Score,Ref,Version,Lang,Content,Field
23.08298,"Shulchan Arukh, Orach Chayim 601:1",Wikisource Shulchan Aruch,he,ביום שני (מתפללים כמו ביום ראשון) (טור) וקורים מוהאלהים נסה את אברהם עד סוף סידרא ומפטיר קורא כמו אתמול ומפטיר בירמיה כה אמר ה' מצא חן במדבר עד <b>הבן</b> <b>יקיר</b> לי אפרים ובמוצאי ראש השנה מבדילין כמו במוצאי שבת אלא שאין מברכין על הבשמים ועל האש:,hebmorph-standard
23.436829,Rashbam on Pesachim 116a:5:1,Vilna Edition,he,מתני' וכאן הבן שואל את אביו - כאן במזיגת כוס שני הבן שואל את אביו אם הוא חכם מה נשתנה עכשיו שמוזגין כוס שני קודם אכילה ורבינו קבל מרבו ר' יעקב <b>בן</b> <b>יקר</b> וכן הבן שואל כמו כן בנות צלפחד (במדבר כז) כלומר דין הוא שיהא שואל במזיגת כוס שני מה נשתנה:,aggresive-ngram
17.966679,Onkelos Exodus 6:12,Onkelos Exodus,he,ומליל משה קדם יי למימר הא בני ישראל לא קבילו מני ואכדין יקבל מני פרעה ואנא <b>יקיר</b> ממלל:,ngram
10.070712,Berakhot 10b:3,William Davidson Edition - Aramaic,he,מאי <b>קיר</b> אמר רבי שמעון <b>בן</b> לקיש מקירות לבו שנאמר מעי מעי אוחילה <b>קירות</b> לבי וגו׳ ,aggresive-ngram
18.572184,Aramaic Targum to Psalms 116:15,Mikraot Gedolot,he,<b>יקיר</b> קדם יי מיתותא דמשתלחא לחסידוי:,infreq
48.40217,Rashi on Megillah 31a:9:1,Vilna Edition,he,<b>הבן</b> <b>יקיר</b> לי אפרים - משום זכור אזכרנו רחם ארחמנו:,hebmorph-standard
24.602251,Aramaic Targum to Psalms 36:8,Mikraot Gedolot,he,כמה <b>יקיר</b> טובך יי ובני נשא בטלל שכנתך ישרון לרוחצן:,ngram
19.386528,Aramaic Targum to Psalms 49:9,Mikraot Gedolot,he,ויהי <b>יקיר</b> פורקניה ויפסוק בישותיה ופורענותא לעלם:,infreq
6.791702,Rashi on Exodus 7:14:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"כבד. תּרגוּמוֹ <b>יקּיר</b> ולא אתיקּר, מפּני שׁהוּא שׁם דּבר, כּמוֹ ""כּי כבד ממּך הדּבר"" (שמות י""ח):",original
7.4061923,Rosh on Moed Katan 3:61:1,Vilna Edition,he," בדליכא חבורתא אבל איכא חבורתא פירוש נחלקו בני העיר לחבורות וכל חבורה וחבורה מתעסקין במתים שלהם אז חבורות האחרות אינן בטילות ממלאכתן ה""מ שלא בשעת הוצאת המת אבל בשעת הוצאת המת הכל בטלים והולכין להוצאת המת  אפילו מאן דלא קרי ותני דדוקא לענין ביטול ת""ת  הוא דמפלגי' <b>בין</b> <b>קרי</b> בין לא קרי: 
",aggresive-ngram
24.432459,"Prisha, Orach Chaim 591:3:1","Tur Orach Chaim, Vilna, 1923",he, בין ב' פסוקים שבירמיה כו' בפסוקי ירמיה הם זכרתי לך חסד נעוריך <b>והבן</b> <b>יקיר</b> לי אפרים ומפסיקין ביניהם בפסוק וזכרתי אני את בריתי אותך בימי נעוריך כדי לסמוך זכירת ברית ימי נעוריך לזכירת חסד נעורים: ,hebmorph-standard
