Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Tosafot Yom Tov on Mishnah Arakhin 8:7:2,"Mishnah, ed. Romm, Vilna 1913",he,"הבכור בין תמים בין בעל מום כו'. עמ""ש בסוף שקלים: 
",hebmorph-exact,20.805515
1,--,Rashi on Bava Kamma 76b:1:1,Vilna Edition,he,בעלי מומין - שחיטתן היתר בחוץ:,hebmorph-standard,85.61539
2,--,"Chizkuni, Leviticus 7:6:1",Chizkuni,he,כל זכר לרבות בעלי מומים.,hebmorph-standard,85.3259
3,--,Bartenura on Mishnah Bekhorot 5:3:2,On Your Way,he,"הרי זה לא ישחט עולמית. ואפילו נפל בו מום אחר. משום קנס, לפי שעבר והטיל מום בקדשים. שהמטיל מום בקדשים סופג את הארבעים, ואפילו עשה מום בבעל מום. דכתיב (ויקרא כ״ב) כל מום לא יהיה בו, קרי ביה לא יהיה בו, שלא יטיל בו מום. ומדהוה ליה למכתב מום וכתב כל מום, לרבות אפילו בעל מום שלא יטיל בו מום:",ngram,33.27109
4,--,Menachot 6a:15,Wikisource Talmud Bavli,he,בעל מום יוכיח,hebmorph-standard,133.8861
5,--,Rashi on Kiddushin 21b:12:1,Vilna Edition,he,ויעשה בעל מום - ומה בכך והלא רציעה מצוה היא:,hebmorph-exact,20.805515
6,--,Menachot 56b:1,Wikisource Talmud Bavli,he,אף נשחט על אותו מום,hebmorph-standard,23.016373
7,--,Rashi on Temurah 6b:46:1,WikiSource Rashi,he,לרבות שעיר המשתלח - שהמקדישו בעל מום לוקה משום לא תקדישו:,hebmorph-exact,20.805515
8,--,Rashi on Bekhorot 15a:46:1,Vilna Edition,he,רק את דמו - בבכור בעל מום כתיב:,hebmorph-standard,89.57353
9,--,Menachot 25a:20,Wikisource Talmud Bavli,he,ואימא עון בעל מום שהותר מכללו בעופות דאמר מר,hebmorph-standard,83.67881
10,--,Sanhedrin 112b:35,Wikisource Talmud Bavli,he,כל שקרב כשהוא תם ונפדה כשהוא בעל מום משלל אימעיט,hebmorph-standard,83.51107
11,--,Rashi on Makkot 19b:15:1,Vilna Edition,he,ולהלן הוא אומר - בבכור בעל מום (שנפדה) בשעריך תאכלנו ולעיל מיניה כתיב כי יהיה בו מום:,hebmorph-exact,15.074237
12,--,Bava Kamma 76b:1,William Davidson Edition - Aramaic,he,וריש לקיש אמר בשוחט בעלי מומין בחוץ,hebmorph-standard,90.85746
13,--,Bekhorot 33a:2,Wikisource Talmud Bavli,he,הני מילי תם אבל בעל מום כתיב,hebmorph-standard,95.90629
14,--,Zevachim 98b:19,Wikisource Talmud Bavli,he,בעלי מומין בין בעלי מומין עוברין בין בעלי מומין קבועין חולקין ואוכלין אבל לא מקריבין,hebmorph-standard,94.69413
15,--,Menachot 85b:27,Wikisource Talmud Bavli,he,הקדישו מהו שילקה עליו משום בעל מום,hebmorph-standard,100.77905
16,--,Bekhorot 29a:5,Wikisource Talmud Bavli,he,בשלמא בעל מום משום דקא שרי ליה אלא תם אמאי,hebmorph-standard,83.67881
17,--,Yevamot 33a:6,William Davidson Edition - Aramaic,he,בעל מום נמי כגון דאייתי שתי שערות ואיטמי ליה דהויא ליה בעל מום וטומאה בהדי הדדי אי נמי שחתך אצבעו בסכין טמאה,aggresive-ngram,52.41056
18,--,Rashi on Sanhedrin 83a:20:1,Wikisource Rashi,he,בעל מום - כהן בעל מום ששימש:,hebmorph-standard,127.105896
19,--,Temurah 27a:15,Wikisource Talmud Bavli,he,מי אמר תמימה תחת תמימה לאתפוסי בעלת מום תחת בעלת מום לאחולי ,ngram,31.578926
20,--,Sukkah 32a:4,William Davidson Edition - Aramaic,he,ואמר רבא האי לולבא דסליק בחד הוצא בעל מום הוא ופסול ,hebmorph-standard,84.77352
21,--,Ikar Tosafot Yom Tov on Mishnah Zevachim 12:1:7,On Your Way,he,"לא כו'. בתורת כהנים, בעל מום עובר מנין, ת''ל כל אשר בו מום לא יקריב:",infreq,28.798452
22,--,Rosh Hashanah 7a:1,William Davidson Edition - Aramaic,he,הא בבעל מום,hebmorph-standard,79.991135
23,--,"Shulchan Arukh, Yoreh De'ah 373:2",Torat Emet Freeware Shulchan Aruch,he,אפי' בעל מום מוזהר מליטמא אבל חלל וכהנת מותרים ליטמא:,hebmorph-standard,83.69857
24,--,Bekhorot 26b:30,Wikisource Talmud Bavli,he,הבכור נאכל שנה בשנה בין תם בין בעל מום שנאמר,hebmorph-standard,88.99499
25,--,Temurah 33a:32,Wikisource Talmud Bavli,he,מתו תמימין יקברו ובעלי מומין יפדו ,hebmorph-standard,87.00159
26,--,Temurah 33a:39,Wikisource Talmud Bavli,he,הכא במאי עסקינן בבעל מום מעיקרו ,aggresive-ngram,50.414738
27,--,Zevachim 15b:30,Wikisource Talmud Bavli,he,"אתיא בק""ו מבעל מום מה בעל מום שאוכל אם עבד חילל",hebmorph-standard,93.97111
28,--,Bekhorot 14b:18,Wikisource Talmud Bavli,he,"הואיל וקדוש כשהוא בעל מום ליקרב נמי כשהוא בעל מום קמ""ל דלא",hebmorph-standard,94.69413
29,--,Menachot 73a:13,Wikisource Talmud Bavli,he,איש איש חולק ואפילו בעל מום,hebmorph-standard,102.74681
