Score,Ref,Version,Lang,Content,Field
29.905565,Bartenura on Mishnah Berakhot 9:5:9,On Your Way,he,"כל חותמי <b>ברכות</b> שבמקדש. המברך אומר בסוף כל ברכה <b>ברוך</b> ה׳ אלהי ישראל מן <b>העולם</b> <b>ועד</b> <b>העולם</b> חונן הדעת וכן <b>בכולם</b>, והעונין אומרים <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>. שאין עונין אמן אחר כל ברכה שבמקדש, דכתיב בעזרא",ngram
28.712496,"Shulchan Arukh, Orach Chayim 66:1",Wikisource Shulchan Aruch,he,בין הפרקים שואל בשלום אדם נכבד ומשיב שלום לכל אדם ובאמצע שואל בשלום מי שהוא ירא ממנו כגון אביו או רבו או מי שהוא גדול ממנו בחכמה וכל שכן מלך או אנס ומשיב שלום לאדם נכבד ואפילו באמצע הפסוק חוץ מפסוק שמע ישראל <b>וברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> שלא יפסיק בהם כלל אם לא מפני מי שירא שמא יהרגנו:,ngram
125.81498,"Shulchan Arukh, Orach Chayim 623:6",Wikisource Shulchan Aruch,he,"בסוף הסליחות אומרים שבע פעמים ה' הוא האלהים (ופעם אחת שמע ישראל, ושלש פעמים <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>) (מנהגים) (ועיין לעיל סימן ס''א). ותוקעים תשר''ת.  הגה: ויש אומרים שאין לתקוע רק תקיעה אחת (מרדכי והגהות מיימוני סוף הלכות יום כיפור ואגור) וכן נוהגין במדינות אלו ותוקעין לאחר שאמר קדיש לאחר נעילה וקצת מקומות נהגו לתקוע קודם קדיש:",hebmorph-standard
134.86647,Mishnah Yoma 3:8,Torat Emet 357,he," נא לעונות ולפשעים ולחטאים, שעויתי ושפשעתי ושחטאתי לפניך אני וביתי, ככתוב בתורת משה עבדך (ויקרא טז), כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני יי תטהרו. והן עונין אחריו, <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>: 
",hebmorph-standard
223.57945,"Shulchan Arukh, Orach Chayim 619:2",Wikisource Shulchan Aruch,he,בליל יום הכיפורים ומחרתו אומרים <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> בקול רם:,hebmorph-standard
20.441444,Tosefta Ta'anit 1:10,Tosefta Ta'anit -- Machon Mamre,he,על [הראשונה] הוא אומר <b>ברוך</b> ה' אלהי ישראל מן <b>העולם</b> <b>ועד</b> <b>העולם</b> <b>ברוך</b> גואל ישראל והן עונין אחריו <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> [וגו'] וחזן הכנסת אומר [להם] תקעו הכהנים תקעו וחוזר ואומר [להם] מי שענה את אברהם בהר,hebmorph-standard
167.6436,Yoma 39a:7,William Davidson Edition - Aramaic,he,נתנן על שני השעירים ואומר לה׳ חטאת רבי ישמעאל אומר לא היה צריך לומר חטאת אלא לה׳ והן עונין אחריו <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>,hebmorph-standard
164.24603,Rashi on Taanit 16b:10:2,Vilna Edition,he,לא היו נוהגין כך - שיהו עונין אחריו <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> אלא עונין אמן בגבולין:,hebmorph-standard
125.48984,Bartenura on Mishnah Pesachim 4:8:4,On Your Way,he,"וכורכין את שמע. שלא היו אומרים <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> בקריאת שמע. פרוש אחר שלא היו מפסיקין בין אחד לואהבת, שצריך להאריך באחד ולהפסיק בין מלכות שמים לדברים אחרים:",hebmorph-standard
139.73717,Taanit 16b:8,Wikisource Talmud Bavli,he,ואלא במקדש מהו אומר ברוך ה' אלהים אלהי ישראל מן העולם ועד העולם ברוך גואל ישראל והן עונין אחריו <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> וחזן הכנסת אומר להם תקעו הכהנים בני אהרן תקעו,hebmorph-standard
124.10335,Mishnah Yoma 6:2,"Mishnah, ed. Romm, Vilna 1913",he,". ככתוב בתורת משה עבדך לאמר (ויקרא טז, ל) כי ביום הזה יכפר עליכם לטהר אתכם מכל חטאתיכם לפני ה' תטהרו. והכהנים והעם העומדים בעזרה. כשהיו שומעים שם המפורש שהוא יוצא מפי כהן גדול היו כורעים ומשתחוים. ונופלים על פניהם. ואומרים <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>:  ",hebmorph-standard
240.57701,"Shulchan Arukh, Orach Chayim 61:13",Torat Emet 363,he,"אחר פסוק ראשון צריך לומר <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b> בחשאי. 
",hebmorph-standard
187.04846,"Siddur, Sefard 3:7:73",Torat Emet 357,he," צפרדע אומרת <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>: (יומא פ""ג מ""ח) 
",hebmorph-standard
125.1759,Mishnah Yoma 4:1,"Mishnah, ed. Romm, Vilna 1913",he,טרף בקלפי והעלה שני גורלות. אחד כתוב עליו לשם. ואחד כתוב עליו לעזאזל. הסגן בימינו. וראש בית אב משמאלו. אם של שם עלה בימינו הסגן אומר לו אישי כהן גדול הגבה ימינך. ואם של שם עלה בשמאלו. ראש בית אב אומר לו אישי כהן גדול הגבה שמאלך. נתנו על שני השעירים ואומר לה' חטאת. ר' ישמעאל אומר לא היה צריך לומר חטאת אלא לה'. והן עונין אחריו <b>ברוך</b> <b>שם</b> <b>כבוד</b> <b>מלכותו</b> <b>לעולם</b> <b>ועד</b>:  ,hebmorph-standard
