Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Rashi on Megillah 2b:16:1,Vilna Edition,he,פרזי פרזי - לא גמיר גזירה שוה מרביה ואין אדם דן גזירה שוה מעצמו אלא אם כן קיבלה מרבו,hebmorph-standard,78.78458
1,--,Horayot 9b:10,Wikisource Talmud Bavli,he,"שוה בכפרה דיוה""כ",hebmorph-exact,5.6244216
2,--,Rashbam on Exodus 2:2:1,Rashbam on Torah -- Daat,he,ותהר האשה - בעת גזירת פרעה בהשליך הזכרים ליאור. ,original,5.415172
3,--,"Siftei Hakhamim, Leviticus 21:5:1",Siftei Hakhamim,he,"ח כמו שמוכיח רש""י מגזירה שוה:  ",hebmorph-standard,95.32004
4,--,Rashi on Chagigah 9a:8:1,Vilna Edition,he,מופנה - וצריכה גזירה שוה זו שתהא מופנה דתו לא פרכינן עליה מידי דכל גזירה שוה מופנה למידין ואין משיבין:,hebmorph-standard,78.78458
5,--,Rashi on Yevamot 78a:12:1,Vilna Edition,he,שאני התם - גבי שפחה גזירת הכתוב היא דולד שפחה כשפחה:,original,5.563562
6,--,Rashi on Ketubot 30a:7:2,Vilna Edition,he,בידי שמים - אם באים פורעניות על האדם גזירת המלך הוא:,hebmorph-exact,5.469064
7,--,Moed Katan 4a:8,William Davidson Edition - Aramaic,he,מתקיף לה רב אשי מאן דאמר הלכתא אתיא גזרה שוה עקרה הלכתא ומאן דאמר קרא אתיא גזרה שוה עקרה קרא,aggresive-ngram,59.60905
8,--,Rashi on Megillah 16a:17:1,Vilna Edition,he,שוה - חושש:,hebmorph-exact,6.3171735
9,--,Temurah 10a:26,Wikisource Talmud Bavli,he,"גזירת הכתוב הוא קרבנו מדידיה הוא דמכפר מדאחרים לא קמ""ל ",original,6.2383895
10,--,Rashi on Esther 3:14:2,On Your Way,he,להנתן דת . ציווי הכתב שהיה אומר להנתן חוק גזירת המלך : ,hebmorph-exact,5.469064
11,--,Tosafot on Bekhorot 28b:27:1,Vilna Edition,he,משום גזירת מגדלי בהמה דקה - פירוש שהחמירו עליהם חכמים שלא לגדלם כי אם בחורשין חוץ ליישוב ויש בה טורח גדול ואינו שוה אלא רביע דהיינו מחצה פחות מן הגסה וגם בקונטרס פירש כן מפני טורח גזרו לה אבל לא דקדק ליישב לשון גזירה:,hebmorph-exact,6.8683243
12,--,Yoma 73b:3,William Davidson Edition - Aramaic,he,ואף על פי שגזירת נביא חוזרת גזירת אורים ותומים אינה חוזרת שנאמר במשפט האורים ,hebmorph-exact,5.276035
13,--,Rosh Hashanah 34a:3,William Davidson Edition - Aramaic,he,ומנין ליתן את האמור של זה בזה ושל זה בזה תלמוד לומר שביעי שביעי לגזירה שוה,hebmorph-standard,87.1147
14,--,Rosh Hashanah 34a:5,William Davidson Edition - Aramaic,he,האי תנא מעיקרא מייתי לה בהיקישא והשתא מייתי לה בגזירה שוה הכי קאמר אי לאו גזירה שוה הוה מייתינא לה בהיקישא השתא דאתיא בגזירה שוה היקישא לא צריך,hebmorph-standard,102.57556
15,--,Rashi on Sanhedrin 99a:76:2,Wikisource Rashi,he,"מק""ו ומגזירה שוה - [ושא""ל רבו גזירה שוה] לא גמר מרבו:",hebmorph-standard,112.751656
16,--,Metzudat David on II Kings 18:25:1,On Your Way,he,המבלעדי ה׳. וכי מבלי גזירת המקום: ,hebmorph-exact,6.562876
17,--,Rashi on Avodah Zarah 31a:1:1,WikiSource Rashi,he,סתם יינם אסור בהנאה - משום גזירת יין נסך:,original,5.415172
18,--,Bava Kamma 6b:21,William Davidson Edition - Aramaic,he,ורבי ישמעאל אהני גזרה שוה ואהני קרא אהני גזרה שוה כדקאמינא,aggresive-ngram,69.344765
19,--,Zevachim 50b:9,Wikisource Talmud Bavli,he,"גזירה שוה המלמדת בגז""ש חבירתה מדרמי בר חמא אינו דין שתלמד בק""ו",hebmorph-standard,78.9627
20,--,Arakhin 14b:44,Wikisource Talmud Bavli,he,רבנן אית להו גזירה שוה ומפקין ליה לחומש או דלמא לית להו גזירה שוה ולית להו לחומש,hebmorph-standard,88.57221
21,--,Zevachim 48a:23,Wikisource Talmud Bavli,he,אין גזירה שוה למחצה,hebmorph-standard,143.15431
22,--,Rashi on Psalms 77:9:2,On Your Way,he,"גמר אומר . גזירת עולם שלא ישוב מחרונו עוד :
",original,5.563562
23,--,Kli Yakar on Numbers 20:3:2,On Your Way,he,", דומה לאחינו בית ישראל שמתו קודם גזירת ושם ימותו לעה""ב כי אז היינו שוים לאחינו בחלק העה""ב, ולמה הבאתם וגו' למות שם אנחנו שוה לבעירנו כי הוא הפך בגוע אחינו אלא כמיתת בעירנו. ובזה מיושב מה שהזכירו תחלה",hebmorph-exact,5.5532413
24,--,Zevachim 18a:8,Wikisource Talmud Bavli,he,מקמי דליקום גזירה שוה,hebmorph-standard,142.89511
25,--,Tosafot Yom Tov on Mishnah Moed Katan 3:5:4,"Mishnah, ed. Romm, Vilna 1913",he,"שמנה בטלה הימנו גזירת ל'. כתב הר""ב הואיל ונכנס אחד מימי הגילוח כו'. וטעמא דסגי בחד יומא גבי שלשים וגבי ז' בעינן ג'. משום דדין כל שלשים שוה משא""כ בשבעה. הר""ן. ועיין במשנה ו': 
",infreq,17.019247
26,--,Rashi on Ketubot 80a:2:2,Vilna Edition,he,בכאיסר - שוה איסר:,hebmorph-exact,5.0163255
27,--,Ikar Siftei Hachamim on Leviticus 26:22:2,On Your Way,he,וכאן כתיב גם כן והשלחתי בכם וגו' לגזירה שוה:,hebmorph-standard,79.433365
28,--,Rashbam on Bava Batra 120b:3:1,Vilna Edition,he,מאי גזירה שוה - דילפי' זה דנדרים וזה דשחוטי חוץ מהדדי:,hebmorph-standard,79.72746
29,--,Shevuot 35b:74,Wikisource Talmud Bavli,he,ורבנן אי גמירי גזירה שוה ניבעי שם המיוחד אי לא גמירי גזירה שוה אלה דשבועה היא מנא להו,hebmorph-standard,97.976036
30,--,Rashi on Leviticus 6:16:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,כליל. כּלּהּ שׁוה לגּבוֹהּ:,original,5.070138
31,--,Zevachim 107a:56,Wikisource Talmud Bavli,he,ההוא מיבעי ליה לגזירה שוה,hebmorph-standard,119.63625
32,--,Rashi on Zevachim 50b:5:2,Wikisource Rashi,he,מדרב פפא - וזאת תורת זבח השלמים כו' דפשט רב פפא מיניה לגזירה שוה חוזרת ומלמדת בהיקש:,aggresive-ngram,11.856317
33,--,Gittin 49a:4,William Davidson Edition - Aramaic,he,ורבי ישמעאל אהני גזרה שוה ואהני קרא אהני גזרה שוה לכדאמרן אהני קרא דאי אית ליה למזיק עידית וזיבורית וזיבורית דידיה לא שויא כעידית דניזק דמשלם ליה ממיטב,aggresive-ngram,54.694897
34,--,Shevuot 21b:49,Wikisource Talmud Bavli,he,הא בעינן שוה פרוטה,hebmorph-exact,5.666728
35,--,"Prisha, Even HaEzer 31:10:1","Tur Even HaEzer, Vilna, 1923",he," אבל ר""י כתב שאפילו ידוע כו' פירוש דר""י סבר שאין האשה מקדשה נפשה אלא דוקא בש""פ במקומה והא דאמרינן שמא שוה פרוטה במדי לאו למימרא דאי ידעינן בוודאי ליהוי קדושין גמורין אלא לומר דאפילו בסתמא חיישינן שמא",hebmorph-exact,5.2854853
36,--,Berakhot 35a:6,William Davidson Edition - Aramaic,he,ואי לא יליף גזרה שוה ברכה מנא ליה ואי נמי יליף גזרה שוה אשכחן לאחריו לפניו מנין ,aggresive-ngram,58.98947
37,--,"Ba'er Hetev on Shulchan Arukh, Yoreh De'ah 334:24",Torat Emet 357,he," לקיים.  וכ''כ הרב לעיל ס''ס רכ''ח לענין גזירת הקהל: 

",hebmorph-exact,5.56282
38,--,Eben Ezra on Lamentations 3:64:1,Ibn Ezra on Lamentations -- Wikitext,he,"גמול – בסמוך ובמוכרת שוה:
",hebmorph-exact,5.016009
39,--,Rashi on Gittin 49a:4:2,Vilna Edition,he,אהני גזירה שוה - דשדה שדה דבניזק שיימינן:,hebmorph-standard,95.67294
40,--,Mekhilta d'Rabbi Yishmael 21:29:6,Mekhilta -- Wikisource,he,והמית איש או אשה מופנה להקיש ולדון גזרה שוה.,aggresive-ngram,50.626366
41,--,"Siftei Hakhamim, Leviticus 26:22:2",Siftei Hakhamim,he,ב וכאן כתיב גם כן והשלחתי בכם וגו' לגזירה שוה:  ,hebmorph-standard,79.64854
42,--,Zevachim 59b:19,Wikisource Talmud Bavli,he,כי גמר גזירה שוה בגובהה הוא דגמיר,hebmorph-standard,102.461105
43,--,Rashi on Ezekiel 22:4:1,On Your Way,he,עד שנותיך . גזירת ונושנתם ( דברים ד ) בגי' שאמר משה : ,hebmorph-exact,5.469064
44,--,"Beit Yosef, Yoreh Deah 215:4:1","Tur Yoreh Deah, Vilna, 1923",he," שהנדרים חלים על דבר מצוה וכן הנודר שיצום ב' וה' כל ימיו ופגע בימים אלו י""ט חייב לצום פגעו בו חנוכה ופורים ידחה נדרו מפני שהימים האלו הואיל ואיסור הצום בהם מד""ס הרי הן צריכין חיזוק וידחה נדרו מפני גזירת",hebmorph-exact,5.905024
45,--,Sanhedrin 40b:10,Wikisource Talmud Bavli,he,בהיטב היטב ילפינן מהדדי וגזירה שוה מופנה,hebmorph-standard,106.881805
46,--,Menachot 34a:55,Wikisource Talmud Bavli,he,"אי לאו גזירה שוה הוה אמינא ליכתבא אאבנא וליקבעה אסיפא קמ""ל:",hebmorph-standard,75.96873
47,--,Menachot 34a:54,Wikisource Talmud Bavli,he,ומאחר דכתיב [וכתבתם] האי גזירה שוה למה לי,hebmorph-standard,89.237564
48,--,Kiddushin 20a:12,Wikisource Talmud Bavli,he,"נמכר לישראל מנלן ת""ל שכיר שכיר לגזירה שוה",hebmorph-standard,79.64854
49,--,Zevachim 24a:34,Wikisource Talmud Bavli,he,לעולם לית ליה גזירה שוה והכי קאמר,hebmorph-standard,107.27752
50,--,Ikar Tosafot Yom Tov on Mishnah Parah 11:9:2,On Your Way,he,ולאו גזירה שוה גמורה. ולכך אם לא אגדו כשר. כ''מ:,hebmorph-standard,79.433365
51,--,Arakhin 30a:61,Wikisource Talmud Bavli,he,{ויקרא כה } שכיר {דברים טו } שכיר לגזירה שוה,hebmorph-standard,85.069305
52,--,Ketubot 38b:2,William Davidson Edition - Aramaic,he,מסתברא אשר לא אורסה לגזירה שוה שהרי אני קורא בה נערה בתולה אדרבה בתולה לגזירה שוה שהרי אני קורא בה אשר לא אורסה מסתברא הא אישתני גופה והא לא אישתני גופה,hebmorph-standard,80.89101
53,--,Rashi on Avodah Zarah 5a:1:1,WikiSource Rashi,he,לומר לך - גזירת מלך היתה ליתן פתחון פה לשבים:,original,5.563562
54,--,Ketubot 38b:1,Wikisource Talmud Bavli,he,אימא בתולה לגזירה שוה ואשר לא אורסה פרט לנערה שנתארסה ונתגרשה,hebmorph-standard,82.877686
55,--,Ketubot 38b:5,William Davidson Edition - Aramaic,he,בשלמא רבי עקיבא דמתניתין לא אתיא גזירה שוה ומפקא ליה לקרא מפשטיה לגמרי אלא לרבי עקיבא דברייתא אתיא גזירה שוה ומפקא מפשטיה לגמרי ,hebmorph-standard,85.52737
56,--,Rashi on Bava Metzia 47a:16:3,Vilna Edition,he,לא - ואפילו שוה הרבה:,hebmorph-exact,5.016009
57,--,Shevuot 24b:35,Wikisource Talmud Bavli,he,הא בעינן שוה פרוטה,hebmorph-exact,5.666728
58,--,Bava Kamma 14b:6,William Davidson Edition - Aramaic,he,שוה כסף,hebmorph-exact,7.1115007
59,--,Kiddushin 8a:1,William Davidson Edition - Aramaic,he,אף שוה כסף נמי דקייץ,hebmorph-exact,5.2803016
60,--,Targum Jonathan on Leviticus 14:54,Targum Jonathan on Leviticus,he,דא תהוי גזירת אחויית אורייתא לכל מכתש סגירותא ולניתקא,hebmorph-exact,5.456963
61,--,Niddah 66b:25,Wikisource Talmud Bavli,he,טעמא מאי משום גזירת מרחצאות הא על גבי סילתא שפיר דמי ,original,5.164988
62,--,Rashi on Yevamot 48a:9:1,Vilna Edition,he,"תקוץ - אצפרנים קאי ואע""ג דלאו ניוול גזירת הכתוב היא:",hebmorph-exact,5.456963
63,--,Rashi on Yoma 68a:10:1,Vilna Edition,he,ורבנן - דמפקי ליה לקרא לטומאת בגדים ולית להו גזירה שוה:,hebmorph-standard,79.433365
64,--,Mishnah Berurah 511:17,On Your Way,he,{יז} אסור - דאסרו חכמים רחיצה במרחץ משום גזירת הבלנין שהיו מזלזלין בזה לעשות באיסור כמבואר בשבת דף מ':,aggresive-ngram,12.791081
65,--,Menachot 51b:34,Wikisource Talmud Bavli,he,"ת""ל כליל כליל לגזירה שוה",hebmorph-standard,125.26002
66,--,Rashi on Makkot 21a:28:1,Vilna Edition,he,אי גמיר גזירה שוה - ההיא גזירה שוה דפאה פאה קאמר ובמסכת קדושין היא (שם):,hebmorph-standard,89.86859
67,--,Nazir 46a:4,William Davidson Edition - Aramaic,he,אימא עד דאיכא תרווייהו אי הכי גזירה שוה למה לי,hebmorph-standard,99.06882
68,--,Pesachim 66a:12,Wikisource Talmud Bavli,he,"וכי מאחר דגמר גזירה שוה ק""ו למה לי אלא לדידהו קאמר להו בשלמא גזירה שוה לא גמריתו דאין אדם דן גזירה שוה מעצמו אלא ק""ו דאדם דן מעצמו איבעי לכו למידן אמרו ליה קל וחומר פריכא הוא:",hebmorph-standard,88.56513
