Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Leviticus 22:26,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,318.69308
1,--,Numbers 5:1,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,302.97592
2,--,Numbers 19:1,Tanach with Text Only,he,וידבר יהוה אל־משה ואל־אהרן לאמר,ngram,78.68557
3,--,Numbers 5:11,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,285.85498
4,--,Numbers 28:1,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,326.72394
5,--,Numbers 6:22,Tanach with Ta'amei Hamikra,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,305.92084
6,--,Numbers 8:5,Tanach with Ta'amei Hamikra,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,297.7137
7,--,Leviticus 5:14,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,316.96967
8,--,Leviticus 15:1,Tanach with Text Only,he,וידבר יהוה אל־משה ואל־אהרן לאמר,ngram,88.941
9,--,Leviticus 21:16,Tanach with Ta'amei Hamikra,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,309.887
10,--,Leviticus 23:26,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,376.08322
11,--,Leviticus 22:1,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,294.79578
12,--,Leviticus 23:23,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,285.29782
13,--,Leviticus 12:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,343.64188
14,--,Numbers 8:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,291.65933
15,--,Leviticus 23:9,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,285.8555
16,--,Leviticus 22:17,Tanach with Ta'amei Hamikra,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,282.62286
17,--,Numbers 9:9,Tanach with Ta'amei Hamikra,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,326.2872
18,--,Leviticus 17:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,288.27402
19,--,Leviticus 27:1,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,450.93817
20,--,Leviticus 5:20,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,321.4554
21,--,Exodus 13:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,330.52603
22,--,Numbers 15:1,Tanach with Nikkud,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,292.30637
23,--,Numbers 6:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,334.0011
24,--,Leviticus 18:1,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,293.18698
25,--,Exodus 30:11,Tanach with Text Only,he,וידבר יהוה אל־משה לאמר,hebmorph-standard,340.34103
