Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Ikar Tosafot Yom Tov on Mishnah Sukkah 5:7:3,On Your Way,he,מצה כו'. מצה ואח''כ חמץ דתדיר ושאינו תדיר תדיר קודם. גמרא:,ngram,20.09793
1,--,"Mishneh Torah, Paschal Offering 10:15",Torat Emet 363,he, שבארנו. אבל פסח שני חמץ ומצה עמו בבית. ואינו טעון הלל באכילתו. ומוציאין אותו חוץ לחבורתו. ואין מביאין עמו חגיגה ואינו בא בטמאה. ושניהם דוחין את השבת. וטעונין הלל בעשיתן ונאכלין צלי בבית אחד על מצה ומרור,hebmorph-standard,28.398996
2,--,Rashi on Eruvin 27a:5:2,Vilna Edition,he,"שמחה - ושמחת אתה וביתך (דברים יד) הרי נשים במשמע ומצה נמי חובה לנשים במס' פסחים (דף מג.) מהיקישא דלא תאכל עליו חמץ שבעת ימים תאכל עליו מצות כל שישנו בבל תאכל חמץ ישנו בקום אכול מצה ונשים ישנן בבל תאכל חמץ דכל מצות לא תעשה נשים מוזהרות כאנשים בפ""ק דקידושין (דף כט.):",ngram,21.744774
3,--,Mishnah Berurah 451:110,On Your Way,he,"(קי) שאין מועיל - משום דבולעת מן החמץ ע""י אור בלי שום משקה וללבנה א""א דהא של עץ היא ועיין בא""ר שכתב דכ""ז לכתחלה אבל בדיעבד אם נשתמש ברחת של חמץ מצה אחר הגעלה מותר:",hebmorph-standard,40.81572
4,--,"Darchei Moshe, Orach Chaim 467:14:1","Tur Orach Chaim, Vilna, 1923",he," דל""מ עיכול לדבר שלם ודין כלי שני בפסח בה' הגעלה שבהג""מ שבסוף ה' חמץ ומצה כתב דכלי שני בפסח אסור וכ""מ במרדכי פרק כ""ש שכתב שם ע""ד מעשה שמלגו תרנגולת בע""פ בנוצתה בקערה של חמץ והוא כלי שני ואסר לאכלה בפסח",hebmorph-exact,3.562292
5,--,Jerusalem Talmud Pesachim 70a:4,Mechon Mamre Talmud Yerushalmi,he,אביו מלמדו מה נשתנה הלילה הזה מכל הלילות שבכל הלילות אנו מטבילין פעם אחת והלילה הזה שתי פעמים שבכל הלילות אנו אוכלין חמץ ומצה והלילה הזה כולו מצה שבכל הלילות אוכלין בשר צלי שלוק ומבושל והלילה הזה,hebmorph-standard,32.387848
6,--,Rashi on Menachot 77b:45:1,Wikisource Rashi,he,נגד חמץ הבא - דכמה שמביא סולת לצורך חמץ הבא מצה:,ngram,27.571087
7,--,Pesachim 43b:1,Wikisource Talmud Bavli,he,"סלקא דעתך אמינא הואיל וכתיב (דברים טז, ג) לא תאכל עליו חמץ שבעת ימים תאכל עליו מצות כל שישנו בקום אכול מצה ישנו בבל תאכל חמץ והני נשי הואיל וליתנהו בקום אכול מצה דהויא ליה מצות עשה שהזמן גרמא (היא) אימא בבל תאכל חמץ נמי ליתנהו קמ""ל",ngram,19.329645
8,--,Pesachim 9b:10,William Davidson Edition - Aramaic,he,תשע ציבורין של מצה ואחד של חמץ ואתא עכבר ושקל ולא ידעינן אי מצה שקל אי חמץ שקל היינו תשע חנויות פירש ואתא עכבר ושקל היינו סיפא,ngram,24.63137
9,--,Rashi on Menachot 77a:1:1,Wikisource Rashi,he,עשרה היו לחמץ עשרון לחלה - די' חלות היו חמץ ובמצה ג' מינין וכל אחד היה של י' חלות נמצא במצה שלשים חלות של י' עשרונות נמצאו שלש עשרונות ושליש עשרון לכל מין ומין וג' חלות לעשרון שמכל עשרון היה עושה,hebmorph-standard,28.269981
