Score,Ref,Version,Lang,Content,Field
170.98116,Sforno on Genesis 39:12:1,On Your Way,he,וינס מן החדר פן יגבר עליו <b>יצר</b> <b>הרע</b>:,hebmorph-standard
182.67653,Pirkei Avot 2:11,"Mishnah, ed. Romm, Vilna 1913",he,רבי יהושע אומר עין הרע. <b>ויצר</b> <b>הרע</b>. ושנאת הבריות. מוציאין את האדם מן העולם: ,hebmorph-standard
204.5451,Rashi on Kiddushin 81a:13:2,Vilna Edition,he,אידמי ליה שטן - דהוא <b>יצר</b> <b>הרע</b>:,hebmorph-standard
204.34407,Rashi on Kiddushin 30b:8:1,Vilna Edition,he,מנוול זה - <b>יצר</b> <b>הרע</b> מתגרה בך:,hebmorph-standard
191.72018,Sanhedrin 45a:20,Wikisource Talmud Bavli,he,גמירי אין <b>יצר</b> <b>הרע</b> שולט אלא במי שעיניו רואות,hebmorph-standard
272.45877,Rashi on Ecclesiastes 11:10:2,On Your Way,he,והעבר רעה . <b>יצר</b> <b>הרע</b> : ,hebmorph-standard
205.17738,Rashi on Kiddushin 30b:5:1,Vilna Edition,he,משאו ומתנו - של <b>יצר</b> <b>הרע</b> באדם להחטיאו:,hebmorph-standard
239.16827,Rashi on Proverbs 29:21:1,On Your Way,he,מפנק מנער עבדו . <b>יצר</b> <b>הרע</b> : ,hebmorph-standard
238.40141,Tosafot Yom Tov on Pirkei Avot 2:11:2,"Mishnah, ed. Romm, Vilna 1913",he,"<b>יצר</b> <b>הרע</b>. רוב התאוה. הרמב""ם: 
",hebmorph-standard
204.5451,Rashi on Berakhot 17a:2:3,Vilna Edition,he,שאור שבעיסה - <b>יצר</b> <b>הרע</b> שבלבבנו המחמיצנו:,hebmorph-standard
39.600754,Rashi on Temurah 16a:62:1,WikiSource Rashi,he,ועשית לי מרעה לבלתי - כלומר לבלתי ישגבני <b>יצר</b> <b>הרע</b> מלשנות שלא ישגבני <b>יצר</b> <b>הרע</b> לבטל מתלמוד תורה:,infreq
238.63596,Metzudat David on Zechariah 13:2:3,On Your Way,he,רוח הטומאה. הוא <b>יצר</b> <b>הרע</b>: ,hebmorph-standard
48.206856,Rashi on Berakhot 5a:2:1,Vilna Edition,he,ירגיז <b>יצר</b> טוב - שיעשה מלחמה עם <b>יצר</b> <b>הרע</b>:,infreq
273.33517,Rashi on Sukkah 52b:2:1,Vilna Edition,he,מנוול זה - <b>יצר</b> <b>הרע</b>:,hebmorph-standard
62.870575,Rashi on Lamentations 3:42:1,On Your Way,he,נחנו פשענו ומרינו . זה דרכינו על ידי <b>יצר</b> <b>הרע</b> [ : ,aggresive-ngram
32.515686,Sforno on Numbers 25:1:2,On Your Way,he," ויאכל העם וישתחוו לאלהיהן שכך דרכו של <b>יצר</b> <b>הרע</b> לצאת <b>מרעה</b> אל <b>רעה</b> כמו שהעידו רבותינו ז''ל (בשבת דף קה):

",hebmorph-standard
238.63596,Ikar Tosafot Yom Tov on Pirkei Avot 2:11:2,On Your Way,he,<b>יצר</b> <b>הרע</b>. רוב התאוה. הר''מ:,hebmorph-standard
272.45877,Rashi on Sanhedrin 24a:40:1,Wikisource Rashi,he,איפה - זה <b>יצר</b> <b>הרע</b>:,hebmorph-standard
170.98116,Rashi on Ecclesiastes 9:16:3,On Your Way,he,מלך גדול . זה <b>יצר</b> <b>הרע</b> שכל איבריו מרגישים בו : ,hebmorph-standard
191.12936,Niddah 13b:7,Wikisource Talmud Bavli,he,נקרא עבריין שכך אומנתו של <b>יצר</b> <b>הרע</b> היום אומר לו ,hebmorph-standard
272.7268,Rashi on Proverbs 22:10:1,On Your Way,he,"גרש לץ . <b>יצר</b> <b>הרע</b> :
",hebmorph-standard
62.870575,"Chizkuni, Genesis 1:31:1",Chizkuni,he,וירא אלקים את כל אשר עשה וגו׳‎ אפי׳‎ <b>יצר</b> <b>הרע</b>.,aggresive-ngram
170.83449,Rashi on Shabbat 156b:6:1,Vilna Edition,he,ובעי רחמי - בקש רחמים שלא ישלוט בך <b>יצר</b> <b>הרע</b>:,hebmorph-standard
273.33517,Rashi on Zechariah 13:2:2,On Your Way,he,"רוח הטומאה . <b>יצר</b> <b>הרע</b> :
",hebmorph-standard
