Score,Ref,Version,Lang,Content,Field
14.119213,Sanhedrin 64a:2,Wikisource Talmud Bavli,he,שלא לימדו <b>אביו</b> <b>ואמו</b>,hebmorph-exact
16.091696,"Mahberet Menachem, Letter Kof 21:3","Mahberet Menahem, London, 1854.",he,"‎השני, ומדוע הקלתני (ש""ב יט, מד), ואנכי איש רש ונקלה (ש""א יח, כג), ונקלה כבוד מואב (ישעיהו טז, יד), ובזי יקלו (ש""א ב, ל), מלא פניהם קלון (תהלים פג, יז), הן קלתי (איוב מ, ד), <b>מקלל</b> <b>אביו</b> <b>ואמו</b> (משלי כ, כ), וקיקלון על כבודך (חבקוק ב, טז).",hebmorph-exact
110.59423,Rashi on Proverbs 20:20:1,On Your Way,he,"<b>מקלל</b> <b>אביו</b> <b>ואמו</b> . ידעך נרו באשון חשך  בהנשיף ובהשחיר החשך כלומר בבא הרעה :
",aggresive-ngram
19.912458,Ralbag on Proverbs 20:20:1,On Your Way,he,<b>מקלל</b> <b>אביו</b> <b>ואמו</b> . מי שהוא <b>מקלל</b> <b>אביו</b> <b>ואמו</b> יכבה נרו וישאר בשחרות החשך והיה זה כן לפי שזה מונע ממנו קבולו המוסר מהם וזה סבה למנוע ממנו כל שלמות עם שזה ממה שירגילהו לבלתי הכר הטוב למי שגמלהו טוב והיה סבת,hebmorph-exact
34.71119,Sanhedrin 66a:15,Wikisource Talmud Bavli,he,אשר <b>יקלל</b> את <b>אביו</b> ואת <b>אמו</b> אין לי אלא <b>אביו</b> <b>ואמו</b> <b>אביו</b> שלא <b>אמו</b> <b>אמו</b> שלא <b>אביו</b> מניין,infreq
135.3261,Tosafot Yom Tov on Mishnah Sanhedrin 7:8:2,"Mishnah, ed. Romm, Vilna 1913",he,"<b>המקלל</b> <b>אביו</b> <b>ואמו</b>. עיין בריש פרק י""א: 
",aggresive-ngram
16.136166,Daat Zkenim on Deuteronomy 21:18:1,daat zekenim,he,"כי יהיה לאיש בן סורר ומורה. על שם סופו הוא נהרג 
כדפרש""י ואי קשיא כיון שנהרג מפני שעתיד ללסטם את הבריות אין לחייבו במיתה חמורה מלסטים 
דאלו רוצח בסייף וזה בסקילה ונראה לומר מדכתיב איננו שומע בקול אביו ובקול אמו והוי כמו <b>מקלל</b> 
<b>אביו</b> <b>ואמו</b> שהוא בסקילה שנא' אביו ואמו קלל דמיו בו: ",hebmorph-exact
106.59499,Kiddushin 30b:20,William Davidson Edition - Aramaic,he,נאמר <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת ונאמר איש איש כי יקלל אלהיו ונשא חטאו השוה הכתוב ברכת אב ואם לברכת המקום אבל בהכאה ודאי אי אפשר,aggresive-ngram
17.114988,Haamek Davar on Exodus 21:17:1,"Sefer Torat Elohim, Vilna 1879",he," בשם הגאון. ולפי״ז אינו אלא טעם על גונב נפש ולא בא הסמיכות משום מקלל או״א. אבל יש עוד ללמדנו דבמקלל אף ע״ג שאינו מכיר לאו״א שהרי נגנב ונמכר. והוא <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מי שהוא ה״ז חייב מיתה והיינו דיוק <b>מקלל</b> <b>אביו</b> <b>ואמו</b> ולא אב ואם. היינו שהוא אין מזכירם בשמם אלא אומר יקולל אבי ואמי:
",hebmorph-exact
112.28638,Sanhedrin 66a:12,Wikisource Talmud Bavli,he,"(ויקרא כד, טז) בנקבו שם יומת מה ת""ל שם לימד על <b>מקלל</b> <b>אביו</b> <b>ואמו</b> שאינו חייב עד שיקללם בשם",aggresive-ngram
37.97567,Bava Metzia 94b:24,William Davidson Edition - Aramaic,he,דתניא איש אשר <b>יקלל</b> את <b>אביו</b> ואת <b>אמו</b> אין לי אלא <b>אביו</b> <b>ואמו</b> <b>אביו</b> בלא <b>אמו</b> <b>אמו</b> בלא <b>אביו</b> מנין תלמוד לומר <b>אביו</b> <b>ואמו</b> <b>קלל</b> <b>אביו</b> <b>קלל</b> <b>אמו</b> <b>קלל</b> דברי רבי יאשיה,infreq
46.611897,Leviticus 20:9,Tanach with Nikkud,he,כי־איש איש אשר <b>יקלל</b> את־<b>אביו</b> ואת־<b>אמו</b> מות יומת <b>אביו</b> <b>ואמו</b> <b>קלל</b> דמיו בו,infreq
54.96783,Gur Aryeh on Vayikra 20:9:3,OYW,he,"ולמדנו מאוב וידעוני וכו'. עיין בפרשת משפטים אצל ""<b>מקלל</b> <b>אביו</b> <b>ואמו</b>"" (שמות כא, יז) שם נתבאר (אות נב) מאי לשון ""דמיו"" אל סקילה:",hebmorph-standard
34.590984,Sanhedrin 85b:16,Wikisource Talmud Bavli,he,"ת""ל <b>אביו</b> <b>ואמו</b> <b>קלל</b> <b>אביו</b> <b>קלל</b> <b>אמו</b> <b>קלל</b> דברי ר' יאשיה",infreq
110.59423,Ibn Ezra on Proverbs 30:16:1,Ibn Ezra on Proverbs -- Daat,he,"שאול - שישליכו בו הדור המקלל וימותו בלא עתם, כענין: <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת: ",aggresive-ngram
15.579059,Sanhedrin 85b:11,Wikisource Talmud Bavli,he,"ומה מכה שעשה בו שלא בעמך כבעמך לא חייב בו לאחר מיתה <b>מקלל</b> שלא עשה בו שלא בעמך כבעמך אינו דין שלא חייב בו לאחר מיתה ת""ל <b>אביו</b> <b>ואמו</b> קלל לאחר מיתה",hebmorph-exact
20.274158,"Megilat Esther al Sefer Hamitzvot, Shorashim 2:5:2","Sefer HaMitzvot, Warsaw 1883",he," כי אזהרת <b>מקלל</b> <b>אביו</b> <b>ואמו</b> הוציאוהו מלא תקלל חרש ואלהים לא תקלל שמכניסין בה כל אדם, הנה זה אמת שמשם הוציאוה אמנם בבנין אב דנוה שם, והרי אם כן שלמדוה במדה מן המדות. גם מה שאמר ",hebmorph-exact
228.05519,Exodus 21:17,Tanach with Text Only,he,<b>ומקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת,aggresive-ngram
34.46758,Chullin 78b:22,Wikisource Talmud Bavli,he,"(ויקרא כ, ט) <b>אביו</b> <b>ואמו</b> <b>קלל</b> <b>אביו</b> <b>קלל</b> <b>אמו</b> <b>קלל</b> דברי ר' יאשיה",infreq
15.842017,Exodus 21:15,Tanach with Ta'amei Hamikra,he,ומכה <b>אביו</b> <b>ואמו</b> מות יומת,original
13.867113,"Bekhor Shor, Exodus 21:15:1","Bekhor Shor, Leipzig, 1856",he," נפש ומקלל <b>אביו</b> <b>ואמו</b> בשם, ושיטת הפסוקים לא זו אף זו בתחלה אומר מכה איש ומת ואף פעמים אפי' לא המית כגון מכה <b>אביו</b> <b>ואמו</b> ופעמים שאינו מכה ואינו חובל כגון גונב ופעמים שאינו גונב לא מכה ולא נגע בו כגון <b>מקלל</b>",hebmorph-exact
51.93316,Rashi on Sanhedrin 53a:24:4,Wikisource Rashi,he,<b>והמקלל</b> <b>אביו</b> <b>ואמו</b> - החמיר מבמכה משום דאיכא תרתי קלון אביו ואמו ומוציא שם שמים לבטלה:,hebmorph-standard
16.26021,Mekhilta DeRabbi Shimon Bar Yochai 21:17,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he," ומקלל אביו  ולא אבי אביו: אמו. ולא אם אמו: אביו ולא הספק אמו ולא הספק : <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת. יכול לא יהא חייב עד שיקללם שניהם באחת ת""ל (ויק' ב' ט') אשר יקלל את אביו ואת אמו אחד מהם  ומה ת""ל",hebmorph-exact
20.274158,Tosafot on Sanhedrin 84b:12:1,Wikisource Tosafot,he,"איש דבר מצוה אין - יש ספרים שכתוב בהן אשה לא ואע""ג דהשוה הכתוב אשה לאיש וכו' הני מילי בפרשה שנאמרה בלשון זכר אבל היכא דכתיב איש בהדיא ממעטין אשה כדפירש שלהי פרק ד' מיתות (לעיל סו.) גבי <b>מקלל</b> <b>אביו</b> <b>ואמו</b>:",hebmorph-exact
55.16306,"Sifra, Kedoshim, Section 1 6",Venice 1545,he,"[ו] נאמר ""<b>מקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת"" ונאמר ""איש איש כי יקלל אלהיו ונשא חטאו"". הקיש קללת אב ואם לקללת המקום.",hebmorph-standard
40.470806,Rashi on Leviticus 20:9:1,On Your Way,he,<b>אביו</b> <b>ואמו</b> <b>קלל</b>. לרבות לאחר מיתה: ,infreq
16.094923,"Chizkuni, Exodus 20:12:1",Chizkuni,he,"כבד את אביך ונאמר כבד את ה׳‎ מהונך, נאמר אביו ואמו תיראו ונאמר את ה׳‎ אלהיך תירא. נאמר <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת ונאמר כי יקלל אלהיו ונשא חטאו. ללמד שהקיש הקב״‎ה ענינם לענינו אבל א״‎א לומר מכה כלפי מעלה, וכן בדין ששלשתן שותפים בו.",hebmorph-exact
130.34335,Sanhedrin 66a:8,Wikisource Talmud Bavli,he,מתני׳ <b>המקלל</b> <b>אביו</b> <b>ואמו</b> אינו חייב עד שיקללם בשם,aggresive-ngram
34.590984,Shevuot 27a:45,Wikisource Talmud Bavli,he,"(ויקרא כ, ט) <b>אביו</b> <b>ואמו</b> <b>קלל</b> <b>אביו</b> <b>קלל</b> <b>אמו</b> <b>קלל</b> דברי ר' יאשי'",infreq
105.519806,Deuteronomy 27:16,Tanach with Text Only,he,ארור <b>מקלה</b> <b>אביו</b> <b>ואמו</b> ואמר כל־העם אמן,aggresive-ngram
39.40116,Rashi on Chullin 78b:21:1,Wikisource Rashi,he,"ת""ל - בסיפיה <b>אביו</b> <b>ואמו</b> <b>קלל</b>:",infreq
103.55943,Mishnah Sanhedrin 7:8,"Mishnah, ed. Romm, Vilna 1913",he,המחלל את השבת. בדבר שחייבין על זדונו כרת ועל שגגתו חטאת. <b>המקלל</b> <b>אביו</b> <b>ואמו</b> אינו חייב עד שיקללם בשם. קללם בכינוי. ר' מאיר מחייב. וחכמים פוטרין: ,aggresive-ngram
93.06616,"Mishneh Torah, Rebels 5:4",Torat Emet 363,he,"אזהרה של <b>מקלל</b> <b>אביו</b> <b>ואמו</b> מנין. ענש שמענו בפרוש אבל האזהרה הרי היא בכלל לא תקלל חרש. הואיל והוא מזהר שלא לקלל אדם מישראל הרי אביו בכלל ישראל: 
",aggresive-ngram
134.45203,Sanhedrin 85b:20,Wikisource Talmud Bavli,he,נפקא ליה <b>מומקלל</b> <b>אביו</b> <b>ואמו</b> מות יומת ואידך,aggresive-ngram
161.58945,Proverbs 20:20,Tanach with Ta'amei Hamikra,he,<b>מקלל</b> <b>אביו</b> <b>ואמו</b> ידעך נרו באישון [באשון] חשך,aggresive-ngram
