Score,Ref,Version,Lang,Content,Field
53.40995,Shabbat 32b:1,Wikisource Talmud Bavli,he,ונמסרו <b>לעמי</b> <b>הארץ</b>,hebmorph-standard
28.73044,Rashi on Eruvin 32a:10:2,Vilna Edition,he,בעם <b>הארץ</b> - שהנותן <b>עם</b> <b>הארץ</b> הוא ואינו חושש בלפני עור:,ngram
87.22033,Rashi on Bava Metzia 56a:4:1,Vilna Edition,he,מן הנחתום - <b>עם</b> <b>הארץ</b>:,aggresive-ngram
76.357056,Ralbag on Ezra 4:4:1,On Your Way,he,ויהי <b>עם</b> <b>הארץ</b> . הם הכותים : ,aggresive-ngram
76.357056,Metzudat David on Isaiah 24:4:3,On Your Way,he,"אמללו. נכרתו גדולי <b>עם</b> <b>הארץ</b>:
",aggresive-ngram
73.38748,Avodah Zarah 69a:37,Wikisource Talmud Bavli,he,אין <b>עם</b> <b>הארץ</b> מקפיד על מגע חבירו,aggresive-ngram
76.357056,Metzudat David on I Samuel 17:36:1,On Your Way,he,גם הדוב. הבא <b>עם</b> <b>הארי</b>: ,aggresive-ngram
77.99127,"Shulchan Arukh, Orach Chayim 199:3",Torat Emet 363,he,"<b>עם</b> <b>הארץ</b> גמור מזמנין עליו בזמן הזה. 
",aggresive-ngram
78.01296,Genesis 23:12,Tanach with Nikkud,he,וישתחו אברהם לפני <b>עם</b> <b>הארץ</b>,aggresive-ngram
76.262825,Rashbam on Bava Batra 168a:3:2,Vilna Edition,he,<b>עם</b> <b>הארץ</b> - שמסתכל ומכיר בנשים:,aggresive-ngram
20.39997,Horayot 2b:48,Wikisource Talmud Bavli,he,<b>מעם</b> <b>הארץ</b> אפילו רובו,hebmorph-standard
76.262825,Metzudat David on II Samuel 6:19:1,On Your Way,he,לכל העם. הבאים <b>עם</b> <b>הארון</b>: ,aggresive-ngram
19.547241,"Kessef Mishneh on Mishneh Torah, Those Who Defile Bed or Seat 10:9:1",Torat Emet 363,he,"<b>עם</b> <b>הארץ</b> שקיבל עליו וכו'. שם וכחכמים. 
",original
87.265205,Rashi on Chullin 6a:44:1,Wikisource Rashi,he,לשכנתו - אשת <b>עם</b> <b>הארץ</b>:,aggresive-ngram
32.7979,Rashi on Leviticus 20:2:3,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"<b>עם</b> <b>הארץ</b>. <b>עם</b> שׁבּגינוֹ נבראת <b>הארץ</b>, <b>עם</b> שׁעתידין לירשׁ <b>הארץ</b> על ידי מצוֹת הללוּ (שם):",infreq
91.65821,"Sefer Hamitzvot of Rasag, Positive Commandments 144","Sefer Hamitzvot L'Rasag, Warsaw, 1914",he,<b>עם</b> <b>הארץ</b> בשה,aggresive-ngram
92.36589,Rashi on Isaiah 24:4:4,On Your Way,he,"מרום <b>עם</b> <b>הארץ</b> . גאון <b>עם</b> <b>הארץ</b> :
",aggresive-ngram
61.89632,Rashi on Horayot 2a:51:1,Vilna Edition,he,<b>מעם</b> <b>הארץ</b> בעשותה - ולא כל <b>עם</b> <b>הארץ</b>:,hebmorph-standard
67.00804,Gittin 61b:3,William Davidson Edition - Aramaic,he,אי הכי מפקידין ורמינהו מפקידין תרומה אצל ישראל <b>עם</b> <b>הארץ</b> ולא אצל כהן <b>עם</b> <b>הארץ</b> מפני שלבו גס בה,aggresive-ngram
85.51307,Niddah 33b:33,Wikisource Talmud Bavli,he,בגדי <b>עם</b> <b>הארץ</b> מדרס לפרושין ,aggresive-ngram
70.056564,Sanhedrin 52b:1,Wikisource Talmud Bavli,he,למה תלמיד חכם דומה לפני <b>עם</b> <b>הארץ</b>,aggresive-ngram
81.69938,Bartenura on Mishnah Sukkah 3:11:3,On Your Way,he,הלוקח לולב מחבירו. <b>עם</b> <b>הארץ</b>:,aggresive-ngram
28.707878,Rashi on Horayot 11a:28:1,Vilna Edition,he,מעם <b>הארץ</b> - מביא קרבן ולא כל <b>עם</b> <b>הארץ</b>:,ngram
94.20476,Berakhot 47b:4,William Davidson Edition - Aramaic,he,והכותי מזמנין עליו אמאי לא יהא אלא <b>עם</b> <b>הארץ</b> ותניא אין מזמנין על <b>עם</b> <b>הארץ</b> ,aggresive-ngram
56.80807,Horayot 11a:28,Wikisource Talmud Bavli,he,<b>מעם</b> <b>הארץ</b> פרט למומר,hebmorph-standard
