Score,Ref,Version,Lang,Content,Field
82.10786,Yevamot 72a:2,William Davidson Edition - Aramaic,he,מאי טעמא איבעית אימא משום דנזופים הוו ואי בעית אימא דלא נבדור <b>ענני</b> <b>כבוד</b> ,aggresive-ngram
56.534077,Rashi on Sukkah 2b:1:3,Vilna Edition,he,ההוא - לאו בידיעה דישיבת סוכה קא אמר אלא בידיעות דורות הבאין היקף סוכות <b>ענני</b> <b>כבוד</b> הנעשה לאבות:,aggresive-ngram
9.322687,Metzudat David on I Kings 18:37:1,On Your Way,he,<b>ענני</b> ה׳. בהורדת האש: ,original
7.0420904,"Otzar Midrashim, Midrashim on The Messiah, Otot Mashiach (Signs of the Messiah) 13","Otzar Midrashim, New York, 1915",he," שיצאו השבטים יקיפו אותם <b>ענני</b> <b>הכבוד</b> והקב״ה הולך לפניהם, שנאמר ועלה הפורץ לפניהם. והקב״ה יפתח להם מעינות של עץ חיים וישקה אותם בדרך שנאמר בישעיה אפתח על שפיים נהרות ובתוך בקעות מעינות אשים מדבר לאגם",original
80.76297,Gur Aryeh on Vayikra 23:43:1,OYW,he,"<b>ענני</b> <b>כבוד</b>. בפרק קמא דסוכה (סוף יא ע""ב), כרבי עקיבא:",aggresive-ngram
4.626735,Mekhilta DeRabbi Shimon Bar Yochai 17:8,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he," ברפידים. ר' יהושע אומר היה נכנס תחת <b>ענני</b> <b>הכבוד</b> וגונב נפשות מישראל והורגן שנ' (דב' כ""ה י""ח) אשר קרך בדרך ויזנב בך כל הנחשלים אחריך: ברפידים. אמר רבי חנניה דבר זה שאלנו את ר' אליעזר כשהוא יושב במותבא רבא",original
5.6708035,"Derech Hashem, Part Four, On Seasonal Commandments 2",Handwritten Manuscript EH 47 C 32. 1896.,he,ענין הסוכה והלולב הוא כי הנה <b>ענני</b> <b>הכבוד</b> שהקיף הקב״ה את ישראל מלבד תועלתם בגשמיות שהיה לסכך עליהם ולהגן בעדם עוד היתה תולדה גדולה נולדת בהם בדרכי הרוחניות. והוא כמו שע״י העננים ההם היו נמצאים ישראל,original
14.441325,"Rabbeinu Bahya, Devarim 31:15:1","Midrash Rabbeinu Bachya [ben Asher]. Warsaw, 1878",he,"וירא ה' באהל בעמוד <b>ענן</b>. כי היה <b>הכבוד</b> בתוך <b>הענן</b> וכח הרחמים בקרבו.
",hebmorph-standard
57.889713,Rashi on Numbers 33:40:1,On Your Way,he,"וישמע הכנעני. כאן למדך שמיתת אהרן היא השמועה, שנסתלקו <b>ענני</b> <b>הכבוד</b> וכסבור שנתנה רשות להלחם בישראל, לפיכך חזר וכתבה:
",aggresive-ngram
21.909863,Malbim on I Kings 18:37:2,On Your Way,he,<b>ענני</b> באופן ,ngram
11.341607,"Meshech Hochma, Mishpatim 81","Riga, 1927",he,"וחג האסיף, וכן בכי תשא, לא כן בדברים כתיב חג הסוכות, הטעם עפ""י דברי הגר""א שכשניתן לוחות השניים ומשה ירד מן ההר, וחזרו <b>ענני</b> <b>הכבוד</b> בט""ו לחדש תשרי נצטוו על סוכות כידוע, ולכך אז קודם דברות שניות נקרא חג",original
