Score,Ref,Version,Lang,Content,Field
48.293312,Kitzur Baal Haturim on Numbers 19:2:3,On Your Way,he, ולא תמותו וסמיך ליה חקת התורה דכתיב <b>עץ</b> <b>חיים</b> היא למחזיקים בה:,aggresive-ngram
30.785603,Ibn Ezra on Proverbs 3:18:1,Ibn Ezra on Proverbs -- Daat,he,"<b>עץ</b> - כעץ <b>חיים</b>, שהאוכל מפריו יחיה שנים רבות. ",infreq
72.184975,Rashi on Proverbs 3:22:1,On Your Way,he,ויהיו חיים לנפשך . שהרי <b>עץ</b> <b>חיים</b> הוא : ,aggresive-ngram
79.807724,Proverbs 15:4,Tanach with Text Only,he,מרפא לשון <b>עץ</b> <b>חיים</b> וסלף בה שבר ברוח,aggresive-ngram
48.293312,Arakhin 15b:50,Wikisource Talmud Bavli,he,"(משלי טו, ד) מרפא לשון <b>עץ</b> <b>חיים</b> ואין לשון אלא לשון הרע שנאמר",aggresive-ngram
60.15414,Arakhin 15b:52,Wikisource Talmud Bavli,he,"(משלי ג, יח) <b>עץ</b> <b>חיים</b> היא למחזיקים בה",aggresive-ngram
60.04609,Rashi on Proverbs 11:30:1,On Your Way,he,פרי צדיק . גמול פירות מעשה הצדיקים <b>עץ</b> <b>חיים</b> הם לעולם : ,aggresive-ngram
74.9375,Rashi on Isaiah 65:22:1,On Your Way,he,"כימי העץ . ת""י <b>עץ</b> <b>החיים</b> :
",hebmorph-standard
92.3097,Proverbs 11:30,Tanach with Ta'amei Hamikra,he,פרי־צדיק <b>עץ</b> <b>חיים</b> ולקח נפשות חכם,aggresive-ngram
24.709856,Rashi on Taanit 7a:12:1,Vilna Edition,he,תורה כעץ - דכתיב <b>עץ</b> <b>חיים</b> היא למחזיקים בה כשמדליק את האור מצית את העצים דקין תחלה:,infreq
25.188717,Kitzur Baal Haturim on Leviticus 23:40:3,On Your Way,he," כפות תמרים היינו לולב. לולב בגי' <b>חיים</b> לכך יבש פסול. <b>עץ</b> <b>חיים</b>. היינו לולב שעולה כמנין <b>חיים</b> וכן תודיעני אורח <b>חיים</b>:

",infreq
24.774776,"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 249","Otzar Midrashim, New York, 1915",he,"י״ג) עשרה נקראו <b>חיים</b>: הקב״ה שנאמר וה׳ אלהים אמת הוא אלהים <b>חיים</b> (ירמיה י׳), תורה נקראת <b>חיים</b> שנאמר <b>עץ</b> <b>חיים</b> היא למחזיקים בה וגו׳ (משלי ג׳), ישראל נקראו <b>חיים</b> שנאמר ואתם הדבקים בה׳ אלהיכם <b>חיים</b> כולכם היום",infreq
54.739204,Berakhot 32b:9,William Davidson Edition - Aramaic,he,איני והא אמר רבי חייא בר אבא אמר רבי יוחנן כל המאריך בתפילתו ומעיין בה סוף בא לידי כאב לב שנאמר תוחלת ממשכה מחלה לב מאי תקנתיה יעסוק בתורה שנאמר <b>ועץ</b> <b>חיים</b> תאוה באה ואין <b>עץ</b> <b>חיים</b> אלא תורה שנאמר <b>עץ</b> <b>חיים</b> היא למחזיקים בה לא קשיא הא דמאריך ומעיין בה הא דמאריך ולא מעיין בה ,aggresive-ngram
114.55562,Proverbs 3:18,Tanach with Nikkud,he,<b>עץ</b>־<b>חיים</b> היא למחזיקים בה ותמכיה מאשר,aggresive-ngram
53.429142,Genesis 3:24,Tanach with Nikkud,he,ויגרש את־האדם וישכן מקדם לגן־עדן את־הכרבים ואת להט החרב המתהפכת לשמר את־דרך <b>עץ</b> <b>החיים</b>,hebmorph-standard
12.457174,"Otzar Midrashim, Agadot of Dorshei Reshumot 1:4","Otzar Midrashim, New York, 1915",he,—ויורהו ה' <b>עץ</b> וגו' דורשי רשומות אמרו הראהו דברי תורה שנמשלו לעץ שנאמר <b>עץ</b> <b>חיים</b> היא למחזיקים בה (מכילתא בשלח מ״ה:). ,hebmorph-exact
17.144678,Bava Metzia 85a:11,Wikisource Talmud Bavli,he,"קרי עליה (משלי יא, ל) פרי צדיק <b>עץ</b> <b>חיים</b> ולוקח נפשות חכם פרי צדיק <b>עץ</b> <b>חיים</b> זה ר' יוסי בר' אלעזר בר' שמעון ולוקח נפשות חכם זה ר' שמעון בן איסי בן לקוניא",hebmorph-exact
52.988815,"Chizkuni, Genesis 2:9:2",Chizkuni,he,[<b>ועץ</b> <b>החיים</b> בתוך הגן - באמצעיתו].,hebmorph-standard
25.086552,Malbim on Ezekiel 41:22:7,On Your Way,he,<b>עץ</b> ,infreq
26.771599,Pirkei Avot 6:7,"Mishnah, ed. Romm, Vilna 1913",he,גדולה תורה שהיא נותנת <b>חיים</b> לעושיה בעולם הזה ובעולם הבא. שנאמר כי <b>חיים</b> הם למוצאיהם ולכל בשרו מרפא. ואומר רפאות תהי לשרך. ושקוי לעצמותיך. ואומר <b>עץ</b> <b>חיים</b> היא למחזיקים בה. ותומכיה מאושר. ואומר כי לוית חן,infreq
48.293312,"Rabbeinu Bahya, Shemot 18:1:1","Midrash Rabbeinu Bachya [ben Asher]. Warsaw, 1878",he,"מרפא לשון <b>עץ</b> <b>חיים</b> וסלף בה שבר ברוח (משלי טו, ד)",aggresive-ngram
65.69036,Proverbs 13:12,Tanach with Nikkud,he,תוחלת ממשכה מחלה־לב <b>ועץ</b> <b>חיים</b> תאוה באה,aggresive-ngram
