Score,Ref,Version,Lang,Content,Field
86.488884,Pesachim 81b:2,William Davidson Edition - Aramaic,he,אמרי ומי דיינינן <b>קל</b> <b>וחומר</b> מהלכה והתניא אמר לו רבי אליעזר עקיבא עצם כשעורה הלכה רביעית דם <b>קל</b> <b>וחומר</b> ואין דנין <b>קל</b> <b>וחומר</b> מהלכה ,aggresive-ngram
57.991924,Rashi on Leviticus 18:10:2,On Your Way,he,"ערות בת בנך. <b>קל</b> <b>וחמר</b> לבתך, אלא לפי שאין מזהירין מן הדין למדוה מגזרה שוה במסכת יבמות (ג א) :
",hebmorph-standard
47.1189,Rashi on Leviticus 11:36:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"ונגע בנבלתם יטמא. אפלוּ הוּא בּתוֹך מעין וּבוֹר ונוֹגע בּטמאתם יטמא; שׁלּא תאמר <b>קל</b> <b>וחמר</b>: אם מטהר את הטּמאים מטּמאתם קל וחומר שׁיּצּיל את הטּהוֹר מלּטּמא! לכך נאמר ונגע בּנבלתם יטמא (נדרים  ע""ה):",hebmorph-standard
78.63306,Shabbat 132a:25,William Davidson Edition - Aramaic,he,מאי טעמא <b>קל</b> <b>וחומר</b> הוא ומה צרעת שדוחה את העבודה,aggresive-ngram
47.249187,Mishnah Chullin 12:5,Torat Emet 357,he,"לא יטל אדם אם על הבנים, אפלו לטהר את המצרע. ומה אם מצוה קלה שהיא כאסר, אמרה תורה (דברים כב), למען ייטב לך והארכת ימים, <b>קל</b> <b>וחמר</b> על מצות חמורות שבתורה: 
",hebmorph-standard
115.002144,Zevachim 69b:12,Wikisource Talmud Bavli,he,מדין <b>קל</b> <b>וחומר</b> כיצד,aggresive-ngram
77.83501,Rashi on Bava Kamma 44a:6:1,Vilna Edition,he,וכי דנין <b>קל</b> <b>מחמור</b> - תם ממועד:,aggresive-ngram
63.857536,"Shulchan Arukh, Yoreh De'ah 246:14",Torat Emet 357,he,"שנים ששאלו, אחד שאל כענין ואחד שאל שלא כענין, נזקקים לכענין. מעשה ושאינו מעשה, נזקקים למעשה. הלכה ומדרש, נזקקין להלכה. מדרש ואגדה, נזקקין למדרש. אגדה <b>וקל</b> <b>וחמר</b>, נזקקין <b>לקל</b> <b>וחמר</b>. <b>קל</b> <b>וחמר</b> וגזרה שוה, נזקקין <b>לקל</b> <b>וחמר</b>. 
",hebmorph-standard
82.28455,Rosh Hashanah 25b:5,William Davidson Edition - Aramaic,he,<b>קל</b> <b>וחומר</b> חיובא הוא אלא מתוך שהגדולים נשמעים לקטנים נושאין קטנים <b>קל</b> <b>וחומר</b> בעצמן,aggresive-ngram
90.315346,Nazir 40a:1,Wikisource Talmud Bavli,he,שאין דנין <b>קל</b> <b>מחמור</b> להחמיר עליו,aggresive-ngram
115.72246,Bava Kamma 7a:8,William Davidson Edition - Aramaic,he,ועוד מאי <b>קל</b> <b>וחומר</b> להקדש,aggresive-ngram
46.35532,Mishnah Negaim 12:5,Torat Emet 357,he," טהורים. על מה חסה התורה. על כלי חרסו ועל פכו ועל טפיו. אם כך חסה התורה על ממונו הבזוי, <b>קל</b> <b>וחמר</b> על ממונו החביב. אם כך על ממונו, <b>קל</b> <b>וחמר</b> על נפש בניו ובנותיו. אם כך על של רשע, <b>קל</b> <b>וחמר</b> על של צדיק: 
",hebmorph-standard
50.510933,"Mishneh Torah, Sacrifices Rendered Unfit 5:7",Torat Emet 363,he,"הלוקח מעות בידו או שהיה מלקט ואמר אלו אביא מהם חטאתי. המותר חלין. וכן יראה לי שהדבר <b>קל</b> <b>וחמר</b> בשאר הקרבנות שהמותר חלין:
",hebmorph-standard
89.74173,Rashi on Sotah 3b:18:1,Vilna Edition,he,<b>קל</b> <b>וחומר</b> - שתתקיים בעד אחד:,aggresive-ngram
54.96397,Rashi on Genesis 44:8:1,On Your Way,he,"הן כסף אשר מצאנו. זה אחד מעשרה <b>קל</b> <b>וחמר</b> האמורים בתורה וכלן מנויין בבר' רבה:
",hebmorph-standard
18.890862,Pirkei Avot 1:5,Torat Emet 357,he,"יוסי בן יוחנן איש ירושלים אומר, יהי ביתך פתוח לרוחה, ויהיו עניים בני ביתך, ואל תרבה שיחה עם האשה. באשתו אמרו, <b>קל</b> <b>וחמר</b> באשת חברו. מכאן אמרו חכמים, כל זמן שאדם מרבה שיחה עם האשה, גורם רעה לעצמו, ובוטל מדברי תורה, וסופו יורש גיהנם: 
",original
77.83501,Rashi on Pesachim 90a:9:1,Vilna Edition,he,<b>קל</b> <b>וחומר</b> למוקדשין מעתה - שיחול אתנן עליהן:,aggresive-ngram
83.020035,Bartenura on Mishnah Rosh Hashanah 1:8:5,On Your Way,he,"והעבדים. פסולים דאורייתא הם, <b>קל</b> <b>וחומר</b> מאשה:",aggresive-ngram
47.753597,Rashi on Numbers 12:14:1,On Your Way,he,"ואביה ירק ירק בפניה. ואם אביה הראה לה פנים זועפות הלא תכלם שבעת ימים, <b>קל</b> <b>וחמר</b> לשכינה ארבעה עשר יום, אלא דיו לבא מן הדין להיות כנדון, לפיכך אף בנזיפתי תסגר שבעת ימים: ",hebmorph-standard
100.62688,Zevachim 3b:3,Wikisource Talmud Bavli,he,ר' אליעזר <b>קל</b> <b>וחומר</b> קאמר,aggresive-ngram
17.09289,"Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 11:9",Torat Emet 363,he,"כהנים ולוים פטורים מפדיון הבן <b>מקל</b> <b>וחמר</b>. אם פטרו של ישראל במדבר דין הוא שיפטרו עצמן: 
",hebmorph-standard
49.435448,Mishnah Bava Batra 9:7,Torat Emet 357,he," כבינתי לבתי והיא בשנים עשר מנה, ומתה, וקימו את דבריה. אמר להן, בני רוכל תקברם אמן. וחכמים אומרים, בשבת, דבריו קימין, מפני שאינו יכול לכתוב. אבל לא בחל. רבי יהושע אומר, בשבת אמרו, <b>קל</b> <b>וחמר</b> בחל. כיוצא בו, זכין לקטן, ואין זכין לגדול. רבי יהושע אומר, לקטן אמרו, <b>קל</b> <b>וחמר</b> לגדול: 
",hebmorph-standard
48.4067,Rashi on Exodus 20:11:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"וינח ביום השביעי. כּביכוֹל הכתּיב בּעצמוֹ מנוּחה, ללמּד הימנוּ <b>קל</b> <b>וחמר</b> לאדם שׁמּלאכתּוֹ בעמל ויגיעה שׁיּהיה נח בּשּׁבּת (מכילתא):",hebmorph-standard
91.18592,Bava Kamma 18b:10,William Davidson Edition - Aramaic,he,כי לית ליה דיו היכא דמפריך <b>קל</b> <b>וחומר</b> היכא דלא מפריך <b>קל</b> <b>וחומר</b> אית ליה דיו,aggresive-ngram
24.68373,"Mishneh Torah, Torah Study 4:8",Torat Emet 363,he,שנים ששאלו. שאל אחד כענין ושאל אחד שלא כענין נזקקין לענין. מעשה ושאינו מעשה נזקקין למעשה. הלכה ומדרש נזקקין להלכה. מדרש ואגדה נזקקין למדרש. אגדה וקל <b>וחמר</b> נזקקין לקל <b>וחמר</b>. <b>קל</b> <b>וחמר</b> וגזרה שוה נזקקין לקל,ngram
68.69826,Rashi on Exodus 6:12:1,On Your Way,he,ואיך ישמעני פרעה. זה אחד מעשרה <b>קל</b> <b>וחמר</b> שבתורה: ,hebmorph-standard
54.45329,Rashi on Deuteronomy 13:7:5,On Your Way,he,"אשר כנפשך. זה אביך פרש לך הכתוב את החביבין לך, <b>קל</b> <b>וחמר</b> לאחרים: ",hebmorph-standard
80.597725,Yevamot 73a:3,Wikisource Talmud Bavli,he,או דלמא חמור מקל יליף <b>קל</b> <b>מחמור</b> לא יליף,aggresive-ngram
45.580166,Rashi on Numbers 12:9:1,On Your Way,he,"ויחר אף ה' בם וילך. מאחר שהודיעם סרחונם גזר עליהם נדוי, <b>קל</b> <b>וחמר</b> לבשר ודם שלא יכעס על חברו עד שיודיענו סרחונו:
",hebmorph-standard
92.27215,Nazir 57a:2,William Davidson Edition - Aramaic,he,או דלמא רביעית דם הלכה ועצם כשעורה <b>קל</b> <b>וחומר</b> ואין דנין <b>קל</b> <b>וחומר</b> מהלכה תא שמע עצם כשעורה הלכה ורביעית דם <b>קל</b> <b>וחומר</b> ואין דנין <b>קל</b> <b>וחומר</b> מהלכה,aggresive-ngram
87.137245,Nazir 57a:1,William Davidson Edition - Aramaic,he,גמ׳ איבעיא להו עצם כשעורה הלכה ורביעית דם <b>קל</b> <b>וחומר</b> ואין דנין <b>קל</b> <b>וחומר</b> מהלכה,aggresive-ngram
46.312313,Rashi on Deuteronomy 22:7:1,On Your Way,he,"למען ייטב לך. אם מצוה קלה שאין בה חסרון כיס, אמרה תורה למען ייטב לך והארכת ימים, <b>קל</b> <b>וחמר</b> למתן שכרן של מצות חמורות:
",hebmorph-standard
46.904285,Mishnah Zevachim 12:3,Torat Emet 357,he,"עורות קדשים קלים לבעלים, ועורות קדשי קדשים לכהנים. <b>קל</b> <b>וחמר</b>, מה אם עולה, שלא זכו בבשרה, זכו בעורה, קדשי קדשים, שזכו בבשרה, אינו דין שיזכו בעורה. אין מזבח יוכיח, שאין לו עור מכל מקום: 
",hebmorph-standard
