Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,n,Mekhilta d'Rabbi Yishmael 21:35:1,Sefaria Community Translation,en,"(21:35) ""And if the ox of a man butt"": Included in ""goring"" is butting, pushing, lying upon, kicking, and biting. These are the words of R. Yoshiyah. Abba Channan says in the name of R. Eliezer",aggresive-ngram,44.790115
1,n,I Samuel 21:9,The Holy Scriptures: A New Translation (JPS 1917),en,"And David said unto Ahimelech: ‘And is there peradventure here under thy hand spear or sword? for I have neither brought my sword nor my weapons with me, because the king’s business required haste.’",aggresive-ngram,55.36724
2,n,Mishnah Pesachim 6:1,Eighteen Treatises from the Mishna,en," burning of its chelev [fats around the stomach, intestines, and kidneys of some animals which are forbidden for eating]; but its roasting, and the washing of its entrails, do not push off Shabbat. To",aggresive-ngram,14.53488
3,--,Daat Zkenim on Exodus 3:2:1,Daat Zekenim translated by Rb. Eliyahu Munk,en,”out of the burning bush.” The reason that G–d chose this bush to reveal Himself in was that one could not construct a deity or symbol of a deity out of the bush.,aggresive-ngram,128.86151
4,n,Shabbat 67a:5,William Davidson Edition - English,en,"And when he carves the bush, let him lower himself and cut it close to the ground, and recite as follows: The bush, the bush; not because you are higher than all trees did the Holy One, Blessed be He",infreq,15.383188
5,--,"Chizkuni, Deuteronomy 33:15:3","Chizkuni, translated and annotated by Eliyahu Munk",en,"ורצון שוכני סנה, “and the goodwill of Him that dwells in the bush. May it enjoy the good will of Him (G-d) that dwells in the (burning) bush.”",aggresive-ngram,129.29793
6,n,Shabbat 67a:3,William Davidson Edition - English,en," burned” (Exodus 3:3). On the following day, let him carve the bush a little more and recite: “And the Lord saw that he turned aside to see and God called to him within the bush and said: Moses, Moses, and he said: Here I am” (Exodus 3:4).",ngram,19.98815
7,n,Mishnah Eduyot 2:6,Sefaria Community Translation,en,"Rabbi Yishmael said three things, and Rabbi Akiva disagreed with him: Garlic or unripe grapes or green ears of grain which were being crushed [on the eve of the Sabbath] while it is yet day, Rabbi Yishmael says: He may finish crushing after it grows dark. But Rabbi Akiva says: He may not finish. ",aggresive-ngram,61.462128
8,n,Deuteronomy 13:18,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And let naught from the spoil adhere to your hand, so that the L-rd turn from the burning of His wrath [(For so long as idolatry is in the world, burning wrath is in the world)] and He will grant you mercy and He will be merciful to you and He will multiply you as He swore to your fathers,",infreq,18.869059
9,--,Shadal on Exodus 3:2:2,Sefaria Community Translation,en,". ibn Ezra). Now the bush was on fire, but it was not really burning, but was surrounded by flames like a burning object, since the fire was flashing between the thorns, but did not take to them, and",ngram,24.030396
