Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Bava Metzia 100b:23,William Davidson Edition - English,en," quality that could provide the value of less than a quarter-log of oil per se’a of olives, these olives are the property of the new owner of the olive trees, i.e., the buyer.",ngram,26.93718
1,--,Targum Jonathan on Numbers 8:8,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," And they shall take a young bullock, and his mincha of flour sprinkled with olive oil; and take thou a second young bullock for a sin offering.  ",aggresive-ngram,84.3821
2,--,I Chronicles 27:28,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	And over the olive trees and the sycamore trees in the lowland, Ba'al Chagan the Gederite. And over the oil stores, Yoash.",ngram,24.51366
3,--,Exodus 27:20,The Holy Scriptures: A New Translation (JPS 1917),en,"And thou shalt command the children of Israel, that they bring unto thee pure olive oil beaten for the light, to cause a lamp to burn continually.",aggresive-ngram,137.95036
4,--,Targum Jonathan on Numbers 6:15,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," and a basket of unleavened cakes of flour with olive oil, and unleavened wafers anointed with olive oil, their minchas and libations. 
",aggresive-ngram,119.74204
5,--,Targum Jonathan on Numbers 15:9,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," let him bring for the bullock a mincha of three tenths of flour mixed with half of a hin of olive oil, 
",aggresive-ngram,84.50393
6,--,"Shulchan Arukh, Orach Chayim 673:1",Sefaria Community Translation,en,"Paragraph 1 — All oils and wicks are fit for use for the Hanukkah light, even if the oils are not drawn after the wick, and the illumination is not held well by those wicks. Rema: However, olive oil",aggresive-ngram,100.04431
7,--,Targum Jonathan on Numbers 15:4,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," let the man who offers his oblation before the Lord bring a mincha of a tenth of flour mingled with the fourth of a hina of olive oil; 
",aggresive-ngram,84.72038
8,--,Targum Jonathan on Numbers 15:6,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," Or for a ram, let him perform a mincha of two tenths of flour mingled with the third of a hin of olive oil, 
",aggresive-ngram,84.3821
9,--,Rashi on Exodus 25:6:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,שמן למאר OIL FOR THE LIGHT — “clear olive-oil … to make the flame ascend continually”).,aggresive-ngram,112.893875
10,--,Mishnah Makhshirin 6:5,Sefaria Community Translation,en," of bloodletting for drinking.  Whey of milk is like milk, and [olive] sap is like oil because the sap includes oil, these are the words of Rabbi Shimon.  Rabbi Meir says: Even if it has no oil with",infreq,25.615156
11,--,Targum Jonathan on Leviticus 24:2,"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",en," Command the children of Israel that they bring of their own, pure beaten olive oil for the light, that the lamps may burn continually, on the day of Sabbath, and on the day of work;
",aggresive-ngram,70.41994
12,--,Shita Mekubetzet on Berakhot 35b:14:1,Sefaria Community Translation,en,"Let us say, ""Who creates the fruit of the olive:"" [""Olive""] suggests the fruit, as the fruit itself is called ""olive"" and it would refer to the oil that comes from the olives. But we do not say that",aggresive-ngram,18.072506
13,--,Berakhot 35b:22,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"It was stated above :  ""Rab Judah said in the name of Samuel, and similarly said R. Isaac in the name of R. Johanan :  Over olive-oil we pronounce the benediction '...Who createst the fruit of the",aggresive-ngram,61.083252
