Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,n,Genesis 49:14,"Modernized Tanakh - Based on JPS 1917, Edited by Adam Cohn",en,"Issachar is a large-boned ass, Crouching down between the two folds.",aggresive-ngram,112.6255
1,n,Genesis 9:3,"Modernized Tanakh - Based on JPS 1917, Edited by Adam Cohn",en,Every moving thing that lives shall be food for you; as the green herbs I have given you all.,aggresive-ngram,93.95803
2,--,Esther 5:2,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	And it was, when the king saw Queen Esther standing in the court, that she found favor in his eyes, and the king held out to Esther the golden sceptre which was in his hand, and Esther drew near, and she touched the head of the sceptre.",aggresive-ngram,97.245605
3,n,Jeremiah 13:18,The Holy Scriptures: A New Translation (JPS 1917),en,"Say thou unto the king and to the queen-mother: ‘Sit ye down low; For your headtires are come down, Even your beautiful crown.’",aggresive-ngram,127.83156
4,n,Proverbs 25:17,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	[Similarly,] let your feet not frequent the house of your friend, lest he be surfeited with you and hate you.",aggresive-ngram,95.98142
5,--,Megillah 15a:7,Daf Shevui,en,"The Rabbis taught: There have been four beautiful women in the world — Sarah, Rahab, Abigail and Esther. According to the one who says that Esther was green,   Vashti should be inserted in place of Esther.",aggresive-ngram,18.445543
6,n,"Shulchan Arukh, Orach Chayim 51:6",Sefaria Community Translation,en,"One should pause between the words ""foreign gods"" and ""But Adonai made the heavens.""",aggresive-ngram,100.084404
7,n,Job 41:8,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,One touches the other. The wind does not enter between them.,aggresive-ngram,93.78831
8,n,II Chronicles 9:3,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,And the queen of Sheva saw Solomon's wisdom and the house that he had built.,aggresive-ngram,16.992165
9,n,Leviticus 10:10,The Holy Scriptures: A New Translation (JPS 1917),en,"And that ye may put difference between the holy and the common, and between the unclean and the clean;",aggresive-ngram,138.2708
10,--,Daf Shevui to Megillah 12b:5,Daf Shevui,en," did before God that the non-Jews did not. Rashi explains that at this point the ministering angels pleaded before God to punish Vashti, so that Esther could become queen and eventually save the Jews.",hebmorph-standard,11.25207
11,--,Megillah 19a:3,Daf Shevui,en,"On parchment and in ink. From where do we know this? The word “writing” in one place is derived from “writing” used in another place. It is written here, “And Esther the queen wrote,” (Esther 9:29",ngram,26.2515
12,--,Akeidat Yitzchak 44:41,Akeydat Yitzchak by Eliyahu Munk,en,"Queen Esther is a prime example of how all these points need to be heeded when she petitioned king Ahasverus. She chose the timing very carefully, saying ""tomorrow I shall do what the king says."" She",hebmorph-standard,3.8877
13,n,Ketubot 44a:7,Daf Shevui,en,What is the practical difference between them?   The disqualification of the witnesses,aggresive-ngram,98.87943
14,--,Sforno on Exodus 18:7:1,"Eliyahu Munk, HaChut Hameshulash",en," favours. We find that Queen Esther, similarly, did not use her elevation to Royalty as an excuse to no longer defer to Mordechai who had raised her. (Esther 2,20 “Esther continued to carry out Mordechai’s",hebmorph-standard,22.843012
15,--,Pesachim 100a:8,Sefaria Community Translation,en,"[Rabbi Yossi] said to him,  ""Each and every day you have favored my opinions over Rabbi Yehuda's, and now you are favoring Rabbi Yehuda's over mine? 'Even to take the queen while I'm in the house?' [Esther 7:8]"".",ngram,28.190794
16,--,Megillah 16a:18,Sefaria Community Translation,en,"Then King Ahashverosh said, and he said to Esther the Queen...""  Why is it 'he said and he said'? Rabbi Abahu said, in the beginning he spoke through an interpreter.  Then, when she said to him 'I come from the house of Saul', he immediately 'said to Esther the Queen'.",ngram,30.950115
17,--,"Shney Luchot HaBrit, Vayikra, Torah Ohr 57",Shney Luchot Habrit by Rabbi Eliyahu Munk,en," המלכה, Queen Esther, [a symbol of the emanation מלכות Ed.] had the חוט של חסד, thread of loving kindness (from the emanation חסד which represents the ""upper” waters) extended to her, the fact remains",hebmorph-standard,3.9976404
18,n,Berakhot 14a:20,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"The following are between the sections, etc. ",aggresive-ngram,150.0044
