Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,n,Rashi on Yevamot 83a:1:2,Vilna Edition,he,מקמי ברייתא - דקתני לר' יוסי ספיקא הוא:,aggresive-ngram,21.733719
1,n,Kiddushin 39a:6,Wikisource Talmud Bavli,he,"אמר רבי אסי אמר ר' יוחנן  ערלה בח""ל הלכה למשה מסיני א""ל ר' זירא לרבי אסי  והתניא  ספק ערלה בארץ אסור בסוריא מותר (בחוצה לארץ יורד ולוקט)  אישתומם כשעה חדא א""ל  אימא כך נאמר  ספיקא מותר ודאה אסור ",original,9.673724
2,n,Bartenura on Mishnah Orlah 3:9:2,On Your Way,he,בארץ ישראל. דהוי ספיקא דאורייתא לחומרא:,aggresive-ngram,21.918903
3,n,Bekhorot 41b:5,Wikisource Talmud Bavli,he,או דילמא ספוקי מספקא ליה ואם תימצא לומר קאמר,aggresive-ngram,55.166466
4,--,"Shulchan Arukh, Orach Chayim 467:12",Torat Emet Freeware Shulchan Aruch,he,בתרנגולת מכח ספק ספיקא (מרדכי פרק כל שעה) ולענין מנהג נראה לאסור בשאר בשר או בחטה שלימה אפילו בתרנגולת ודוקא אם נמלגו תרנגולים דהיינו שהיו המים חמין אבל אם היו צוננין ושרו שם התרנגולים אין לאסור מספיקא,hebmorph-standard,42.174187
5,--,Tosafot on Bava Kamma 11a:16:1,Vilna edition,he," תרי קולי דסתרי אהדדי שאם תראה יום מ""א תשתרי נמי מספק ספיקא דשמא לא יצא רובו ביום ראשון ואפי' יצא רוב דלמא נקבה היא והשתא בתחילה התרנו משום דשמא זכר השתא נתירנו משום שמא נקבה הרי ממה נפשך נעשה איסור וכה""ג תנן בהמפלת (נדה כט.) תשב לזכר ולנקבה ולנדה אע""ג דכל איסור באפי נפשיה הוי ספק ספיקא:",hebmorph-standard,47.857983
6,n,Rashi on Moed Katan 15b:12:1,Vilna Edition,he,ספיקא הוא - אי קיל אי חמיר:,aggresive-ngram,21.726906
7,--,B'Mareh HaBazak Part Five 30:13,B'Mareh HaBazak Machon Eretz Hemdah -- Vol. 5,he," להקל לעשות מלאכה אף לאחר השקיעה, ועיין לקמן). אך יתכן, שבנדון דידן, בשעת-הדחק כעין זו, במקום מצוות עונג-שבת, ישנו מקום להקל גם לאחר השקיעה, כל זמן שהוא בין-השמשות, מטעם ספק-ספיקא - ספק הלכה כר""ת ודעמיה",original,8.494145
8,n,Horayot 3b:76,Wikisource Talmud Bavli,he,ספק,infreq,40.56021
9,n,Beitzah 4b:8,William Davidson Edition - Aramaic,he,רב אסי ספוקי מספקא ליה ועביד הכא לחומרא והכא לחומרא,aggresive-ngram,55.479374
10,--,Maadaney Yom Tov on Niddah 306,Vilna Edition,he,"  איש   ואשה שעשו צרכיהן כו' ר""י מטהר. מסקינן בגמרא דר""מ נמי מטהר הכא דאיכא ספק ספיקא והכי תניא בהדיא ר""מ ור""י מטהרין ומתני' איידי דסליק מדר' יוסי פתח בדר' יוסי ופרכינן לר' יוסי בחד ספקא מטהר בספק",hebmorph-standard,38.63013
