Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Chizkuni, Genesis 2:9:2",Chizkuni,he,[ועץ החיים בתוך הגן - באמצעיתו].,hebmorph-standard,52.988815
1,n,"Beit Yosef, Yoreh Deah 65:5:1","Tur Yoreh Deah, Vilna, 1923",he,"כתבו הרשב""א והר""ן בשם הראב""ד גף העוף כיד הבהמה והלכך צריך לחתוך עצם האגפים ולמולחם כן עצם הלחיים בעוף : ",hebmorph-standard,31.400856
2,n,Rashi on Isaiah 44:19:3,On Your Way,he,"לבול עץ . לרקבון עץ :
",infreq,17.937374
3,n,Pesachim 74a:5,William Davidson Edition - Aramaic,he,מתניתין דלא כרבי יהודה דתניא רבי יהודה אומר כשם ששפוד של עץ אינו נשרף כך שפוד של מתכת אינו מרתיח אמרו לו זה חם מקצתו חם כולו וזה חם מקצתו אינו חם כולו,aggresive-ngram,12.531741
4,--,Zohar 2:134b:7,Torat Emet Zohar,he,"מאן דידע מלה דאורייתא, אצטריך למרדף אבתריה, ולאולפא האי מלה מניה, לקיימא רזא דכתיב, מאת כל איש אשר ידבנו לבו תקחו את תרומתי. אורייתא אילנא דחיי איהו, למיהב חיין לכלא. מאן דאתתקף באורייתא, אתתקף באילנא דחיי, כמה דאת אמר (משלי ג) עץ חיים היא למחזיקים בה. 
",original,8.651922
5,n,Yoma 21b:1,William Davidson Edition - Aramaic,he,כלי עץ העשוי לנחת הוא וכל כלי [עץ] העשוי לנחת אינו מקבל טומאה וחוצץ בפני טומאה אלא מלמד שמגביהין אותו לעולי רגלים ואומרים להם ראו חיבתכם לפני המקום שסילוקו כסדורו שנאמר לשום לחם חום ביום הלקחו,aggresive-ngram,15.66125
6,--,Bereishit Rabbah 15:6,Daat Bereshit Rabbah,he,"ויצמח ה' אלהים מן האדמה - תני, עץ שהוא פוסה על פני כל החיים. אמר רבי יהודה בר אלעאי עץ חיים מהלך ת""ק שנה, וכל מי בראשית מתפלגין מתחתיו. רבי יודן בשם רבי יהודה בר אלעאי: לא סוף דבר נופו מהלך ת""ק שנה, אלא אפילו קורתו מהלך ת""ק שנה:",aggresive-ngram,24.973715
7,n,Rashi on Pesachim 74a:5:2,Vilna Edition,he,"אמרו לו - אע""פ שאין פנימי של עץ נשרף אבל פנימי של מתכת מרתיח שזה של עץ חם מקצתו לא חם כולו והוה ליה צלי אש וזה של מתכת חם מקצתו חם כולו ואפילו מה שמכוסה ממנו הלכך הו""ל צלי שפוד:",aggresive-ngram,30.179745
8,--,Kitzur Baal Haturim on Leviticus 23:40:3,On Your Way,he," כפות תמרים היינו לולב. לולב בגי' חיים לכך יבש פסול. עץ חיים. היינו לולב שעולה כמנין חיים וכן תודיעני אורח חיים:

",aggresive-ngram,36.224968
9,--,Kli Yakar on Leviticus 14:4:5,On Your Way,he,"והקרוב אלי לומר בהיתר כל הספיקות הללו. שמצינו במסכת ערכין (טו:) א""ר חמא בר חנינא מאי תקנתיה של מספר לה""ר אם ת""ח הוא יעסוק בתורה שנאמר (משלי טו ד) מרפא לשון עץ חיים. ואין לשון אלא לה""ר שנאמר (ירמיה ט",aggresive-ngram,31.363714
10,--,Kitzur Baal Haturim on Numbers 19:2:3,On Your Way,he,ולא תמותו וסמיך ליה חקת התורה דכתיב עץ חיים היא למחזיקים בה:,aggresive-ngram,48.293312
11,--,Kli Yakar on Deuteronomy 21:1:2,On Your Way,he," העושה פרי צדיק עץ חיים כי האדם עץ השדה הוא עושה פרי צדיק וצמח צדקה, ואם הקפידה תורה על עץ עושה פרי שאין בו דעת ותבונה ק""ו על פרי הצדיק השלם, וע""כ סמך מיד הפרשה של עגלה ערופה אשר ממנה נראה ג""כ הקפדה גדולה על פרי צדיק עץ חיים.  ",aggresive-ngram,29.587057
12,--,"Zohar Chadash, Vayeshev 32",Zohar Chadash,he,"הדא הוא דכתיב, (שמות טו) ויצעק אל ה'. מאן ויצעק, דא מדת דינא, דקיימא וצווחא קמיה. ויורהו ה' עץ, דא אורייתא, הדא הוא דכתיב, (משלי ג) עץ חיים היא למחזיקים בה. וישלך אל המים, מאן אינון מים, מים הזדונים דקמו לאתפרעא מינייהו, וכדין וימתקו המים, אבסימו ודאי, דהא חזו אסוותא רבתא לההוא חובא. ",original,8.656723
13,--,Rashi on Proverbs 13:12:3,On Your Way,he,"ועץ חיים תאוה באה . מסורס הוא כלומר תאוה באה הרי הוא כעץ חיים תוחלת שהוחיל הקדוש ברוך הוא לישראל וצפה שישובו והם לא שבו סוף באה להם למחלת לב וכשתאותו באה שהם עושין רצונו עץ חיים היא להם :
",hebmorph-standard,37.80914
14,--,Pesikta D'Rav Kahanna 23:5,OYW,he,"פסקא כג אות ה (ה) ר' ברכיה בשם ר' ירמיה פתח אורח חיים למעלה למשכיל למען סור משאול מטה (משלי טו כד) אורח חיים אין אורח חיים אלא דברי תורה דכת' עץ חיים וג' (שם ג יח) ד""א אורח חיים אין אורח חיים אלא",hebmorph-exact,8.052892
15,--,Taanit 7a:5,Wikisource Talmud Bavli,he,"תניא היה ר' בנאה אומר כל העוסק בתורה לשמה תורתו נעשית לו סם חיים שנאמר (משלי ג, יח) עץ חיים היא למחזיקים בה ואומר (משלי ג, ח) רפאות תהי לשרך ואומר (משלי ח, לה) כי מוצאי מצא חיים וכל העוסק בתורה שלא",aggresive-ngram,29.336584
16,--,Rashi on Sanhedrin 67b:24:4,Wikisource Rashi,he,"להט החרב המתהפכת לשמור את דרך עץ החיים - ומתהפכת מאליה ודומה לכשפים (ולא) ע""י שדים היתה מתהפכת אלא מאליה וקרי ליה להט:",hebmorph-standard,32.094536
17,--,Ibn Ezra on Proverbs 11:30:1,Ibn Ezra on Proverbs -- Daat,he,"פרי צדיק - פרי מחשבות שכלו ללמדם מוסר מפיהו, כפרי עץ החיים. ",hebmorph-standard,42.713066
18,n,Metzudat Zion on Isaiah 8:19:2,On Your Way,he,והידעונים. המכניסים עצם חיה ששמה ידוע והעצם מדבר ע״י כשוף:,hebmorph-standard,37.84915
19,--,Zohar 2:116b:3,Torat Emet Zohar,he,"פתח רעיא מהימנא ואמר, (בראשית מח) המלאך הגואל אותי מכל רע, דאיהי שכינתא, דאתמר בה, (שמות יד) ויסע מלאך האלהים. יברך לכו בעלמא דאתי. וידגו לרב בקרב הארץ, בעלמא דין. למהוי שלטנותכון בתרין עלמין, דאתון חיין. דמאן דאיהו מעלמא דא, חי אתקרי. כמה דכתיב, (משלי ג) עץ חיים היא למחזיקים בה. חיים תמן, חיים הכא. 
",ngram,14.845322
20,n,Rashi on Leviticus 23:40:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"פרי עץ הדר. עץ שׁטּעם עצוֹ וּפריוֹ שׁוה (סכה ל""ה):",infreq,16.01542
21,--,Ibn Ezra on Proverbs 3:18:1,Ibn Ezra on Proverbs -- Daat,he,"עץ - כעץ חיים, שהאוכל מפריו יחיה שנים רבות. ",hebmorph-standard,37.823776
22,--,"Tur HaAroch, Genesis 2:9:1","Perush al ha-Torah, Hanover, 1838",he,ועץ החיים בתוך הגן. פי' עץ החיים היה באמצע הגן ומקומו ידוע ונודע על ידו שהוא עץ החיים ועל כן אמר בתוך הגן ולא אמר בגן וכן תרגם אונקלוס במציעות גנתא וזהו שהשיבה חוה לנחש ומפרי העץ אשר בתוך הגן אמר,hebmorph-standard,31.190285
23,--,Zohar 3:167b:2,Torat Emet Zohar,he,"וכד מתגיירא גיורא חדא, פרחא מההוא היכלא נשמתא, ועאלת תחות גדפהא דשכינתא, ונשקת לה, בגין דאיהו איבא דצדיקייא, ומשדרת לה לגו ההוא גיורא, ושראת ביה. ומההוא זמנא, אקרי גר צדק. והיינו רזא דכתיב, (משלי יא) פרי צדיק עץ חיים. מה אילנא דחיי אפיק נשמתין, אוף הכי צדיק, איבא דיליה עביד נשמתין. 
",original,8.651922
24,--,Zohar 1:27a:8,Torat Emet Zohar,he,"אם תייבין בתיובתא אתמר בהון (שמות טו) ויורהו ה' עץ. ודא עץ חיים וביה וימתקו המים. ודא משה משיח דאתמר ביה (שמות יז) ומטה האלהים בידו. מט''ה דא מטטרון מסטריה חיים ומסטריה מיתה. כד אתהפך למטה איהו עזר מסטרא דטוב. כד אתהפך לחויא איהו כנגדו. מיד (שמות ד) וינס משה מפניו. 
",infreq,16.342178
25,--,Zohar 3:53b:3,Torat Emet Zohar,he,"רבי יהודה ורבי יצחק הוו אזלי בארחא. יתבו בההוא בי חקלא וצלו. בתר דסיימו צלותא קמו ואזלו. פתח רבי יהודה במלי דאורייתא. ואמר, (משלי ג) עץ חיים היא למחזיקים בה ותומכיה מאושר. עץ חיים, דא אורייתא, דאיהי",aggresive-ngram,25.611399
26,--,Rashi on Isaiah 65:22:1,On Your Way,he,"כימי העץ . ת""י עץ החיים :
",hebmorph-standard,74.9375
27,--,Ibn Ezra on Proverbs 13:12:2,Ibn Ezra on Proverbs -- Daat,he,ועץ חיים - וכעץ מרפא כן תאות המתאוה כשתבאהו. ויתכן שהוא הקובץ על יד.,aggresive-ngram,33.967197
28,--,Zohar 2:121a:2,Torat Emet Zohar,he," הוה נחית לון מזונא, מסטר דאורייתא, דאמתילא לעץ, הדא הוא דכתיב, (משלי ג) עץ חיים היא למחזיקים בה. ולאיבא, דאיהי מצוה. 
",original,8.656723
29,n,Bartenura on Mishnah Parah 5:5:1,On Your Way,he,"בכל הכלים מקדשים. בין של עץ בין של עצם בין של זכוכית, ואפילו בכלי גללים דלא חשיבי כלי לענין טומאה לא מדברי תורה ולא מדברי סופרים, דכתיב מים חיים אל כלי ולא כתיב אל הכלי:",infreq,16.069622
30,n,Leviticus 23:40,Tanach with Nikkud,he,ולקחתם לכם ביום הראשון פרי עץ הדר כפת תמרים וענף עץ־עבת וערבי־נחל ושמחתם לפני יהוה אלהיכם שבעת ימים,infreq,16.012869
31,--,Rashi on Taanit 7a:12:1,Vilna Edition,he,תורה כעץ - דכתיב עץ חיים היא למחזיקים בה כשמדליק את האור מצית את העצים דקין תחלה:,aggresive-ngram,48.293312
