Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 1:15:1	בס״פ הערל (דף פ״א	בס״פ הערל (יבמות דף פ״א
Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 4:15:1	בפרק כל היד (דף י״ז	בפרק כל היד (נדה דף י״ז
Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 8:14:1	בפרק כל היד (דף י״ו	בפרק כל היד (נדה דף י״ו
Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 10:1:1	בר״פ המפלת (דף כ״א	בר״פ המפלת (נדה דף כ״א
Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 10:11:1	בפרק המפלת (דף כ״ג ע״ב	בפרק המפלת (נדה דף כ״ג ע״ב
Kessef Mishneh on Mishneh Torah, Forbidden Intercourse 16:4:1	בפרק הערל (דף ע״ה	בפרק הערל (יבמות דף ע״ה
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 4:3:1	פרק השוחט (דף ל"ט ע"ב	פרק השוחט (חולין דף ל"ט ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 17:3:1	פ' השוחט (דף ל"ח ע"א	פ' השוחט (חולין דף ל"ח ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 19:3:1	פ' לולב הגזול (דף ל"ט ע"א	פ' לולב הגזול (סוכה דף ל"ט ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 20:1:1	בפ' הגוזל (דף צ"ט ע"ב	בפ' הגוזל (בבא קמא דף צ"ט ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 22:2:1	פ' השוחט דף ל'	פ' השוחט (חולין דף ל')
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 24:2:1	פרק השוחט (דף כ"ט ע"א	פרק השוחט (חולין דף כ"ט ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 24:13:1	פ' השוחט [דף כ"ח ע"א	פ' השוחט (חולין דף כ"ח ע"א)
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 24:13:1	בפ' השוחט (דף ל"ב ע"ב	פ' השוחט (חולין דף ל"ב ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 27:2:1	פ' העור והרוטב (דף קכ"א ע"ב	פ' העור והרוטב (חולין דף קכ"א ע"ב
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 28:5:1	פ' לולב וערבה (דף מ"ו ע"א	פ' לולב וערבה (סוכה דף מ"ו ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 28:12:1	פ' השוחט (דף ל"א	פ' השוחט (חולין דף ל"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 28:29:1	בפרק החובל (סוף דף צ"א	בפרק החובל (סוף בבא קמא דף צ"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 28:30:1	פרק השוחט (דף ל"ג ע"א	פרק השוחט (חולין דף ל"ג ע"א
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 28:36:1	פרק אלו עוברין (דף מ"ז	פרק אלו עוברין (פסחים דף מ"ז
Siftei Kohen on Shulchan Arukh, Yoreh De'ah 33:4:1	בפ' השוחט (דף ל"ב ע"ב	בפ' השוחט (חולין דף ל"ב ע"ב
