Bartenura on Mishnah Beitzah 1:10:3	פרק במה אשה יוצאה [דף ס	פרק במה אשה יוצאה (שבת דף ס)
Siftei Chakhamim, Exodus 24:3:1	בפרק רבי עקיבא (דף פ"ו	בפרק רבי עקיבא (שבת דף פ"ו
Tosafot on Berakhot 49b:4:1	פרק אע"פ (דף סד:	פרק אע"פ (כתובות דף סד:
Tosafot on Berakhot 49b:5:1	פרק אע"פ (דף סד:	פרק אע"פ (כתובות דף סד:
Tosafot on Berakhot 62a:9:1	פרק אע"פ (ד' סה.	פרק אע"פ (כתובות ד' סה.
Tosafot on Berakhot 62a:10:1	פרק אע"פ (ד' סה.	פרק אע"פ (כתובות ד' סה.
Teshuvot haRashba part IV 45:2	בשלהי המוכר את הבית (ע"א ע"א	בשלהי המוכר את הבית (בבא בתרא ע"א ע"א
Teshuvot haRashba part IV 50:2	בשלהי גט פשוט (קע"ה ע"א	בשלהי גט פשוט (בבא בתרא קע"ה ע"א
Teshuvot haRashba part IV 196:3	פ' ר"ע (ד' פ"ג	פ' ר"ע (שבת ד' פ"ג
Teshuvot haRashba part IV 214:2	בשלהי נערה שנתפתתה (נ"ד ע"א	בשלהי נערה שנתפתתה (כתובות נ"ד ע"א
Teshuvot haRashba part IV 246:2	בשלהי יש נוחלין (דף קל"ח ע"ב	בשלהי יש נוחלין (בבא בתרא דף קל"ח ע"ב
Teshuvot haRashba part V 119:2	בפ' במה אשה יוצאה (דף סא	בפ' במה אשה יוצאה (שבת דף סא
Rashbam on Pesachim 116b:6:1	בפרק אע״פ (דף נז.	בפרק אע״פ (כתובות דף נז.
Tosafot on Niddah 34b:10:1	פרק ר"ע (דף פו:	פרק ר"ע (שבת דף פו:
Tosafot on Niddah 55a:1:1	פרק רבי עקיבא (דף פב:	פרק רבי עקיבא (שבת דף פב:
Tosafot on Niddah 62a:11:1	פרק רבי עקיבא (דף צ.	פרק רבי עקיבא (שבת דף צ.
Tosafot on Niddah 70a:20:1	פ' התערובת (דף עו.	פ' התערובת (זבחים דף עו.
Tosafot on Niddah 71b:3:1	בפרק התערובת (דף עט:	בפרק התערובת (זבחים דף עט:
Rashi on Niddah 6b:23:1	בפרק התודה (דף עו.	בפרק התודה (מנחות דף עו.
Rashi on Niddah 55a:1:1	בפרק רבי עקיבא (דף פב:	בפרק רבי עקיבא (שבת דף פב:
Rashi on Eruvin 83b:1:1	בפרק התודה (דף עז.	בפרק התודה (מנחות דף עז.
Rashi on Chagigah 6a:10:1	בפרק ר' עקיבא (דף פח.	בפרק ר' עקיבא (שבת דף פח.
Tosafot on Chagigah 10a:10:1	בפ' ר' עקיבא (דף פח.	בפ' ר' עקיבא (שבת דף פח.
Rosh on Shevuot 3:2:1	בפ' אע"פ (דף נט.	בפ' אע"פ (כתובות דף נט.
Rosh on Avodah Zarah 2:23:1	פ' התערובת (דף עט:	פ' התערובת (זבחים דף עט:
Rosh on Avodah Zarah 5:28:1	פרק התערובת (דף עט:	פרק התערובת (זבחים דף עט:
Rosh on Avodah Zarah 5:33:1	בפ' הגוזל קמא (דף צט.	בפ' הגוזל קמא (בבא קמא דף צט.
Rosh on Ketubot 4:14:2	בסוף אע"פ (דף סה.	בסוף אע"פ (כתובות דף סה.
Rosh on Ketubot 9:10:1	בפ' הגוזל קמא (דף קח:	בפ' הגוזל קמא (בבא קמא דף קח:
Rosh on Ketubot 10:6:1	בשלהי מי שמת (דף קנט.	בשלהי מי שמת (בבא בתרא דף קנט.
Rosh on Ketubot 10:11:2	בשלהי המניח (דף לג:	בשלהי המניח (בבא קמא דף לג:
Rashi on Beitzah 15a:4:3	פרק במה אשה יוצאה (דף ס.	פרק במה אשה יוצאה (שבת דף ס.
Tosafot on Shabbat 143b:3:1	בפרק הגוזל קמא (דף צו:	בפרק הגוזל קמא (בבא קמא דף צו:
Pilpula Charifta on Bava Batra 195:1	בפרק הגוזל קמא (דף צד	בפרק הגוזל קמא (בבא קמא דף צד
Tosafot on Nedarim 44b:3:1	בפרק הגוזל קמא (דף צד	בפרק הגוזל קמא (בבא קמא דף צד
Tosafot on Nedarim 85b:1:1	בפרק אע״פ (דף נח:	בפרק אע״פ (כתובות דף נח:
Rashi on Nedarim 85a:7:1	בפ' אע"פ (דף סד:	בפ' אע"פ (כתובות דף סד:
Ran on Nedarim 30a:2:1	בפרק אע״פ (דף נט:	בפרק אע״פ (כתובות דף נט:
Ran on Nedarim 47a:1:5	בפרק הגוזל קמא (דף קט	בפרק הגוזל קמא (בבא קמא דף קט
Ran on Nedarim 50b:1:1	בפ' אע״פ (דף סג.	בפ' אע״פ (כתובות דף סג.
Ran on Nedarim 73b:2:2	בפרק אע״פ (דף נח	בפרק אע״פ (כתובות דף נח
Rashi on Yoma 14a:11:1	בפרק התערובת (דף פ.	בפרק התערובת (זבחים דף פ.
Ohr Chadash, Introduction to Ohr Chadash 2	בפרק ר' עקיבא (פח, א	בפרק ר' עקיבא (שבת פח, א
Tiferet Yisrael 31:1	בפרק רבי עקיבא (פ"ח ע"ב	בפרק רבי עקיבא (שבת פ"ח ע"ב
Teshuvot haRashba Meyuchas LehaRamban 48:3	ר״פ אע״פ (דף נ״ד:	ר״פ אע״פ (כתובות דף נ״ד:
Teshuvot haRashba Meyuchas LehaRamban 100:4	ר״פ אע״פ (דף נ״ד:	ר״פ אע״פ (כתובות דף נ״ד:
Teshuvot haRashba Meyuchas LehaRamban 100:4	שלהי הכותב (דף פ״ט:	להי הכותב (כתובות דף פ״ט:
Teshuvot haRashba Meyuchas LehaRamban 104:3	פרק אע״פ (דף סד:	פרק אע״פ (כתובות דף סד:
Teshuvot haRashba Meyuchas LehaRamban 106:3	בשלהי המוכר את הבית (דף ע״ב:	בשלהי המוכר את הבית (בבא בתרא דף ע״ב:
Teshuvot haRashba Meyuchas LehaRamban 128:5	בפרק האשה בתרא (דף קכ״א	בפרק האשה בתרא (יבמות דף קכ״א
Teshuvot haRashba Meyuchas LehaRamban 132:3	בשלהי המגרש (דף פ״ט	בשלהי המגרש (גיטין דף פ״ט
Teshuvot haRashba Meyuchas LehaRamban 138:3	פרק אע״פ (ס״ג:	פרק אע״פ (כתובות ס״ג:
Tosafot on Bava Kamma 38a:7:1	פ' ר"ע (ד' פט.	פ' ר"ע (שבת ד' פט.
Tosafot on Bava Kamma 82a:6:1	פרק רבי עקיבא (דף פז:	פרק רבי עקיבא (שבת דף פז:
Drashot Maharal, Drush L'Shabbat HaGadol 31	בפרק רבי עקיבא (דף פ"ט	בפרק רבי עקיבא (שבת דף פ"ט
Drashot Maharal, Drush L'Shabbat HaGadol 46	בפרק רבי עקיבא (דף פ"ט	בפרק רבי עקיבא (שבת דף פ"ט
Rashi on Sanhedrin 55a:11:4	בשלהי ידיעות הטומאה (דף יח.	בשלהי ידיעות הטומאה (שבועות דף יח.
Tosafot on Sanhedrin 3a:1:2	ריש הגוזל קמא (דף צד:	ריש הגוזל קמא (בבא קמא דף צד:
Tosafot on Sanhedrin 12a:13:1	בפרק ר' עקיבא (דף פב.	בפרק ר' עקיבא (שבת דף פב.
Tosafot on Sanhedrin 83a:13:1	שלהי בית שמאי (דף מה:	שלהי בית שמאי (זבחים דף מה:
Rashi on Pesachim 3b:5:1	בפרק במה אשה יוצאה (דף סז:	בפרק במה אשה יוצאה (שבת דף סז:
Darashos HaRan 12:20	בפ' במה אשה יוצאה (דף סז	בפ' במה אשה יוצאה (שבת דף סז
Piskei Challah 1:17	בפרק התערובת (עח, א	בפרק התערובת (זבחים עח, א
Piskei Challah 2:10	בשלהי הניזקין (סב, א	בשלהי הניזקין (גיטין סב, א
Chidushei Halachot on Berakhot 35a:10	בפ' הבע"י (סד.	בפ' הבע"י (יבמות סד.
Chidushei Agadot on Berakhot 27b:1	פ' ר"ע (פט.	פ' ר"ע (שבת פט.
Chidushei Agadot on Berakhot 33b:10	פ' הבע"י (סג.	פ' הבע"י (יבמות סג.
Chidushei Agadot on Berakhot 34b:10	בפ' הבע"י (סד.	בפ' הבע"י (יבמות סד.
Chidushei Agadot on Berakhot 55a:7	פ' הבע"י (סד.	פ' הבע"י (יבמות סד.
Chidushei Agadot on Berakhot 62a:8	פרק אע"פ (סב:	פרק אע"פ (כתובות סב:
Rashi on Gittin 45b:11:2	פרק אע"פ (דף סד.	פרק אע"פ (כתובות דף סד.
Rashi on Gittin 75b:9:2	בפרק אע"פ (דף ס:	בפרק אע"פ (כתובות דף ס:
Kessef Mishneh on Mishneh Torah, Marriage 15:13:1	בר״פ אע״פ (דף נ״ה	בר״פ אע״פ (כתובות דף נ״ה
Kessef Mishneh on Mishneh Torah, Forbidden Foods 16:7:1	בר״פ התערובת (דף ע':	בר״פ התערובת (זבחים דף ע':
Kessef Mishneh on Mishneh Torah, Forbidden Foods 16:10:1	בפרק התערובת (דף ע״ד	בפרק התערובת (זבחים דף ע״ד
Kessef Mishneh on Mishneh Torah, Oaths 6:12:1	בפ' אע״פ (דף ס״ג	בפ' אע״פ (כתובות דף ס״ג
Kessef Mishneh on Mishneh Torah, Oaths 6:12:2	פרק אע״פ (דף ס״ג	פרק אע״פ (כתובות דף ס״ג
Kessef Mishneh on Mishneh Torah, Oaths 7:16:1	פ' הגוזל קמא (דף ק״ג	פ' הגוזל קמא (בבא קמא דף ק״ג
Kessef Mishneh on Mishneh Torah, Oaths 8:8:1	בפ' הגוזל קמא (דף ק״ה ע״ב	בפ' הגוזל קמא (בבא קמא דף ק״ה ע״ב
Kessef Mishneh on Mishneh Torah, Vows 5:6:1	בפ' הגוזל קמא (דף ק״ח:	בפ' הגוזל קמא (בבא קמא דף ק״ח:
Kessef Mishneh on Mishneh Torah, Appraisals and Devoted Property 6:28:1	בפרק אע״פ (דף נ״ט	בפרק אע״פ (כתובות דף נ״ט
Kessef Mishneh on Mishneh Torah, Diverse Species 4:9:2	בפ' ר״ע (דף פ״ה:	בפ' ר״ע (שבת דף פ״ה:
Kessef Mishneh on Mishneh Torah, Diverse Species 4:10:1	בפ' ר״ע (דף פ״ה	בפ' ר״ע (שבת דף פ״ה
Kessef Mishneh on Mishneh Torah, Diverse Species 4:11:3	בפרק ר״ע (דף פ״ה	בפרק ר״ע (שבת דף פ״ה
Kessef Mishneh on Mishneh Torah, Diverse Species 4:15:1	בפרק ר״ע (דף פ״ה	בפרק ר״ע (שבת דף פ״ה
