Rashba on Gittin 49b:5	שילהי גט פשוט [קעג, ב	שילהי גט פשוט (בבא בתרא קעג, ב)
Rashba on Gittin 52b:4	בשילהי השוחט [מא, א	בשילהי השוחט (חולין מא, א)
Beit Yosef, Yoreh Deah 246:18:1	בפרק הפועלים [פד:	בפרק הפועלים (בבא מציעא פד:)
Beit Yosef, Yoreh Deah 334:23:1	שילהי שבועת העדות [לו.	שילהי שבועת העדות (שבועות לו.)
Beit Yosef, Yoreh Deah 334:85:1	בפרק הגוזל ומאכיל [דף קיג.	בפרק הגוזל ומאכיל (בבא קמא דף קיג.)
Beit Yosef, Yoreh Deah 334:87:1	בפרק הגוזל ומאכיל [קיד.	בפרק הגוזל ומאכיל (בבא קמא קיד.)
Beit Yosef, Choshen Mishpat 182:13:1	בפרק אלמנה ניזונית [ד' צח:	בפרק אלמנה ניזונית (כתובות ד' צח:)
Beit Yosef, Choshen Mishpat 307:1:1	בפרק האומנים [פ:	בפרק האומנים (בבא מציעא פ:)
Beit Yosef, Choshen Mishpat 307:1:1	בפרק הפועלים [צג.	פרק הפועלים (בבא מציעא צג.)
Beit Yosef, Choshen Mishpat 307:2:1	בפרק האומנים [פ:	בפרק האומנים (בבא מציעא פ:)
Bach, Yoreh Deah 326:3:1	בפרק בא לו כ"ג [דף ע'	בפרק בא לו כ"ג (יומא דף ע')
Bach, Yoreh Deah 331:67:1	בפ' הפועלים [דף פ"ח	בפ' הפועלים (בבא מציעא דף פ"ח)
Bach, Yoreh Deah 344:4:1	פרק נערה [דף מ"ו	פרק נערה (כתובות דף מ"ו)
Bach, Yoreh Deah 326:3:1	בפרק בא לו כ"ג [דף ע'	בפרק בא לו כ"ג (יומא דף ע')
Bach, Yoreh Deah 331:67:1	בפ' הפועלים [דף פ"ח	בפ' הפועלים (בבא מציעא דף פ"ח)
Bach, Yoreh Deah 344:4:1	פרק נערה [דף מ"ו	פרק נערה (כתובות דף מ"ו)
Tosafot Yom Tov on Mishnah Sanhedrin 2:4:10	בס"פ הנזקין [דף ס'	בס"פ הנזקין (גיטין דף ס')
Tosafot Yom Tov on Mishnah Yevamot 4:3:1	בפ' אע"פ [דף ס"ב	בפ' אע"פ (כתובות דף ס"ב)
Sefer Mitzvot Gadol, Negative Commandments 14:1	פר' שואל [ד' קמ"ט	פר' שואל (שבת ד' קמ"ט)
Sefer Mitzvot Gadol, Negative Commandments 65:31	בפ' יה"כ [ד' ע"ו	דהא בפ' יה"כ (יומא ד' ע"ו)
Sefer Mitzvot Gadol, Negative Commandments 65:31	בפר' המוציא יין [ד' פ"א	] ובפר' המוציא יין (שבת ד' פ"א)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפ' אע"פ [ד' ס"א	בפ' אע"פ (כתובות ד' ס"א)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפרק נערה [דף נ"ב	פרק נערה (כתובות דף נ"ב)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפרק נערה [דף נ"ב	רק נערה (כתובות דף נ"ב)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפ' אלמנה ניזונית [דף צ"ו	אלמנה ניזונית (כתובות דף צ"ו)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפ' נערה [דף מ"ג	נערה (כתובות דף מ"ג)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפרק נערה [דף מ"ג	נערה (כתובות דף מ"ג)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפרק אע"פ [דף נ"ו	ע"פ (כתובות דף נ"ו)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפרק נערה [דף מ"ז	רה (כתובות דף מ"ז)
Sefer Mitzvot Gadol, Negative Commandments 81:1	בפ' אע"פ [דף נ"ט	(כתובות דף נ"ט)
Sefer Mitzvot Gadol, Negative Commandments 111:1	בפר' בא סימן [דף נ"ד	בפר' בא סימן (נדה דף נ"ד)
Sefer Mitzvot Gadol, Negative Commandments 117:1	בפר' החולץ [דף ל"ו	בפר' החולץ (יבמות דף ל"ו)
Sefer Mitzvot Gadol, Negative Commandments 126:1	בפר' אין מעמידין [דף ל"ו	בפר' אין מעמידין (עבודה זרה דף ל"ו)
Sefer Mitzvot Gadol, Negative Commandments 138:2	בפ' התערובת [דף ע"ה	בפ' התערובת (זבחים דף ע"ה)
Sefer Mitzvot Gadol, Negative Commandments 141:4	בפ' התערובת [דף פ"א	בפ' התערובת (זבחים דף פ"א)
Sefer Mitzvot Gadol, Negative Commandments 173:1	בפר' הזהב [דף נ"ט	בפר' הזהב (בבא מציעא דף נ"ט)
Sefer Mitzvot Gadol, Negative Commandments 208:1	בפ' הבית והעליה [דף קי"ח	בפ' הבית והעליה (בבא מציעא דף קי"ח)
Sefer Mitzvot Gadol, Negative Commandments 224:1	בפ' כ"ג [דף כ"א	בפ' כ"ג (סנהדרין דף כ"א)
Sefer Mitzvot Gadol, Negative Commandments 242:1	בפר' הנודר מן המבושל [דף נ"ב	בפר' הנודר מן המבושל (נדרים דף נ"ב)
Sefer Mitzvot Gadol, Negative Commandments 242:1	בפ' נערה [דף ע"ג	פ' נערה (נדרים דף ע"ג)
Sefer Mitzvot Gadol, Negative Commandments 242:1	בפרק נערה [דף ע"ו	רק נערה (נדרים דף ע"ו)
Sefer Mitzvot Gadol, Negative Commandments 264:1	בפר' כל פסולי המוקדשין [דף ל"ד	בפר' כל פסולי המוקדשין (בכורות דף ל"ד)
Sefer Mitzvot Gadol, Negative Commandments 267:1	בפר' זה בורר [דף כ"ו	בפר' זה בורר (סנהדרין דף כ"ו)
Sefer Mitzvot Gadol, Negative Commandments 279:1	בפר' ר' עקיבא [דף פ"ה	בפר' ר' עקיבא (שבת דף פ"ה)
Sefer Mitzvot Gadol, Negative Commandments 280:1	בפ' הספינה [דף פ"ב	בפ' הספינה (בבא בתרא דף פ"ב)
Sefer Mitzvot Gadol, Negative Commandments 329:1	בפר' כל המנחות באות מצה [דף נ"ט	בפר' כל המנחות באות מצה (מנחות דף נ"ט)
Sefer Mitzvot Gadol, Negative Commandments 351:1	בפר' כל שעה [דף מ"א	בפר' כל שעה (פסחים דף מ"א)
Sefer Mitzvot Gadol, Positive Commandments 12:1	בפ׳ הנזקין [דף נ״ח	בפ׳ הנזקין (גיטין דף נ״ח)
Sefer Mitzvot Gadol, Positive Commandments 12:1	בפ׳ ר׳ עקיבא [דף פ״ג	פ׳ ר׳ עקיבא (שבת דף פ״ג)
Sefer Mitzvot Gadol, Positive Commandments 16:1	בפ׳ יה״כ [דף פ״ו	בפ׳ יה״כ (יומא דף פ״ו)
Sefer Mitzvot Gadol, Positive Commandments 25:1	בפ׳ כ״ג [ד׳ כ״א	בפ׳ כ״ג (סנהדרין ד׳ כ״א)
Sefer Mitzvot Gadol, Positive Commandments 25:1	פ׳ הנזקין [ד׳ נ״ד	׳ הנזקין (גיטין ד׳ נ״ד)
Sefer Mitzvot Gadol, Positive Commandments 25:1	בפ׳ הנזקין [ד׳ נ״ד	׳ הנזקין (גיטין ד׳ נ״ד)
Sefer Mitzvot Gadol, Positive Commandments 27:2	בפר׳ לולב וערבה [ד׳ מ״ט	בפר׳ לולב וערבה (סוכה ד׳ מ״ט)
Sefer Mitzvot Gadol, Positive Commandments 44:1	בפרק הפועלים [דף צ״ד	בפרק הפועלים (בבא מציעא דף צ״ד)
Sefer Mitzvot Gadol, Positive Commandments 48:1	בפ׳ אע״פ [דף נ״ז	בפ׳ אע״פ (כתובות דף נ״ז)
Sefer Mitzvot Gadol, Positive Commandments 48:1	בפרק נערה [דף נ״ב	פרק נערה (כתובות דף נ״ב)
Sefer Mitzvot Gadol, Positive Commandments 48:1	בפ׳ נערה [דף נ׳	׳ נערה (כתובות דף נ׳)
