ID,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,LinkedID,PorB,notes,
,,,,,,,,,,,,,,
1001,ר',חוצפית,המתורגמן,,,,,,,,,,,
1002,חורני,או,חורנית,,,,,,,,,,,
1003,חזקיה,,,,,,,,,,,,,
1004,ר',חזקיה,,,,,,,,,,,,
1005,חזקיה,אבי,עיקש,,,,,,,,,,,
1006,חזקיה,אחיו,של,הלל,,,,,,,,,,
1007,חזקיה,בר,בילותו,,,,,,,,,,,
1008,חזקיה,בן,גוריון,,,,,,,,1009,,,
1009,חזקיה,בן,גרון,,,,,,,,1008,,,
1010,חזקיה,בריה,דר',חייא,בריב,דרב,כהנא,,,,,,,
1011,ר',חזקיה,בר,יעקוב,בר,אחא,,,,,,,,
1012,ר',חזקיה,בר,ירמיה,,,,,,,,,,
1013,חזקיה,בריה,דר',פרנך,,,,,,,,,,
1014,חזקיה,בן,בתו,של,רב,,,,,,,,,
1015,ר',חזקיה,חוקוק,,,,,,,,,,,
1016,ר',חזקיה,עכייה,,,,,,,,,,,
1017,חזקיה,תורגמינא,,,,,,,,,,,,
1018,חטיא,,,,,,,,,,,,,
1019,ערך,בר,חטיא,,,,,,,,,,,
1020,חיואי,,,,,,,,,,,,,
1021,חייא,,,,,,,,,,1022,,,
1022,רב,חייא,,,,,,,,,1021,,,
1023,ר',חייא,,,,,,,,,,,,
1024,ר',חייא,אביו,של,ר',אחא,,,,,,,,
1025,ר',חייא,אביו,של,ר',ברכיה,,,,,,,,
1026,ר',חייא,איש,כפר,עכו,,,,,,,,,
1027,ר',חייא,אריכא,,,,,,,,,,,
1028,ר',חייא,בר,אבא,דמן,יפו,,,,,,,,
1029,ר',חייא,בר,אבא,הכהן,,,,,,,,,
1030,ר',חייא,בר,אבויה,,,,,,,,,,
1031,ר',חייא,בר,אבין,,,,,,,,,,
1032,ר',חייא,בר,אדא,,,,,,,,different than below,different than below,
1033,ר',חייא,בר,אדא,,,,,,,,different than above,different than above,
1034,ר',חייא,בריה,דר',אדא,דיפו,,,,,,,,
1035,רב,חייא,בריה,דרב,אויא,,,,,,,,,
1036,חייא,בר,אחא,,,,,,,,,,,
1037,רב,חייא,בריה,דרב,איקא,,,,,,,,,
1038,ר',חייא,בר,אמי,,,,,,,,,,
1039,ר',חייא,בר,אסי,,,,,,,,,,
