Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Behar 1",כי תבאו,Leviticus 25:2
"Aderet Eliyahu, Behar 2",ובשנה השביעת,Leviticus 25:4
"Aderet Eliyahu, Behar 3",שבת שבתון,Leviticus 25:4
"Aderet Eliyahu, Behar 4",את ספיח קצרך לא תקצור,Leviticus 25:5
"Aderet Eliyahu, Behar 5",ואת ענבי נזירך לא תבצר,Leviticus 25:5
"Aderet Eliyahu, Behar 6",שנת שבתון יהיה לארץ (משמע שאינה אסור אלא באותו שנה) לכן אמרו כיון שיצא שביעי,
"Aderet Eliyahu, Behar 7",והיתה שבת הארץ לכם,Leviticus 25:6
"Aderet Eliyahu, Behar 8",לכם לאכלה,Leviticus 25:6
"Aderet Eliyahu, Behar 9",לך ולעבדך ולאמתך,Leviticus 25:6
"Aderet Eliyahu, Behar 10","ולבהמתך ולחיה עיין רש""י",Leviticus 25:7
"Aderet Eliyahu, Behar 11","[פלוגתא זו אינו בת""כ רק בסוכה מ""ח ע""א]",
"Aderet Eliyahu, Behar 12",וספרת לך,Leviticus 25:8
"Aderet Eliyahu, Behar 13",שבע שבתת כו',Leviticus 25:8
"Aderet Eliyahu, Behar 14",והעברת,Leviticus 25:9
"Aderet Eliyahu, Behar 15","והעברת (ר""ה כ""ז ע""ב) דרך העברתו",
"Aderet Eliyahu, Behar 16",ביום,Leviticus 25:9
"Aderet Eliyahu, Behar 17",וקדשתם את שנת הנ',Leviticus 25:10
"Aderet Eliyahu, Behar 18",וקראת' דרור,Leviticus 25:10
"Aderet Eliyahu, Behar 19",ושבתם איש,Leviticus 25:10
"Aderet Eliyahu, Behar 20",תשבו,Leviticus 25:10
"Aderet Eliyahu, Behar 21",לא תזרעו ולא תקצרו ולא תבצרו,Leviticus 25:11
"Aderet Eliyahu, Behar 22",כי יובל היא קדש,Leviticus 25:12
"Aderet Eliyahu, Behar 23",מן השדה תאכלו את תבואתה,Leviticus 25:12
"Aderet Eliyahu, Behar 24",בשנת היובל הזאת,Leviticus 25:13
"Aderet Eliyahu, Behar 25",וכי תמכרו אל תונו,
"Aderet Eliyahu, Behar 26",אל תונו איש את אחיו,Leviticus 25:14
"Aderet Eliyahu, Behar 27",במספר שנים כו' ימכר לך,Leviticus 25:15
"Aderet Eliyahu, Behar 28",אחר היובל סמוך ליובל,
"Aderet Eliyahu, Behar 29",שני תבואות,Leviticus 25:15
"Aderet Eliyahu, Behar 30",במספר שני תבואת ימכר לך,Leviticus 25:15
"Aderet Eliyahu, Behar 31",ועשיתם את חקתי כו',Leviticus 25:18
"Aderet Eliyahu, Behar 32",וישבתם על הארץ,Leviticus 25:18
"Aderet Eliyahu, Behar 33",ינתנה הארץ פריה,Leviticus 25:19
"Aderet Eliyahu, Behar 34",ואכלתם לשבע,Leviticus 25:19
"Aderet Eliyahu, Behar 35",לבטח עליה,Leviticus 25:19
"Aderet Eliyahu, Behar 36",וכי תאמרו,Leviticus 25:20
"Aderet Eliyahu, Behar 37",הן לא נזרע ולא נאסף,Leviticus 25:20
"Aderet Eliyahu, Behar 38",וצויתי את ברכתי לכם בשנה הששית,Leviticus 25:21
"Aderet Eliyahu, Behar 39","ד""א (ר""ה י""ג ע""ב) אל תקרי לשלש אלא לשליש",
"Aderet Eliyahu, Behar 40",וזרעתם את השמינית,Leviticus 25:22
"Aderet Eliyahu, Behar 41","עד בוא תבואתה [פי' שיהא לכם ברכה כ""כ שתאכלו מפירות של ששית עד בוא פירו",
"Aderet Eliyahu, Behar 42",והארץ לא תמכר לצמתת,Leviticus 25:23
"Aderet Eliyahu, Behar 43",כי לי הארץ,Leviticus 25:23
"Aderet Eliyahu, Behar 44",כי גרים ותושבים אתם,Leviticus 25:23
"Aderet Eliyahu, Behar 45","ובכל גאלה תתנו [פי' אי לא הוי כתיב ארץ אחזתכם יכול בעבדי' ובשטרות ובמטלטלי' ת""",
"Aderet Eliyahu, Behar 46","כי ימוך אחיך וכו' עיין רש""י ז""ל אראב""ע ומה אם לגבוה אין אדם רשאי להחרי",
