Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Chukat 1",וידבר ה' אל משה ואל אהרן לאמר,Numbers 19:1
"Aderet Eliyahu, Chukat 2",ב' פ' בא,
"Aderet Eliyahu, Chukat 3",א' פ' שמיני,
"Aderet Eliyahu, Chukat 4",א',
"Aderet Eliyahu, Chukat 5",ב' פ' מצר',
"Aderet Eliyahu, Chukat 6",ג' פ' במדב',
"Aderet Eliyahu, Chukat 7",א' פ' בהעלתך,
"Aderet Eliyahu, Chukat 8",א',
"Aderet Eliyahu, Chukat 9",א' פ' קרח,
"Aderet Eliyahu, Chukat 10",ג' פ' חקת,
"Aderet Eliyahu, Chukat 11","ומה שאמר הקב""ה להם שיאמרו לישראל",
"Aderet Eliyahu, Chukat 12",זאת חקת התורה,Numbers 19:2
"Aderet Eliyahu, Chukat 13",זאת,Numbers 19:2
"Aderet Eliyahu, Chukat 14",חקת,Numbers 19:2
"Aderet Eliyahu, Chukat 15",אשר צוה ה',Numbers 19:2
"Aderet Eliyahu, Chukat 16",דבר אל בני ישראל,Numbers 19:2
"Aderet Eliyahu, Chukat 17",ויקחו,
"Aderet Eliyahu, Chukat 18",ויקחו אליך,Numbers 19:2
"Aderet Eliyahu, Chukat 19",פרה,Numbers 19:2
"Aderet Eliyahu, Chukat 20",אדומה,
"Aderet Eliyahu, Chukat 21",תמימה,Numbers 19:2
"Aderet Eliyahu, Chukat 22",אין בה מום,Numbers 19:2
"Aderet Eliyahu, Chukat 23",אשר,
"Aderet Eliyahu, Chukat 24",אין בה מום,Numbers 19:2
"Aderet Eliyahu, Chukat 25",אשר לא עלה עליה על,Numbers 19:2
"Aderet Eliyahu, Chukat 26",עלה עליה,Numbers 19:2
"Aderet Eliyahu, Chukat 27",ונתתם אתה אל אלעזר הכהן,Numbers 19:3
"Aderet Eliyahu, Chukat 28",אל אלעזר,Numbers 19:3
"Aderet Eliyahu, Chukat 29",אתה אל אלעזר,Numbers 19:3
"Aderet Eliyahu, Chukat 30",והוציא אתה,Numbers 19:3
"Aderet Eliyahu, Chukat 31",אל מחוץ למחנה,Numbers 19:3
"Aderet Eliyahu, Chukat 32",ושחט אתה,Numbers 19:3
"Aderet Eliyahu, Chukat 33",לפניו,Numbers 19:3
"Aderet Eliyahu, Chukat 34",ולקח אלעזר הכהן,Numbers 19:4
"Aderet Eliyahu, Chukat 35",ז' כהנים,
"Aderet Eliyahu, Chukat 36",ז' הזאות,
"Aderet Eliyahu, Chukat 37",ז' טומאות,
"Aderet Eliyahu, Chukat 38",וכן טהרות,
"Aderet Eliyahu, Chukat 39",ז' כיבוסים,
"Aderet Eliyahu, Chukat 40","ז' פרות כמו שאמרו ז""ל מס' פרה (פ""ג משנה ה') ורמוזים כל הז' בפסוק",
"Aderet Eliyahu, Chukat 41",ז' שרפות,
"Aderet Eliyahu, Chukat 42",עוד שלשה פעמים ז' בפ',
"Aderet Eliyahu, Chukat 43",ולקח אלעזר הכהן,Numbers 19:4
"Aderet Eliyahu, Chukat 44",מדמה באצבעו,Numbers 19:4
"Aderet Eliyahu, Chukat 45",באצבעו והזה,Numbers 19:4
"Aderet Eliyahu, Chukat 46",והזה,
"Aderet Eliyahu, Chukat 47",אל נכח פני אהל מוע',Numbers 19:4
"Aderet Eliyahu, Chukat 48",נכח פני אהל מועד,Numbers 19:4
"Aderet Eliyahu, Chukat 49",מדמה שבע פעמים,Numbers 19:4
"Aderet Eliyahu, Chukat 50",מדמה שבע פעמים,Numbers 19:4
"Aderet Eliyahu, Chukat 51",ושרף את הפרה לעיניו,Numbers 19:5
"Aderet Eliyahu, Chukat 52",והזה ושרף,
"Aderet Eliyahu, Chukat 53",לעיניו,
"Aderet Eliyahu, Chukat 54",את הפרה,Numbers 19:5
"Aderet Eliyahu, Chukat 55",את ערה ואת בשרה,Numbers 19:5
"Aderet Eliyahu, Chukat 56",ישרף,Numbers 19:5
"Aderet Eliyahu, Chukat 57",ערה ובשרה ודמה על פרשה ישרף,
"Aderet Eliyahu, Chukat 58",ישרף,Numbers 19:5
"Aderet Eliyahu, Chukat 59",עץ ארז,Numbers 19:6
"Aderet Eliyahu, Chukat 60",ואזוב,Numbers 19:6
"Aderet Eliyahu, Chukat 61",ושני תולעת,Numbers 19:6
"Aderet Eliyahu, Chukat 62",והשליך אל תוך,Numbers 19:6
"Aderet Eliyahu, Chukat 63",שרפת,Numbers 19:6
"Aderet Eliyahu, Chukat 64",הפרה,Numbers 19:6
"Aderet Eliyahu, Chukat 65",וכבס בגדיו הכהן,Numbers 19:7
"Aderet Eliyahu, Chukat 66",בגדיו,Numbers 19:7
"Aderet Eliyahu, Chukat 67",ורחץ בשרו במים,Numbers 19:7
"Aderet Eliyahu, Chukat 68",במים,Numbers 19:7
"Aderet Eliyahu, Chukat 69",ואחר יבא אל המחנה וטמא כו',Numbers 19:7
"Aderet Eliyahu, Chukat 70",אל מחוץ למחנה,Numbers 19:7
"Aderet Eliyahu, Chukat 71",וטמא הכהן עד הערב,Numbers 19:7
"Aderet Eliyahu, Chukat 72",עד הערב,Numbers 19:7
"Aderet Eliyahu, Chukat 73",והשרף אתה,Numbers 19:8
"Aderet Eliyahu, Chukat 74",יכבס בגדיו במים ורחץ בשרו במים,Numbers 19:8
"Aderet Eliyahu, Chukat 75",ואסף איש טהור,Numbers 19:9
"Aderet Eliyahu, Chukat 76",טהור,Numbers 19:9
"Aderet Eliyahu, Chukat 77",והניח מחוץ למחנה,
"Aderet Eliyahu, Chukat 78",אל מחוץ למחנה,
"Aderet Eliyahu, Chukat 79",והניח מחוץ למחנה והיתה לעדת בני ישראל למשמרת כו',Numbers 19:9
"Aderet Eliyahu, Chukat 80",למשמרת למי נדה,Numbers 19:9
"Aderet Eliyahu, Chukat 81",במקום טהור,
"Aderet Eliyahu, Chukat 82",במקום טהור,
"Aderet Eliyahu, Chukat 83",חטאת,Numbers 19:9
"Aderet Eliyahu, Chukat 84",וכבס האסף,Numbers 19:10
"Aderet Eliyahu, Chukat 85",את אפר הפרה,Numbers 19:10
"Aderet Eliyahu, Chukat 86",וטמא עד הערב,Numbers 19:10
"Aderet Eliyahu, Chukat 87",והיתה לבני ישראל ולגר הגר וגו',Numbers 19:10
"Aderet Eliyahu, Chukat 88",לבני ישראל,Numbers 19:10
"Aderet Eliyahu, Chukat 89",הגר,Numbers 19:10
"Aderet Eliyahu, Chukat 90",בתוכם,Numbers 19:10
"Aderet Eliyahu, Chukat 91",לחקת עולם,Numbers 19:10
"Aderet Eliyahu, Chukat 92",הנגע במת לכל נפש אדם וטמא שבעת ימים,Numbers 19:11
"Aderet Eliyahu, Chukat 93",לכל נפש אדם,Numbers 19:11
"Aderet Eliyahu, Chukat 94",אדם וטמא שבעת ימים,Numbers 19:11
"Aderet Eliyahu, Chukat 95",במת בנפ' אדם,
"Aderet Eliyahu, Chukat 96",הוא יתחטא בו,Numbers 19:12
"Aderet Eliyahu, Chukat 97",בו,
"Aderet Eliyahu, Chukat 98",ביום השלישי וביום השביעי,Numbers 19:12
"Aderet Eliyahu, Chukat 99",וביום השביעי יטהר,Numbers 19:12
"Aderet Eliyahu, Chukat 100",ואם לא יתחטא וגו' לא יטהר,Numbers 19:12
"Aderet Eliyahu, Chukat 101",לא יטהר,Numbers 19:12
"Aderet Eliyahu, Chukat 102",כל הנגע במת,Numbers 19:13
"Aderet Eliyahu, Chukat 103",אשר ימות,Numbers 19:13
"Aderet Eliyahu, Chukat 104",ולא יתחטא כו',Numbers 19:13
"Aderet Eliyahu, Chukat 105",ונכרתה הנפש,Numbers 19:13
"Aderet Eliyahu, Chukat 106",הנפש,
"Aderet Eliyahu, Chukat 107",ההוא,Numbers 19:13
"Aderet Eliyahu, Chukat 108",מישראל,Numbers 19:13
"Aderet Eliyahu, Chukat 109",כי מי נדה לא זרק עליו,Numbers 19:13
"Aderet Eliyahu, Chukat 110",טמא יהיה,Numbers 19:13
"Aderet Eliyahu, Chukat 111",עוד טמאתו בו,Numbers 19:13
"Aderet Eliyahu, Chukat 112",אדם כי ימות באהל,Numbers 19:14
"Aderet Eliyahu, Chukat 113",כי ימות,Numbers 19:14
"Aderet Eliyahu, Chukat 114",כל הבא אל האהל,Numbers 19:14
"Aderet Eliyahu, Chukat 115",וכל אשר באהל,
"Aderet Eliyahu, Chukat 116",כל הבא אל האהל,Numbers 19:14
"Aderet Eliyahu, Chukat 117",וכל אשר באהל,
"Aderet Eliyahu, Chukat 118",הבא אל האהל,Numbers 19:14
"Aderet Eliyahu, Chukat 119",הבא אל האהל,Numbers 19:14
"Aderet Eliyahu, Chukat 120",יטמא שבעת ימים,Numbers 19:14
"Aderet Eliyahu, Chukat 121",וכל כלי פתוח אשר אין צמיד פתיל עליו,Numbers 19:15
"Aderet Eliyahu, Chukat 122",אשר אין צמיד פתיל עליו,Numbers 19:15
"Aderet Eliyahu, Chukat 123",עליו,Numbers 19:15
"Aderet Eliyahu, Chukat 124",טמא הוא,Numbers 19:15
"Aderet Eliyahu, Chukat 125",טמא הוא,Numbers 19:15
"Aderet Eliyahu, Chukat 126",וכל אשר יגע על פני השדה,Numbers 19:16
"Aderet Eliyahu, Chukat 127",בחלל חרב,Numbers 19:16
"Aderet Eliyahu, Chukat 128",או במת,Numbers 19:16
"Aderet Eliyahu, Chukat 129",או בעצם אדם,Numbers 19:16
"Aderet Eliyahu, Chukat 130",או בקבר,Numbers 19:16
"Aderet Eliyahu, Chukat 131",ולקחו לטמא מעפר שרפת החטאת,Numbers 19:17
"Aderet Eliyahu, Chukat 132",לטמא,Numbers 19:17
"Aderet Eliyahu, Chukat 133",ונתן עליו מים חיים אל כלי,Numbers 19:17
"Aderet Eliyahu, Chukat 134",חיים אל כלי,Numbers 19:17
"Aderet Eliyahu, Chukat 135",ונתן עליו מים חיים אל כלי,
"Aderet Eliyahu, Chukat 136",ולקח אזוב,Numbers 19:18
"Aderet Eliyahu, Chukat 137",וטבל במים,Numbers 19:18
"Aderet Eliyahu, Chukat 138",במים,
"Aderet Eliyahu, Chukat 139",איש,Numbers 19:18
"Aderet Eliyahu, Chukat 140",טהור,Numbers 19:18
"Aderet Eliyahu, Chukat 141",וטבל והזה,
"Aderet Eliyahu, Chukat 142",על האהל ועל כל הכלים ועל הנפשות,Numbers 19:18
"Aderet Eliyahu, Chukat 143",על האהל,Numbers 19:18
"Aderet Eliyahu, Chukat 144",ועל הנפשות,Numbers 19:18
"Aderet Eliyahu, Chukat 145",אשר היו שם,Numbers 19:18
"Aderet Eliyahu, Chukat 146",ועל הנגע בעצם כו',Numbers 19:18
"Aderet Eliyahu, Chukat 147",בחלל,Numbers 19:18
"Aderet Eliyahu, Chukat 148",או במת,Numbers 19:18
"Aderet Eliyahu, Chukat 149",בקבר,Numbers 19:18
"Aderet Eliyahu, Chukat 150",והזה הטהר על הטמא,Numbers 19:19
"Aderet Eliyahu, Chukat 151",על הטמא,Numbers 19:19
"Aderet Eliyahu, Chukat 152",והזה הטהור על הטמ' ביום הג' וביו' הז',
"Aderet Eliyahu, Chukat 153",ורחץ במים וטהר בערב,Numbers 19:19
"Aderet Eliyahu, Chukat 154",ואיש אשר יטמא ולא יתחטא ונכרתה,Numbers 19:20
"Aderet Eliyahu, Chukat 155",ונכרתה הנפש ההוא מתוך הקהל,Numbers 19:20
"Aderet Eliyahu, Chukat 156",כי את מקדש ד' טמא,Numbers 19:20
"Aderet Eliyahu, Chukat 157",מי נדה לא זרק עליו,Numbers 19:20
"Aderet Eliyahu, Chukat 158",טמא הוא,Numbers 19:20
"Aderet Eliyahu, Chukat 159",הוא,
"Aderet Eliyahu, Chukat 160",והיתה להם לחקת עולם,Numbers 19:21
"Aderet Eliyahu, Chukat 161",ומזה מי הנדה וגו',Numbers 19:21
"Aderet Eliyahu, Chukat 162","ואגב אמר רבינו הגאון לכאורה הוא תמוה שבתורה כתוב מפורש שהמזה טמא ורז""ל דרשו שהמז",
"Aderet Eliyahu, Chukat 163",וכל אשר יגע בו הטמא יטמא,Numbers 19:22
"Aderet Eliyahu, Chukat 164","[א""ה לפ""ד הגאון קאי הפסוק וכל אשר יגע בו הטמא יטמא דכתיב סתם טומאה דמשמ",
"Aderet Eliyahu, Chukat 165",כל העדה,
"Aderet Eliyahu, Chukat 166",מדבר צן הוא קדש,
"Aderet Eliyahu, Chukat 167",וממדבר מתנה,
"Aderet Eliyahu, Chukat 168",ומנחליאל במות כו' ומבמות הגיא שכל אלו המסעות עבר עמהם הבאר עד מסע האחרון וש,
"Aderet Eliyahu, Chukat 169",פי' שירת הבאר כ,
"Aderet Eliyahu, Chukat 170",עלי באר ענו לה,
"Aderet Eliyahu, Chukat 171",באר חפרוה שרים כרוה,
"Aderet Eliyahu, Chukat 172",כרוה נדיבי עם,
"Aderet Eliyahu, Chukat 173",נדיבי,
"Aderet Eliyahu, Chukat 174",במחקק,
"Aderet Eliyahu, Chukat 175",במשענתם,
"Aderet Eliyahu, Chukat 176","ע""כ חשב ממעלה למטה",
"Aderet Eliyahu, Chukat 177",מתנה,
"Aderet Eliyahu, Chukat 178",נחליאל,
"Aderet Eliyahu, Chukat 179",במות,
"Aderet Eliyahu, Chukat 180",ומבמות הגיא,
"Aderet Eliyahu, Chukat 181",אשר בשדה מואב ראש הפסגה,
"Aderet Eliyahu, Chukat 182",ונשקפה על פני הישימן,
"Aderet Eliyahu, Chukat 183",על פני הישימן,
"Aderet Eliyahu, Chukat 184",מהדורא קמ,
"Aderet Eliyahu, Chukat 185",וירא בלק,
"Aderet Eliyahu, Chukat 186",את כל אשר,
"Aderet Eliyahu, Chukat 187",עשה ישראל לאמרי,
"Aderet Eliyahu, Chukat 188",וירא ויגר,
"Aderet Eliyahu, Chukat 189",כי רב הוא,
"Aderet Eliyahu, Chukat 190",כי רב הוא,
"Aderet Eliyahu, Chukat 191",אל זקני מדין,
"Aderet Eliyahu, Chukat 192",כלחך השור,
"Aderet Eliyahu, Chukat 193",פתורה אשר על הנהר,
"Aderet Eliyahu, Chukat 194",כי עצום הוא,
"Aderet Eliyahu, Chukat 195",כי ידעתי את אשר תברך מברך ואשר תאר יואר,
"Aderet Eliyahu, Chukat 196",את אשר תברך מברך ואשר תאר יואר,
"Aderet Eliyahu, Chukat 197",וקסמים בידם,
"Aderet Eliyahu, Chukat 198",לינו פה הלילה,
"Aderet Eliyahu, Chukat 199",מי האנשים האלה עמך,
"Aderet Eliyahu, Chukat 200",בלק,
"Aderet Eliyahu, Chukat 201",הנה העם היצא ממצרים עתה כו',
"Aderet Eliyahu, Chukat 202",מאן ה' לתתי להלך עמכם,
"Aderet Eliyahu, Chukat 203",שרים רבים ונכבדים מאלה,
"Aderet Eliyahu, Chukat 204",כי כבד אכבדך מאד,
"Aderet Eliyahu, Chukat 205",וכל אשר תאמר אלי אעשה,Numbers 19:22
"Aderet Eliyahu, Chukat 206",מלא ביתו כסף וזהב,
"Aderet Eliyahu, Chukat 207",שבו נא בזה,
"Aderet Eliyahu, Chukat 208",ואדעה מה יסף,
"Aderet Eliyahu, Chukat 209",אם לקרא לך,
"Aderet Eliyahu, Chukat 210",(ואך כו',
"Aderet Eliyahu, Chukat 211",ויקם בלעם בבקר,
"Aderet Eliyahu, Chukat 212",והוא רכב על אתנו,
"Aderet Eliyahu, Chukat 213",במקל,
"Aderet Eliyahu, Chukat 214",ואפס את הדבר אשר אדבר אליך אתו תדבר,
"Aderet Eliyahu, Chukat 215",היכול אוכל דבר מאומה,
"Aderet Eliyahu, Chukat 216",ויזבח בלק בקר וצאן,
"Aderet Eliyahu, Chukat 217",פר ואיל במזבח,
"Aderet Eliyahu, Chukat 218",וכבש הוא כולל שניהם וכן המזבח הוא כולל כל ג' שמות עם הקוץ של א,
"Aderet Eliyahu, Chukat 219","ואמר התיצב על עלתך כל מקום שנאמר התיצב הוא רוח הקודש בסוד העולה וכמ""ש בזוה",
"Aderet Eliyahu, Chukat 220",אולי יקרה ה' לקראתי,
"Aderet Eliyahu, Chukat 221",ויקר אלהים אל בלעם,
"Aderet Eliyahu, Chukat 222",מהדורא תניינ,
