Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Devarim 1",אלה הדברים,Deuteronomy 1:1
"Aderet Eliyahu, Devarim 2",אל כל ישראל,
"Aderet Eliyahu, Devarim 3",בעבר הירדן,
"Aderet Eliyahu, Devarim 4",במדבר,
"Aderet Eliyahu, Devarim 5","בין פארן ובין תפל מלמד שהיו מוכיחם ג""כ בין מסע למסע",
"Aderet Eliyahu, Devarim 6",תפל,
"Aderet Eliyahu, Devarim 7",וחצרת,
"Aderet Eliyahu, Devarim 8",ודי זהב,
"Aderet Eliyahu, Devarim 9",דע כי מן אלה הדברים עד ה' אלהינו הם הקדמה של הספר,
"Aderet Eliyahu, Devarim 10",אשר דבר משה וגו',Deuteronomy 1:1
"Aderet Eliyahu, Devarim 11",אלה הדברים הסופי תיבות של החמשה ספרי' הן אותיות תורה דהיינו ת' של בראשית ה,
"Aderet Eliyahu, Devarim 12","ולרמ""ח מ""ע עשרה שרשים והם עשרת הדברות",
"Aderet Eliyahu, Devarim 13",אלה הדברים,
"Aderet Eliyahu, Devarim 14",בעבר הירדן,Deuteronomy 1:1
"Aderet Eliyahu, Devarim 15","עש""ן כמפורש בספר יצירה והרביעית הוא הש""י והעולם נחלק לב' כמ""ש מלכותך מלכות כו' והחמישי",
"Aderet Eliyahu, Devarim 16",בעבר הירדן,Deuteronomy 1:1
"Aderet Eliyahu, Devarim 17",מול סוף,Deuteronomy 1:1
"Aderet Eliyahu, Devarim 18",בין פארן,Deuteronomy 1:1
"Aderet Eliyahu, Devarim 19",ובין תפל גו',Deuteronomy 1:1
"Aderet Eliyahu, Devarim 20",בין פארן,
"Aderet Eliyahu, Devarim 21","ומ""ש בספרי את הי' נסיונות ורש""י הביא היאך מרומזים כאן",
"Aderet Eliyahu, Devarim 22",ולבן,
"Aderet Eliyahu, Devarim 23",ודי זהב,
"Aderet Eliyahu, Devarim 24",אשר דבר משה אל כל ישראל,
"Aderet Eliyahu, Devarim 25",בעבר הירדן,
"Aderet Eliyahu, Devarim 26","ועבר הירדן הוא הכולל ואח""כ אומר הפרט",
"Aderet Eliyahu, Devarim 27",במדבר,
"Aderet Eliyahu, Devarim 28",בערבה,
"Aderet Eliyahu, Devarim 29",מול סוף,
"Aderet Eliyahu, Devarim 30",בין פארן ובין תפל וגו',Deuteronomy 1:1
"Aderet Eliyahu, Devarim 31",וחושב כאן כל הה' כיתות,
"Aderet Eliyahu, Devarim 32",מ' י' נ' ה' ת' ג' ח' ב' ד' כ' בעבר הירדן הוא נגד מלכות,
"Aderet Eliyahu, Devarim 33",ודי זהב סוד כח וכחו,Deuteronomy 1:1-2
"Aderet Eliyahu, Devarim 34","אחד עשר יום כו' עיין רש""י",Deuteronomy 1:2
"Aderet Eliyahu, Devarim 35",ולפי פשוטו הוא כך שאחד עשר יום מחרב עד מקום שאמר להם כשהיו הולכין דר,
"Aderet Eliyahu, Devarim 36",וסודן הכל כלול בשם אלוה וסוד אלהי אברהם אלהי יצחק ואלהי יעקב,
"Aderet Eliyahu, Devarim 37",מול סוף,
"Aderet Eliyahu, Devarim 38",פארן ותפל,
"Aderet Eliyahu, Devarim 39",וחצרת,
"Aderet Eliyahu, Devarim 40",ולבן ודי זהב,
"Aderet Eliyahu, Devarim 41",ויהי בארבעים שנה בעשתי עשר וגו',Deuteronomy 1:3
"Aderet Eliyahu, Devarim 42","אחרי הכתו גו' ערש""י",
"Aderet Eliyahu, Devarim 43",הואיל,
"Aderet Eliyahu, Devarim 44","באדרעי כתב רש""י שם המלכות והוא ט""ס שעשתרות ואדרעי שתי מדינות הן אלא כצ""ל שאדרע",
"Aderet Eliyahu, Devarim 45",בעבר הירדן בארץ מואב,Deuteronomy 1:5
"Aderet Eliyahu, Devarim 46",לאמר,Deuteronomy 1:5
"Aderet Eliyahu, Devarim 47","בב' פסוקים ראשונים יש עשרה מקומות שהם י""ב וג' דברים שהן אלה הדברים ומשה וישרא",
"Aderet Eliyahu, Devarim 48",רב לכם שבת בהר,
"Aderet Eliyahu, Devarim 49",בחרב לאמר,Deuteronomy 1:6
"Aderet Eliyahu, Devarim 50",לאמר,
"Aderet Eliyahu, Devarim 51",הכנעני,
"Aderet Eliyahu, Devarim 52",והלבנון,
"Aderet Eliyahu, Devarim 53",עד הנהר הגדל כו' שמפרה והולך עד שכלה כמגריפה,
"Aderet Eliyahu, Devarim 54",פנו וסעו לכם ובאו גו',Deuteronomy 1:7
"Aderet Eliyahu, Devarim 55",הר האמרי חשיב כאן עשרה מקומות שכל העולמות וכל הדרגין אין פחותין מעשר אלא משתני,
"Aderet Eliyahu, Devarim 56",הר האמרי ואל כל שכניו,Deuteronomy 1:7
"Aderet Eliyahu, Devarim 57","אשר נשבע גו' ערש""י משל למלך שנתן לעבדו שדה במתנה ולא נתנה לו אלא כמו",
"Aderet Eliyahu, Devarim 58",לתת להם,
"Aderet Eliyahu, Devarim 59",ראה נתתי גו',Deuteronomy 1:8
"Aderet Eliyahu, Devarim 60",לאבתיכם גו',
"Aderet Eliyahu, Devarim 61",לתת להם,Deuteronomy 1:8
"Aderet Eliyahu, Devarim 62",ולזרעם אחריהם,Deuteronomy 1:8
"Aderet Eliyahu, Devarim 63",לתת להם,
"Aderet Eliyahu, Devarim 64",ולזרעם,Deuteronomy 1:8
"Aderet Eliyahu, Devarim 65",לאבתיכם לאברהם גו',
"Aderet Eliyahu, Devarim 66",בעת ההוא,Deuteronomy 1:9
"Aderet Eliyahu, Devarim 67",לאמר,Deuteronomy 1:9
"Aderet Eliyahu, Devarim 68",שאת אתכם,Deuteronomy 1:9
"Aderet Eliyahu, Devarim 69",בעת ההוא,
"Aderet Eliyahu, Devarim 70",בעת ההוא,
"Aderet Eliyahu, Devarim 71",שאת אתכם,Deuteronomy 1:9
"Aderet Eliyahu, Devarim 72","שבע כתות של צדיקים בג""ע זו למעלה מזו",
"Aderet Eliyahu, Devarim 73",ככוכבי השמים לרב גו',Deuteronomy 1:10
"Aderet Eliyahu, Devarim 74",והנכם היום,
"Aderet Eliyahu, Devarim 75",והנה יש בישראל ז' כתות,
"Aderet Eliyahu, Devarim 76","ה' אלהיכם כו' ערש""י",
"Aderet Eliyahu, Devarim 77",יסף עליכם ככם אלף פעמים,Deuteronomy 1:11
"Aderet Eliyahu, Devarim 78",ככם,Deuteronomy 1:11
"Aderet Eliyahu, Devarim 79",כאשר דבר לכם,Deuteronomy 1:11
"Aderet Eliyahu, Devarim 80",כאשר דבר לכם,Deuteronomy 1:11
"Aderet Eliyahu, Devarim 81",וריבכם,
"Aderet Eliyahu, Devarim 82",איכה אשא לבדי טרחכם ומשאכם וריבכם,Deuteronomy 1:12
"Aderet Eliyahu, Devarim 83",ועל מה שאמר שצריך לדרוש אלהים אמר כי כבד ממך הדבר,
"Aderet Eliyahu, Devarim 84",את המעשה זה הדין,
"Aderet Eliyahu, Devarim 85",ואמר אשא,
"Aderet Eliyahu, Devarim 86",הבו לכם,Deuteronomy 1:13
"Aderet Eliyahu, Devarim 87","אנשים כו' עיין רש""י",
"Aderet Eliyahu, Devarim 88",הבו לכם אנשים חכמים ונבנים וידעים,
"Aderet Eliyahu, Devarim 89",חכמי',
"Aderet Eliyahu, Devarim 90",וידעים,
"Aderet Eliyahu, Devarim 91",לשבטיכם,
"Aderet Eliyahu, Devarim 92",הבו לכם,Deuteronomy 1:13
"Aderet Eliyahu, Devarim 93","אנשים וגו' ערש""י",
"Aderet Eliyahu, Devarim 94",טוב הדבר,Deuteronomy 1:14
"Aderet Eliyahu, Devarim 95",ואקח את ראשי שבטיכם אנשים חכמים וידעים ואתן אותם ראשים עליכם,Deuteronomy 1:15
"Aderet Eliyahu, Devarim 96",ואתן אותם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרות ושטרים לשבטיכ',Deuteronomy 1:15
"Aderet Eliyahu, Devarim 97",לשבטיכם,Deuteronomy 1:15
"Aderet Eliyahu, Devarim 98",שמע בין אחיכם,
"Aderet Eliyahu, Devarim 99",ושפטתם צדק,
"Aderet Eliyahu, Devarim 100",בין איש ובין אחיו,
"Aderet Eliyahu, Devarim 101",ואצוה את שפטיכם וגו,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 102",בעת ההוא לאמר,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 103",שמע,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 104",בין אחיכם,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 105",ושפטתם צדק,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 106",בין איש ובין אחיו,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 107",בין איש ובין אחיו,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 108",ובין גרו,Deuteronomy 1:16
"Aderet Eliyahu, Devarim 109","לא תגורו מפני איש (כ""ה בסנהדרין דף וי""ו ע""ב) שאם באים שנים לדין לפניך ע",
