Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Kedoshim 1","דבר עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 2","קדשים תהיו עיין רש""י ז""ל",Leviticus 19:2
"Aderet Eliyahu, Kedoshim 3","איש עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 4",אל תפנו אל האלילם,Leviticus 19:4
"Aderet Eliyahu, Kedoshim 5","וכי תזבחו וגו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 6",ביום זבחכם,Leviticus 19:6
"Aderet Eliyahu, Kedoshim 7",והנותר עד יום השלישי,Leviticus 19:6
"Aderet Eliyahu, Kedoshim 8","ואם האכל יאכל עיין רש""י ז""ל",Leviticus 19:7
"Aderet Eliyahu, Kedoshim 9",ואכליו,Leviticus 19:8
"Aderet Eliyahu, Kedoshim 10",חלל,Leviticus 19:8
"Aderet Eliyahu, Kedoshim 11",ובקצרכם,Leviticus 19:9
"Aderet Eliyahu, Kedoshim 12",ובקצרכם,Leviticus 19:9
"Aderet Eliyahu, Kedoshim 13",ולקט קצירך,Leviticus 19:9
"Aderet Eliyahu, Kedoshim 14","וכרמך אפי' כלו עוללות דר""ע א""כ למה נאמר כי תבצור כו'",
"Aderet Eliyahu, Kedoshim 15","לא תעולל עיין רש""י ז""ל",Leviticus 19:10
"Aderet Eliyahu, Kedoshim 16",ופרט כרמך,Leviticus 19:10
"Aderet Eliyahu, Kedoshim 17",לעני ולגר,Leviticus 19:10
"Aderet Eliyahu, Kedoshim 18",תעזב,Leviticus 19:10
"Aderet Eliyahu, Kedoshim 19",תעזב,Leviticus 19:10
"Aderet Eliyahu, Kedoshim 20","אני ה' אלהיכם עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 21","לא תגנבו עיין רש""י ז""ל",Leviticus 19:11
"Aderet Eliyahu, Kedoshim 22",לא תשקרו,Leviticus 19:11
"Aderet Eliyahu, Kedoshim 23","ולא תשבעו בשמי עיין רש""י",Leviticus 19:12
"Aderet Eliyahu, Kedoshim 24","לא תעשק עיין רש""י זכרונו לברכה",
"Aderet Eliyahu, Kedoshim 25",ולא תגזל,Leviticus 19:13
"Aderet Eliyahu, Kedoshim 26","לא תקלל כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 27","ולפני עור כו' עיין רש""י ז""ל מניין שלא יושיט [אינו בת""כ רק בפסחים כ""ב ע""ב",
"Aderet Eliyahu, Kedoshim 28",וגורם לחמשה דברים,
"Aderet Eliyahu, Kedoshim 29","לא תשא פני דל ולא תהדר כו' עיין רש""י ז""ל",Leviticus 19:15
"Aderet Eliyahu, Kedoshim 30",בצדק,
"Aderet Eliyahu, Kedoshim 31",לא תעמד על דם רעך,Leviticus 19:16
"Aderet Eliyahu, Kedoshim 32",לא תשנא,Leviticus 19:17
"Aderet Eliyahu, Kedoshim 33",את עמיתך לעם שאתך במצות ולא לרשע שישנאך שנא' אל תוכח לץ פן ישנאך,
"Aderet Eliyahu, Kedoshim 34","(יבמות ס""ה ע""ב) הוכח לחכם ויהאבך (ערכין י""ד ע""ב) אר""ע העבוד' אם יש בדור הז",
"Aderet Eliyahu, Kedoshim 35",לא תקם ולא תטר את בני עמך,Leviticus 19:18
"Aderet Eliyahu, Kedoshim 36","(סנהדרין מ""ה נ""ב כתובות ל""ז פסחים ע""ה סוטה ח' ע""ב) את חקתי כו' ר""א אומ",
"Aderet Eliyahu, Kedoshim 37",בהמתך לא תרביע,Leviticus 19:19
"Aderet Eliyahu, Kedoshim 38",שדך לא תזרע,Leviticus 19:19
"Aderet Eliyahu, Kedoshim 39","בהמתך מה בהמתך בהרבעה (קידושין ל""ט ע""א) אף שדך בהרכבה ומה בהמתך בין בארץ בי",
"Aderet Eliyahu, Kedoshim 40",ובגד כלאים שעטנז,Leviticus 19:19
"Aderet Eliyahu, Kedoshim 41",עליך,Leviticus 19:19
"Aderet Eliyahu, Kedoshim 42",איש,
"Aderet Eliyahu, Kedoshim 43",את אשה,Leviticus 19:20
"Aderet Eliyahu, Kedoshim 44","שכבת זרע [כל המימרא ביבמות דף נ""ה ע""א וע""ב] פרט להעראה מכאן להעראה בחייבי לאוין",
"Aderet Eliyahu, Kedoshim 45",שכבת זרע דאשת איש,
"Aderet Eliyahu, Kedoshim 46","ש""ז דסוטה",
"Aderet Eliyahu, Kedoshim 47",בקרת,Leviticus 19:20
"Aderet Eliyahu, Kedoshim 48",והביא את אשמו,Leviticus 19:21
"Aderet Eliyahu, Kedoshim 49",וכי תבאו,Leviticus 19:23
"Aderet Eliyahu, Kedoshim 50",ובשנה הרביעית,Leviticus 19:24
"Aderet Eliyahu, Kedoshim 51",ובשנה החמישית,Leviticus 19:25
"Aderet Eliyahu, Kedoshim 52",לא תאכלו על הדם,Leviticus 19:26
"Aderet Eliyahu, Kedoshim 53",לא תנחשו,Leviticus 19:26
"Aderet Eliyahu, Kedoshim 54",לא תקפו,Leviticus 19:27
"Aderet Eliyahu, Kedoshim 55",פאת ראשכם,Leviticus 19:27
"Aderet Eliyahu, Kedoshim 56",ולא תשחית,Leviticus 19:27
"Aderet Eliyahu, Kedoshim 57",פאת זקנך,Leviticus 19:27
"Aderet Eliyahu, Kedoshim 58",ושרט,Leviticus 19:28
"Aderet Eliyahu, Kedoshim 59",וכתבת קעקע עד שיכתוב ויקעקע כתב ולא קעקע כו',
"Aderet Eliyahu, Kedoshim 60",אל תחלל את בתך,Leviticus 19:29
"Aderet Eliyahu, Kedoshim 61",ולא תזנה הארץ,Leviticus 19:29
"Aderet Eliyahu, Kedoshim 62","ומקדשי תיראו עיין רש""י ז""ל",Leviticus 19:30
"Aderet Eliyahu, Kedoshim 63",תיראו,Leviticus 19:30
"Aderet Eliyahu, Kedoshim 64","אל תפנו עיין רש""י ז""ל",Leviticus 19:31
"Aderet Eliyahu, Kedoshim 65","אני ה' כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 66",יגור,Leviticus 19:33
"Aderet Eliyahu, Kedoshim 67",כאזרח,Leviticus 19:34
"Aderet Eliyahu, Kedoshim 68","לא תעשו עול כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 69","במדה [אינו בת""כ רק בב""ב פ""ט ע""ב] שלא ימדוד לא' בימות החמה ולא' בימות הגשמים",
"Aderet Eliyahu, Kedoshim 70",אבני צדק,Leviticus 19:36
"Aderet Eliyahu, Kedoshim 71",יהי' לכם,
"Aderet Eliyahu, Kedoshim 72",הוצאתי אתכם,Leviticus 19:36
"Aderet Eliyahu, Kedoshim 73",ושמרתם כו' ליתן שמירה ועשיה כו',Leviticus 20:10
"Aderet Eliyahu, Kedoshim 74",אני ה',
"Aderet Eliyahu, Kedoshim 75",ואל בני ישראל,
"Aderet Eliyahu, Kedoshim 76",אשר יתן,
"Aderet Eliyahu, Kedoshim 77",מות יומת,Leviticus 20:10
"Aderet Eliyahu, Kedoshim 78",באבן,
"Aderet Eliyahu, Kedoshim 79","ואני אתן כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 80",והכרתי,
"Aderet Eliyahu, Kedoshim 81","מקרב עמו, ועמו בשלום",
"Aderet Eliyahu, Kedoshim 82","ואם העלם יעלימו כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 83",לבלתו המית אתו בכל מיתה,
"Aderet Eliyahu, Kedoshim 84","ובמשפחתו והכרתי כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 85","לזנות אחרי כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Kedoshim 86",והנפש,
