Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Ki Teitzei 1",כי תצא למלחמה,Deuteronomy 21:10
"Aderet Eliyahu, Ki Teitzei 2",על אוביך,Deuteronomy 21:10
"Aderet Eliyahu, Ki Teitzei 3",ונתנו ה' אלהיך בידך,Deuteronomy 21:10
"Aderet Eliyahu, Ki Teitzei 4",ושבית שביו,Deuteronomy 21:10
"Aderet Eliyahu, Ki Teitzei 5",וראית בשביה,Deuteronomy 21:11
"Aderet Eliyahu, Ki Teitzei 6",אשת,Deuteronomy 21:11
"Aderet Eliyahu, Ki Teitzei 7",יפת תאר,Deuteronomy 21:11
"Aderet Eliyahu, Ki Teitzei 8",ולקחת לך לאשה,Deuteronomy 21:11
"Aderet Eliyahu, Ki Teitzei 9",לך לאשה,Deuteronomy 21:11
"Aderet Eliyahu, Ki Teitzei 10",והבאתה אל תוך ביתך,Deuteronomy 21:12
"Aderet Eliyahu, Ki Teitzei 11",והבאתה אל תוך ביתך,Deuteronomy 21:12
"Aderet Eliyahu, Ki Teitzei 12",והסירה את שמלת שביה מעליה,Deuteronomy 21:13
"Aderet Eliyahu, Ki Teitzei 13",וישבה בביתך,Deuteronomy 21:13
"Aderet Eliyahu, Ki Teitzei 14",ובכתה את אביה ואת אמה,Deuteronomy 21:13
"Aderet Eliyahu, Ki Teitzei 15",ירח ימים,Deuteronomy 21:13
"Aderet Eliyahu, Ki Teitzei 16","ואח""כ תבוא אליה",Deuteronomy 21:13
"Aderet Eliyahu, Ki Teitzei 17",והיה אם לא חפצת בה,Deuteronomy 21:14
"Aderet Eliyahu, Ki Teitzei 18",ושלחתה,Deuteronomy 21:14
"Aderet Eliyahu, Ki Teitzei 19",לנפשה,Deuteronomy 21:14
"Aderet Eliyahu, Ki Teitzei 20",ומכר לא תמכרנה,Deuteronomy 21:14
"Aderet Eliyahu, Ki Teitzei 21",לא תתעמר בה תחת אשר עניתה,Deuteronomy 21:14
"Aderet Eliyahu, Ki Teitzei 22",כי תהיין,Deuteronomy 21:15
"Aderet Eliyahu, Ki Teitzei 23",וילדו לו בנים,Deuteronomy 21:15
"Aderet Eliyahu, Ki Teitzei 24",וילדו לו בנים,Deuteronomy 21:15
"Aderet Eliyahu, Ki Teitzei 25",והי' הבן,
"Aderet Eliyahu, Ki Teitzei 26",הבכר,
"Aderet Eliyahu, Ki Teitzei 27",והיה,Deuteronomy 21:15
"Aderet Eliyahu, Ki Teitzei 28",לשניאה,Deuteronomy 21:15
"Aderet Eliyahu, Ki Teitzei 29",והיה ביום הנחילו,Deuteronomy 21:16
"Aderet Eliyahu, Ki Teitzei 30",הנחילו את בניו,Deuteronomy 21:16
"Aderet Eliyahu, Ki Teitzei 31",את אשר יהיה לו,Deuteronomy 21:16
"Aderet Eliyahu, Ki Teitzei 32",לא יוכל לבכר,Deuteronomy 21:16
"Aderet Eliyahu, Ki Teitzei 33",על פני בן השנואה,Deuteronomy 21:16
"Aderet Eliyahu, Ki Teitzei 34",יכיר,Deuteronomy 21:17
"Aderet Eliyahu, Ki Teitzei 35",לתת לו,Deuteronomy 21:17
"Aderet Eliyahu, Ki Teitzei 36",כי הוא ראשית אנו,Deuteronomy 21:17
"Aderet Eliyahu, Ki Teitzei 37",ראשית אנו,Deuteronomy 21:17
"Aderet Eliyahu, Ki Teitzei 38",לו משפט הבכרה,Deuteronomy 21:17
"Aderet Eliyahu, Ki Teitzei 39",כי יהיה לאיש בן,Deuteronomy 21:18
"Aderet Eliyahu, Ki Teitzei 40",איננו שמע בקול אביו ובקול אמו,Deuteronomy 21:18
"Aderet Eliyahu, Ki Teitzei 41",בקול אביו ובקול אמו,Deuteronomy 21:18
"Aderet Eliyahu, Ki Teitzei 42",ויסרו אתו,Deuteronomy 21:18
"Aderet Eliyahu, Ki Teitzei 43",ולא ישמע אליהם,Deuteronomy 21:18
"Aderet Eliyahu, Ki Teitzei 44",ותפשו בו,Deuteronomy 21:19
"Aderet Eliyahu, Ki Teitzei 45",אביו ואמו,Deuteronomy 21:19
"Aderet Eliyahu, Ki Teitzei 46",והוציאו,Deuteronomy 21:19
"Aderet Eliyahu, Ki Teitzei 47",ואמרו,Deuteronomy 21:20
"Aderet Eliyahu, Ki Teitzei 48",זה,
"Aderet Eliyahu, Ki Teitzei 49",איננו שמע בקלנו,
"Aderet Eliyahu, Ki Teitzei 50",ואמרו,
"Aderet Eliyahu, Ki Teitzei 51",אל זקני עירו,Deuteronomy 21:20
"Aderet Eliyahu, Ki Teitzei 52",בננו זה,Deuteronomy 21:20
"Aderet Eliyahu, Ki Teitzei 53",סורר ומרה,Deuteronomy 21:20
"Aderet Eliyahu, Ki Teitzei 54",ורגמהו כל אנשי עירו באבני' ומת,Deuteronomy 21:21
"Aderet Eliyahu, Ki Teitzei 55",ורגמהו,Deuteronomy 21:21
"Aderet Eliyahu, Ki Teitzei 56",ובערת הרע מקרבך,Deuteronomy 21:21
"Aderet Eliyahu, Ki Teitzei 57",וכל ישראל ישמעו ויראו,Deuteronomy 21:21
"Aderet Eliyahu, Ki Teitzei 58",וכי יהיה באיש חטא משפט מות והומת,Deuteronomy 21:22
"Aderet Eliyahu, Ki Teitzei 59",באיש והומת,
"Aderet Eliyahu, Ki Teitzei 60",ותלית אתו,Deuteronomy 21:22
"Aderet Eliyahu, Ki Teitzei 61",אתו,
"Aderet Eliyahu, Ki Teitzei 62",על עץ,Deuteronomy 21:22
"Aderet Eliyahu, Ki Teitzei 63",לא תלין,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 64",כי קבור תקברנו ביום ההוא,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 65",קבור תקברני,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 66",ביום ההוא,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 67",כי קללת אלהים תלוי,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 68",ולא תטמא את אדמתך,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 69",אשר ה' אלהיך נתן לך,Deuteronomy 21:23
"Aderet Eliyahu, Ki Teitzei 70",נחלה,Deuteronomy 21:23
