Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Nitzavim 1",אתם נצבים,Deuteronomy 29:9
"Aderet Eliyahu, Nitzavim 2",היום כלכם,Deuteronomy 29:9
"Aderet Eliyahu, Nitzavim 3",לפני ה' אלהיכ',
"Aderet Eliyahu, Nitzavim 4",ראשיכם,Deuteronomy 29:9
"Aderet Eliyahu, Nitzavim 5",טפכם נשיכם וגו',Deuteronomy 29:10
"Aderet Eliyahu, Nitzavim 6",לעברך וגו' ובאלתו,
"Aderet Eliyahu, Nitzavim 7",כרת עמך היום,Deuteronomy 29:11
"Aderet Eliyahu, Nitzavim 8",כי את אשר ישנו פה עמנו עמד היום ואת אשר איננו פה עמנו היום,
"Aderet Eliyahu, Nitzavim 9",ותראו את שקוציהם ואת גלליהם עץ ואבן כסף וזהב אשר עמהם,Deuteronomy 29:16
"Aderet Eliyahu, Nitzavim 10",אשר עמהם,Deuteronomy 29:16
"Aderet Eliyahu, Nitzavim 11",פן יש בכם שרש פרה ראש ולענה,Deuteronomy 29:17
"Aderet Eliyahu, Nitzavim 12",ראש ולענה,Deuteronomy 29:17
"Aderet Eliyahu, Nitzavim 13",והיה בשמעו את דברי האלה הזאת והתברך בלבבו לאמ' שלום יהיה לי כי בשררו' לב,Deuteronomy 29:18
"Aderet Eliyahu, Nitzavim 14",למען ספות הרוה את הצמאה,Deuteronomy 29:18
"Aderet Eliyahu, Nitzavim 15",לא יאבה ה' סלח לו ואין מספיקין בידו לעשו' תשובה,
"Aderet Eliyahu, Nitzavim 16",כי אז יעשן וגו',Deuteronomy 29:19
"Aderet Eliyahu, Nitzavim 17",יעשן אף ה' וקנאתו,Deuteronomy 29:19
"Aderet Eliyahu, Nitzavim 18",ככל אלות הברית הכתובה בספר התור' הזה,Deuteronomy 29:20
"Aderet Eliyahu, Nitzavim 19",וראו את מכות הארץ ההיא ואת תחלאיה,Deuteronomy 29:21
"Aderet Eliyahu, Nitzavim 20",גפרית ומלח וגו',Deuteronomy 29:22
"Aderet Eliyahu, Nitzavim 21",על מה עשה ה' ככה לארץ הזאת,Deuteronomy 29:23
"Aderet Eliyahu, Nitzavim 22",מה חרי האף הגדול,Deuteronomy 29:23
"Aderet Eliyahu, Nitzavim 23",וילכו ויעבדו וגו' וישתחוו וגו' אשר לא ידעום ולא חלק להם,Deuteronomy 29:25
"Aderet Eliyahu, Nitzavim 24",הנסתרת לה' אלהינו,Deuteronomy 29:28
