Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Shmini 1","ויהי [מגילה יו""ד ע""ב] מלמד שהיתה שמחה לפניו כיום שנבראו בו שמים וארץ כתיב כא",
"Aderet Eliyahu, Shmini 2",ביום השמיני,Leviticus 9:1
"Aderet Eliyahu, Shmini 3",קרא משה לפי שכבד המקום לאהרן תחלה שנא' ועלית אתה ואהרן עמך אף משה כב,
"Aderet Eliyahu, Shmini 4",קח לך עגל,Leviticus 9:2
"Aderet Eliyahu, Shmini 5",לפני ה',
"Aderet Eliyahu, Shmini 6",כי היום ה' נראה אליכם,Leviticus 9:4
"Aderet Eliyahu, Shmini 7",ויקחו כו' אשר צוה כו' בזריזות כו',Leviticus 9:5
"Aderet Eliyahu, Shmini 8",ויאמר משה זה הדבר,Leviticus 9:6
"Aderet Eliyahu, Shmini 9",קרב אל המזבח,Leviticus 9:7
"Aderet Eliyahu, Shmini 10",ויקרב,Leviticus 9:8
"Aderet Eliyahu, Shmini 11",ויחטאהו כראשון,Leviticus 9:15
"Aderet Eliyahu, Shmini 12",ויעשה כמשפט,Leviticus 9:16
"Aderet Eliyahu, Shmini 13",וימלא כפו ממנה,Leviticus 9:17
"Aderet Eliyahu, Shmini 14",מלבד עלת הבקר,Leviticus 9:17
"Aderet Eliyahu, Shmini 15",זבח השלמים אשר לעם,Leviticus 9:18
"Aderet Eliyahu, Shmini 16",ואת החזות כו' כאן זכו למתנות,
"Aderet Eliyahu, Shmini 17",וישא אהרן את ידו,Leviticus 9:22
"Aderet Eliyahu, Shmini 18",ויברכם,Leviticus 9:22
"Aderet Eliyahu, Shmini 19",ויבא משה ואהרן אל אהל מועד כו',Leviticus 9:23
"Aderet Eliyahu, Shmini 20",ותצא אש מלפני ה' כו',Leviticus 9:24
"Aderet Eliyahu, Shmini 21",ויקחו בני אהרן אף הם בני אהרן בשמחתם כיון שראו אש חדשה שירדה משמי מרומי,
"Aderet Eliyahu, Shmini 22",ויקריבו כו' אש זרה,
"Aderet Eliyahu, Shmini 23",לפני ה',
"Aderet Eliyahu, Shmini 24","הוא אשר דבר ה' כו' עיין רש""י ז""ל שהם גדולים ממני וממך כיון שידע אהר",
"Aderet Eliyahu, Shmini 25",ויקר' משה אל מישאל ואל אלצפן,Leviticus 10:4
"Aderet Eliyahu, Shmini 26",דד אהרן,Leviticus 10:4
"Aderet Eliyahu, Shmini 27",ויאמר משה אל אהרן ולאלעזר ולאיתמר כו',Leviticus 10:6
"Aderet Eliyahu, Shmini 28",ראשיכ' אל תפרעו,Leviticus 10:6
"Aderet Eliyahu, Shmini 29",ובגדיכ' לא תפרמו,Leviticus 10:6
"Aderet Eliyahu, Shmini 30",את השרפה,
"Aderet Eliyahu, Shmini 31","ואחיכם כל בית ישראל עיין רש""י ז""ל",Leviticus 10:6
