Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Tazria 1",בני ישראל,Leviticus 12:2
"Aderet Eliyahu, Tazria 2","סנדל ושפיר מרוחם ושליא ויוצא מחותך מניין ת""ל תזריע וילדה כל זרע שתלד",
"Aderet Eliyahu, Tazria 3",וביום השמיני ימול בשר ערלתו,Leviticus 12:3
"Aderet Eliyahu, Tazria 4",ושלשים,Leviticus 12:4
"Aderet Eliyahu, Tazria 5",עד מלאת ימי טהרה,Leviticus 12:4
"Aderet Eliyahu, Tazria 6",תשב,Leviticus 12:5
"Aderet Eliyahu, Tazria 7",אחד,Leviticus 12:8
"Aderet Eliyahu, Tazria 8","אדם [אינו בת""כ רק בנדה דף מ""ד ע""א] לרבות אפי' תינוק בן יומו שמטמא בנגעים",
"Aderet Eliyahu, Tazria 9",וראה הכהן,Leviticus 13:3
"Aderet Eliyahu, Tazria 10",ושער בנגע,Leviticus 13:3
"Aderet Eliyahu, Tazria 11",ושער בנגע הפך לבן,Leviticus 13:3
"Aderet Eliyahu, Tazria 12",ומראה עמוק,
"Aderet Eliyahu, Tazria 13",וראהו,Leviticus 13:3
"Aderet Eliyahu, Tazria 14",בהרת לבנה,Leviticus 13:4
"Aderet Eliyahu, Tazria 15",ושערה,Leviticus 13:4
"Aderet Eliyahu, Tazria 16",ביום,Leviticus 13:5
"Aderet Eliyahu, Tazria 17",וראה הכהן כו' שנית,
"Aderet Eliyahu, Tazria 18",והנה כהה,Leviticus 13:6
"Aderet Eliyahu, Tazria 19",צרעת היא,Leviticus 13:8
"Aderet Eliyahu, Tazria 20","נגע כו' למדנו לשאת שמטמא במחיה מניין לכל שאר המראות ת""ל נגע צרעת",
"Aderet Eliyahu, Tazria 21",ופרט לראש וזקן עד שלא נקרחו ופרט לשחין ומכוה וקדח המורדין,
"Aderet Eliyahu, Tazria 22","וראה כו' קראו לו לראות נגע א' וצמח בו נגע אחר מניין שזקוק לו ת""",
"Aderet Eliyahu, Tazria 23",צרעת,Leviticus 13:9
"Aderet Eliyahu, Tazria 24",וטמאו הכהן לא יסגרנו,Leviticus 13:11
"Aderet Eliyahu, Tazria 25",וכסתה הצרעת,Leviticus 13:12
"Aderet Eliyahu, Tazria 26",את כל עור הנגע,Leviticus 13:12
"Aderet Eliyahu, Tazria 27",מראה עיני הכהן,
"Aderet Eliyahu, Tazria 28",לכל מראה עיני,Leviticus 13:12
"Aderet Eliyahu, Tazria 29",הוא,Leviticus 13:13
"Aderet Eliyahu, Tazria 30",וביום,Leviticus 13:14
"Aderet Eliyahu, Tazria 31",וביום הראות בו,Leviticus 13:14
"Aderet Eliyahu, Tazria 32",וטמאו,Leviticus 13:15
"Aderet Eliyahu, Tazria 33",או כי ישוב כו',Leviticus 13:16
"Aderet Eliyahu, Tazria 34",וטהר הכהן את הנגע טהור הוא,Leviticus 13:17
