Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Vayera 1",וירא אליו ה' וכו',Genesis 18:1
"Aderet Eliyahu, Vayera 2",ויאמר אדני אם נא מצאתי כו',Genesis 18:3
"Aderet Eliyahu, Vayera 3",יקח נא מעט מים כו',Genesis 18:4
"Aderet Eliyahu, Vayera 4",והשענו תחת העץ,Genesis 18:4
"Aderet Eliyahu, Vayera 5","וסעדו לבכם אמרז""ל לבבכם אין כתיב כאן כו' בלא יצה""ר שהתורה תבלין ליצה""ר אם פג",
"Aderet Eliyahu, Vayera 6",וימהר אברה' האהלה,Genesis 18:6
"Aderet Eliyahu, Vayera 7",וכן מנחת נסכים,
"Aderet Eliyahu, Vayera 8",ויקח בן בקר רך וטוב,Genesis 18:7
"Aderet Eliyahu, Vayera 9","ויקח חמאה וחלב הוא התורה כדדרשו רז""ל (ברכות ס""ג ע""ב) כי מיץ חלב יוצא חמא",
"Aderet Eliyahu, Vayera 10",ויאכלו,Genesis 18:8
"Aderet Eliyahu, Vayera 11","ויאמרו אליו איה שרה אשתך ששואלין לנשמה על הגוף כמ""ש (ברכות ח' ע""א) במערבא כ",
"Aderet Eliyahu, Vayera 12",ויאמ' שוב אשוב אליך כעת חיה לעת התחיה כמו שמפרש והולך והנה בן לשרה אשת,
"Aderet Eliyahu, Vayera 13",למועד מהו למועד,
"Aderet Eliyahu, Vayera 14","ואותו היו' עתיד כו' ר""ל שלכן נקרא הבן יצחק ע""ש הצחוק צחוק עשה לי אלקי",
"Aderet Eliyahu, Vayera 15",ויקומו משם האנשים שאלו ג' מלאכים א' הולך לבשר את שרה ושנים הולכין לסדום לדו,
"Aderet Eliyahu, Vayera 16",ואברהם היו יהיה כו',Genesis 18:18
"Aderet Eliyahu, Vayera 17","כי ידעתיו כמ""ש כי יודע ה' דרך צדיקים",
"Aderet Eliyahu, Vayera 18","אולי יחסרון חמשים הצדיקים חמשה כו' הנה ידוע שחמשי' הן חמש' כ""א י' מאמרו' ואמר",
