הלכות דיינים,Jurisprudence,1,27
הלכות עדות,Testimony,28,38
הלכות הלואה,Loans,39,74
הלכות טוען ונטען,Plaintiff and Defendant,75,96
הלכות גביית מלוה,Collecting Debts,97,106
הלכות גביית חוב מהיתומים,Collecting Debt from Orphans,107,110
הלכות גביית חוב מנכסים משועבדים,Collecting Debt from Liened Property,111,116
הלכות אפותיקי,Mortgage Loans,117,120
הלכות העושה שליח לגבות חובו,Debt Collection by Agent,121,121
הלכות הרשאה,Authorizations,122,128
הלכות ערב,Guarantors,129,132
הלכות חזקת מטלטלין,Ownership of Movable Property,133,139
הלכות חזקת קרקעות,Ownership of Immovable Property,140,152
הלכות נזקי שכנים,Neighbor Disputes,153,156
הלכות שותפים בקרקע,Land Partnerships,157,170
הלכות חלוקת שותפות,Partnership Termination,171,174
הלכות מצרנות,Pre emption Rights,175,175
הלכות שותפים,Partnerships,176,181
הלכות שלוחין,Agents,182,188
הלכות מקח וממכר,Business Dealings,189,226
הלכות אונאה ומקח טעות,Ona'ah,227,240
הלכות מתנה,Gifts,241,249
הלכות מתנת שכיב מרע,Deathbed Gifts,250,258
הלכות השבת אבידה,Lost Property,259,275
הלכות נחלות,Inheritances,276,290
הלכות פיקדון,Deposit,291,302
הלכות שומר שכר,Paid Bailee,303,305
הלכות אומנים,Skilled Labor,306,306
הלכות שוכר,Hiring,307,319
הלכות חכירות וקבלנות,Leases and Contracts,320,330
הלכות שכירות פועלים,Employing Labor,331,339
הלכות שאלה,Borrowing,340,347
הלכות גניבה,Theft,348,358
הלכות גזילה,Robbery,359,377
הלכות נזיקין,Tort,378,388
הלכות נזקי ממון,Monetary Damages,389,419
הלכות חובל בחבירו,Personal Injury,420,427
