1,ה' צבאות אם ראה תראה בעני אמתך
2,ה' ממית ומחיה מוריד שאול ויעל
3,ומעיל קטן תעשה לו אמו
4,ונר אלקים טרם יכבה
5,המלחמה בפלשתים
6,וארון האלקים נלקח
7,הפלשתים
8,"""והלוים הורידו את ארון ה'"" עליית האומה ממשבר התבוסה"
9,היתר הבמות
10,ולא הלכו בניו בדרכיו
11,"כי לא אתך מאסו, כי אתי מאסו ממלך עליהם"
12,הדור
13,מלכות שעה
14,המלכת שאול
15,המלחמה בנחש העמוני
16,ההמתנה בגילגל
17,יונתן; יהונתן
18,הקרע
19,ושמע שאול והרגני
20,ויאמר ה' קום משחהו כי זה הוא
21,"משחהו, וימשח, משיח"
22,מלכות עולמים
23,ורוח ה' סרה מעם שאול וביעתתו רוח רעה מאת ה'
