2a,5/12
2b,5/11
3a,2/5
3b,2/5
4a,4/7
4b,3/6
5a,5/15
5b,6/11
6a,2/2
6b,2/4
7a,3/3
7b,4/6
8a,4/5
8b,3/4
9a,5/7
9b,2/5
10a,4/4
10b,2/2
11a,4/7
11b,2/4
12a,1/1
12b,1/2
13a,9/23
13b,3/5
14a,5/5
14b,2/3
15a,1/2
15b,1/3
16a,0/6
17a,1/5
17b,5/6
18a,2/3
18b,1/2
19a,2/4
19b,1/2
20a,0/4
20b,1/3
21a,4/10
21b,4/19
22a,1/4
22b,4/4
23a,1/3
23b,5/34
24b,2/6
25a,3/3
25b,1/2
26a,3/5
28a,3/5
28b,3/4
29a,6/12
29b,1/3
30b,1/8
31a,4/5
31b,5/18
32a,1/1
32b,5/9
33a,0/2
33b,1/2
34a,2/5
34b,2/11
35a,1/2
35b,0/1
36a,4/7
36b,1/3
37a,2/3
38a,2/2
38b,1/3
39b,2/2
40a,0/3
40b,1/1
41a,2/4
41b,2/4
42a,2/3
42b,3/4
43a,0/6
43b,2/4
44a,1/7
44b,2/4
45a,4/14
45b,6/17
46b,1/4
47b,3/45
48a,2/3
48b,3/10
49a,4/6
49b,1/2
50a,1/6
50b,4/4
51a,2/4
51b,2/3
52a,2/4
52b,1/2
53a,0/1
53b,2/2
54b,1/2
55a,1/2
55b,4/12
56a,1/4
56b,1/4
57a,1/2
57b,1/3
58a,0/3
58b,2/4
59a,2/5
60a,2/2
60b,3/6
