2a,1/19
2b,1/4
3a,4/6
3b,6/19
4b,3/8
5a,5/6
5b,5/14
6b,3/4
7a,4/7
7b,4/10
8a,4/10
8b,3/19
9b,4/4
10a,7/11
10b,5/11
11a,9/46
12a,4/8
12b,5/7
13a,2/5
13b,2/5
14a,8/17
14b,2/4
15a,3/11
16b,6/7
17a,7/24
18b,5/6
19a,1/12
19b,0/3
21a,1/7
22a,1/4
23b,1/3
24a,1/4
25b,5/7
26a,0/2
26b,5/6
27a,2/4
27b,3/9
28a,4/8
28b,2/2
29a,2/2
29b,3/3
30a,2/6
30b,2/5
31a,1/5
31b,1/1
32a,3/5
32b,3/4
33a,4/13
37a,2/4
37b,1/4
38a,2/3
38b,3/4
39b,5/9
40a,3/86
41a,2/2
41b,1/3
42a,6/19
42b,5/30
43a,8/19
43b,4/14
44a,1/7
44b,3/9
45a,3/7
45b,2/4
46a,2/8
46b,2/6
47a,1/1
47b,2/3
48a,4/9
48b,6/9
49a,3/5
49b,4/15
50a,1/2
50b,1/12
51a,4/6
51b,2/25
53b,1/6
54a,1/5
54b,2/3
55a,2/4
55b,2/3
56a,5/9
56b,2/7
57a,2/6
57b,3/3
58a,2/32
58b,3/5
59a,2/4
59b,6/7
60a,3/6
60b,1/2
65a,2/10
66a,2/9
66b,0/6
67a,4/5
67b,3/5
68a,4/12
68b,1/1
69a,5/9
69b,0/3
70a,2/2
72b,0/1
73b,1/2
74a,3/8
74b,3/4
75a,1/2
75b,1/3
77b,2/6
78a,4/16
79a,3/47
79b,3/8
80a,4/38
80b,2/3
81a,2/6
81b,2/4
82a,4/6
83a,3/8
83b,4/5
84a,2/3
84b,3/8
85a,5/9
85b,4/4
86a,8/11
86b,4/5
87a,4/12
87b,1/3
88a,1/1
88b,1/4
89a,5/12
89b,5/17
90b,2/9
91b,4/19
93b,2/5
94a,5/9
95b,0/6
96b,3/16
97b,2/4
98a,3/25
99b,4/9
100a,4/27
101b,4/6
102a,6/6
102b,4/9
103a,3/15
103b,1/17
105b,1/1
106a,6/7
106b,3/5
107a,2/4
107b,3/4
108a,4/12
108b,3/8
109a,4/21
110a,2/5
110b,3/6
111a,3/4
111b,7/20
112a,1/1
112b,2/3
113a,2/2
113b,3/16
114b,2/20
115b,4/18
117b,1/2
118a,1/2
118b,1/8
120a,8/11
120b,5/13
121a,3/6
121b,3/6
122a,2/2
122b,1/3
123a,4/4
124a,0/2
124b,1/3
125a,2/7
126a,1/3
126b,3/3
127a,5/8
127b,4/7
128b,2/3
129a,2/3
130a,4/6
130b,7/9
131a,4/11
132a,5/8
132b,3/6
133a,2/5
133b,2/5
134a,1/4
134b,4/7
135a,4/9
135b,1/3
136b,5/9
137b,2/2
138a,1/3
138b,3/6
139a,2/2
139b,6/9
140a,3/10
140b,2/3
141a,6/11
141b,5/8
142a,7/50
