2a,1/13
2b,1/16
3a,0/3
3b,1/5
4a,1/7
5a,1/9
5b,1/12
6a,0/14
7a,0/14
7b,1/12
8a,0/6
8b,0/3
9a,3/35
9b,3/11
10a,1/3
11a,0/17
12a,0/2
13a,3/16
13b,1/18
14a,1/7
14b,2/3
15a,3/10
15b,2/12
16a,0/4
16b,2/5
17a,3/8
17b,4/10
18a,9/26
18b,0/1
19b,1/6
20a,4/11
20b,1/2
21a,2/6
21b,0/5
22a,3/9
22b,0/1
23a,4/12
23b,4/5
24a,3/8
24b,2/7
25a,1/1
25b,2/3
26a,0/2
26b,2/7
27a,4/7
27b,2/3
29a,9/26
29b,2/3
30a,2/8
30b,6/8
41b,2/7
42a,1/9
42b,0/3
43a,3/8
43b,5/7
44a,3/6
44b,0/3
45a,0/3
45b,3/3
46a,2/4
46b,2/4
47a,2/9
47b,1/5
48a,1/5
48b,6/7
49a,4/7
49b,2/4
50a,1/5
50b,1/2
51a,1/1
51b,1/8
52a,0/3
52b,2/3
53a,3/4
54a,1/1
54b,2/6
55a,0/1
56a,1/7
56b,0/2
58a,1/2
58b,4/7
59a,3/8
59b,1/3
60a,2/13
60b,4/19
61b,0/3
62a,0/1
70a,2/15
70b,1/3
71a,2/3
71b,1/1
72a,2/3
75a,4/7
75b,2/9
76a,0/3
76b,2/3
77a,1/5
77b,1/1
78b,0/3
82a,3/4
83a,5/16
83b,1/2
84a,1/2
85a,0/1
87a,1/10
87b,1/2
88a,0/1
91a,0/1
94a,0/2
94b,0/3
95b,3/6
96a,4/5
96b,0/4
97b,3/4
98a,3/5
98b,3/10
99a,2/4
99b,4/6
100a,1/4
100b,2/7
101a,1/2
102b,3/4
103a,3/4
103b,3/4
104b,0/2
105b,1/1
106a,1/3
106b,0/2
107a,1/3
