2a,5/8
2b,7/7
3a,4/6
3b,3/3
4a,5/5
4b,5/5
5a,3/4
5b,5/5
6b,2/2
7b,8/8
8a,1/2
8b,2/4
9a,9/10
9b,7/9
10a,2/2
10b,6/6
11a,4/4
11b,4/7
12a,8/11
12b,4/9
13a,5/8
13b,3/6
14a,4/5
14b,1/1
15a,1/1
15b,2/2
16a,1/1
17a,2/2
17b,4/13
18a,3/3
18b,3/3
19a,2/3
19b,2/2
20b,2/4
21a,6/9
21b,5/5
22a,3/5
22b,6/10
23a,6/7
23b,4/5
24a,2/2
24b,3/3
25b,1/1
26a,2/2
26b,3/3
27a,2/2
27b,3/3
28a,4/5
28b,2/2
29b,2/4
30a,3/3
30b,4/4
31a,3/4
31b,5/6
32a,2/2
32b,3/4
33a,5/5
33b,1/1
34b,1/2
35a,5/5
35b,2/2
36a,3/3
36b,3/3
37a,3/4
37b,5/6
38b,4/5
40a,3/4
40b,0/2
41a,4/4
41b,6/8
42a,3/5
42b,9/10
43a,1/1
43b,3/3
44a,7/14
44b,5/7
45a,6/7
45b,5/6
46a,5/5
46b,10/12
47a,2/3
47b,5/9
48a,5/6
48b,7/11
49a,2/2
49b,5/11
50a,1/2
51a,1/1
51b,5/10
52a,3/7
52b,5/6
54b,4/5
55a,2/2
55b,2/2
56b,4/13
58a,4/7
58b,4/6
59b,5/6
60b,3/4
61a,3/3
61b,1/2
64b,4/4
65a,2/2
65b,2/2
66a,11/11
67b,6/6
68a,4/5
68b,2/4
69a,2/2
69b,5/14
70b,5/8
71a,3/3
71b,6/7
72a,1/2
72b,1/11
