2a,0/15
3b,0/9
4a,3/18
4b,2/7
5a,0/5
5b,0/13
6a,1/3
6b,0/2
7a,1/6
7b,0/4
8a,0/10
8b,1/3
9a,0/3
9b,1/14
10a,0/6
10b,0/8
11a,2/6
11b,0/3
12a,0/5
12b,1/1
13a,0/3
13b,1/1
14a,0/3
14b,1/2
15b,0/1
16a,0/1
17a,0/4
17b,0/2
18a,0/4
18b,0/3
19b,0/2
20a,1/3
20b,0/3
21b,0/29
22a,2/16
22b,0/6
23a,2/13
23b,0/3
24a,0/2
24b,2/8
25b,2/6
26a,0/12
27a,0/2
28a,2/3
28b,3/4
29a,0/3
29b,0/2
30a,0/3
30b,1/4
31a,1/5
31b,2/2
34a,1/7
34b,1/1
35a,0/3
36a,2/2
36b,0/39
37a,1/1
38b,1/3
42a,0/5
42b,2/7
43a,0/1
43b,0/4
44a,1/7
44b,0/1
45a,0/5
45b,0/2
46a,0/2
46b,0/2
47a,0/1
47b,0/1
48a,0/1
48b,0/1
49a,1/3
49b,1/5
51b,0/1
52a,0/2
53a,0/5
53b,0/1
54a,0/1
54b,1/2
57a,0/3
57b,0/1
58a,0/2
59a,1/1
59b,1/1
61a,0/1
63a,1/1
67b,0/7
68a,1/1
68b,0/5
69a,1/6
69b,1/9
70a,1/5
70b,3/4
71a,0/1
72a,0/2
72b,0/5
73a,1/4
73b,0/2
74a,3/3
74b,0/2
75a,2/9
75b,1/3
76b,0/1
77a,0/1
77b,1/5
78a,0/2
78b,1/4
79a,1/1
79b,2/12
80a,1/7
81a,1/6
81b,1/4
82a,1/2
82b,1/7
83b,4/7
84a,1/5
84b,1/3
86a,0/27
86b,0/3
87a,0/5
87b,0/10
88a,0/7
88b,0/1
89b,1/6
90a,0/2
90b,1/2
91a,1/2
91b,1/2
92a,0/3
92b,0/2
93a,1/3
93b,1/4
94a,1/2
94b,1/3
95a,1/3
95b,0/2
96b,2/6
97a,0/6
97b,1/1
99b,1/2
100b,0/1
101a,1/1
102a,3/4
102b,2/7
103a,1/5
104a,0/1
104b,1/3
105a,0/1
105b,0/6
106a,1/9
110b,0/2
111a,0/4
122b,2/3
123a,3/3
123b,5/7
124a,2/2
124b,1/4
125b,4/8
126a,3/9
126b,1/4
127a,3/3
127b,4/7
128a,3/4
128b,1/2
129a,0/1
130a,2/6
130b,2/2
131a,2/6
131b,2/7
132a,4/8
132b,3/8
133a,3/7
133b,2/7
134b,2/6
135a,3/13
135b,3/9
136a,3/8
136b,2/3
137a,3/6
137b,2/5
139a,2/2
139b,1/1
140b,0/11
141a,1/3
141b,0/1
142a,4/4
142b,3/3
143a,2/5
143b,1/8
144b,3/5
145a,3/4
145b,2/2
146a,1/1
146b,2/2
147b,3/4
148a,2/3
148b,2/6
149a,4/4
149b,1/2
150a,3/5
150b,3/3
151a,2/2
151b,1/1
152a,1/1
153a,2/6
153b,2/2
154b,2/5
157a,3/10
157b,0/1
