2a,0/7
2b,1/3
3a,0/7
3b,1/3
4a,0/2
4b,1/4
5a,0/10
6a,0/2
6b,0/8
7a,0/6
7b,0/5
8a,0/2
8b,0/5
9a,0/4
9b,0/3
10a,2/6
11a,1/1
11b,0/1
12a,1/3
12b,0/1
13a,1/10
14a,0/2
14b,2/9
15a,1/14
15b,0/3
16a,0/7
16b,1/12
17a,1/12
18a,0/2
18b,1/13
19a,0/1
19b,0/8
20a,1/4
20b,0/5
21a,0/5
21b,0/10
22a,2/5
22b,1/13
23a,0/6
23b,1/10
24a,0/13
24b,2/11
25a,0/3
25b,0/6
26a,0/2
26b,0/2
27a,1/4
27b,1/8
28a,0/2
29a,1/8
29b,0/7
30a,0/16
30b,0/4
31a,0/1
31b,0/6
32a,0/4
32b,1/7
33b,1/2
34b,0/7
35a,1/3
35b,1/3
36a,1/9
36b,0/1
37a,2/20
37b,0/4
38a,2/5
39a,0/9
39b,0/15
40a,2/37
40b,1/8
41a,2/4
41b,2/5
42a,1/4
43a,0/4
43b,5/19
44a,1/5
44b,1/7
45a,1/9
45b,1/5
46a,0/4
46b,0/2
47a,1/7
47b,0/4
48a,1/2
49a,1/2
49b,0/13
