Hebrew Section Title,English Section Title,Simanim,,
ברכות השחר,Laws for Morning Blessings,1-12.,,
ציצית ותפילין,Laws of Fringes and Phylacteries,13-24,,
פסוקי דזמרה וקריאת שמע ותפילה,"Laws of Pesukey Dezimra, Reciting Shema, and Prayer",24-69,,
ברכות,Laws of Blessings,70-76,,
נטילת ידים וברכת המזון,Laws of Washing One's Hands for a Meal and Grace After Meals,77-87,,
מאכלות אסורות,Laws of Forbidden Foods,88-95,,
"ליקוטי דינים מהלכות ס""ת מזוזה מעקה מתנות כהונה מו""מ וטומאת מת","Selected Rulings from the Laws of Torah Scrolls, Mezuzah, Protective Fences, Priestly Gifts, Business Dealings, and Impurity of Death",96-108,,
שבת,Laws of the Sabbath,109-150,,
ראש חודש,Laws of the New Moon,151-161,,
יום טוב,Laws of the Festival Day,162-175,,
פסח,Laws of Passover,176-196,,
תשעה באב,Laws of the Ninth of Av,197-201,,
ימים נוראים,Laws of the Days of Awe,202-216,,
סוכה,Laws of the Festival of Booths,217-234,,
חנוכה,Laws of the Festival of Dedication,235-241,,
פורים,Laws of Purim,242-250,,
