הלכות שחיטה,Ritual Slaughter,1
הלכות טריפות,Unslaughterable Animals,29
הלכות מתנות כהונה,Priestly Gifts,61
הלכות אבר מן החי,A Limb from a Live Animal,62
הלכות בשר שנתעלם מן העין,Meat that was Unobserved,63
הלכות חלב,Prohibited Fats,64
הלכות דם,Blood,65
הלכות מליחה,Salting,69
סימני בהמה וחיה טהורה,Domesticated and Undomesticated Animals,79
דיני דברים היוצאים מן החי,Things that Come From a Live Animal,81
דיני עוף טהור,Birds,82
דיני דגים,Fish,83
דיני תולעים,Insects,84
הלכות ביצים,Eggs,86
הלכות בשר בחלב,Meat with Milk,87
הלכות תערובות,Admixtures,98
דיני פת ושלקות וחלב וגבינה של עובדי כוכבים,Food of Idol Worshipers,112
הלכות הכשר כלים,The Koshering of Implements,120
הלכות נותן טעם לפגם,That Which Gives Detrimental Taste,122
הלכות יין נסך,Libational Wine,123
הלכות כלי היין,Wine Vessels,135
הלכות עבודת כוכבים,Idolatry,139
הלכות ריבית,Interest,159
הלכות חקות העובדי כוכבים,Practices of Idolaters,178
הלכות מעונן ומכשף,Divination and Magic,179
הלכות כתובת קעקע וקריחה,Tattooing and the Making of Bald Spots,180
הלכות גילוח,Shaving,181
הלכות לא ילבש גבר,A Man Shall Not Wear a Woman's Garment,182
הלכות נדה,The Menstruant,183
הלכות מקואות,Ritual Baths,201
הלכות נדרים,Vows,203
הלכות שבועות,Oaths,236
הלכות כבוד אב ואם,Honoring One's Father and Mother,240
"הלכות כבוד רבו ות""ח",Honoring One's Rabbi and a Torah Scholar,242
הלכות כבוד תלמיד חכם,Honoring a Torah Scholar,243
הלכות מלמדים,Teachers,245
הלכות תלמוד תורה,Torah Study,246
הלכות צדקה,Charity,247
הלכות מילה,Circumcision,260
הלכות עבדים,Slaves,267
הלכות גרים,Converts,268
הלכות ספר תורה,A Torah Scroll,270
הלכות מזוזה,Mezuzah,285
הלכות שלוח הקן,Sending Away the Mother Bird,292
הלכות חדש,New Grain,293
הלכות ערלה,Orlah,294
הלכות כלאי אילן,Interspecies Mingling of Trees,295
הלכות כלאי הכרם,Interspecies Mingling of the Vineyard,296
הלכות כלאי זרעים,Interspecies Mingling of Vegetation,297
הלכות כלאי בהמה,Interspecies Mingling of Animals,297
הלכות כלאי בגדים,Interspecies Mingling of Clothing,298
הלכות פדיון בכור,Redemption of the Firstborn,305
הלכות בכור בהמה טהורה,The Firstborn of a Kosher Animal,306
הלכות פטר חמור,The First Birth of a Donkey,321
הלכות חלה,Challah,322
הלכות תרומות ומעשרות ומתנות עניים וראשית הגז,Tithes,331
הלכות נידוי וחרם,Excommunication,334
הלכות ביקור חולים ורפואה ונוטה למות וגוסס,Visiting the Sick,335
הלכות קריעה,Rending One's Clothes,340
הלכות אנינות,First Day Mourning,341
הלכות אבילות,Mourning,342
