Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Likutei Moharan 83:2,Sotah 17a:15,disambiguator found no match
Tosafot on Niddah 56a:2:1,Yevamot 105a:20,disambiguator found a better match,Tosafot on Niddah 56a:1:3,Yevamot 105a:20
Likutei Moharan 282:7,Shabbat 33b:4,disambiguator found a better match,Likutei Moharan 282:4:2,Shabbat 33b:4
Likutei Moharan 282:7,Shabbat 11a:10,disambiguator found no match
Tosafot on Meilah 12b:28:1,Sukkah 48a:9,disambiguator found a better match,Tosafot on Meilah 12b:11:1,Sukkah 48a:9
Tosafot on Bekhorot 29b:9:1,Bava Metzia 31b:13,disambiguator found a better match,Tosafot on Bekhorot 29b:3:1,Bava Metzia 31b:13
Tosafot on Bekhorot 29b:9:1,Bava Metzia 76b:4,disambiguator found a better match,Tosafot on Bekhorot 29b:3:1,Bava Metzia 76b:4
Tosafot on Bekhorot 29b:9:1,Bava Kamma 56b:9,disambiguator found a better match,Tosafot on Bekhorot 29b:3:1,Bava Kamma 56b:9
Tosafot on Bekhorot 29b:9:1,Bava Metzia 68a:11,disambiguator found a better match,Tosafot on Bekhorot 29b:3:1,Bava Metzia 68a:11
Tosafot on Niddah 44a:39:1,Yevamot 35b:7,disambiguator found a better match,Tosafot on Niddah 44a:12:1,Yevamot 35b:7
Tosafot on Niddah 32a:24:1,Chullin 120a:1,disambiguator found a better match,Tosafot on Niddah 32a:9:1,Chullin 120a:1
Rashi on Temurah 21b:32:1,Zevachim 57a:5,disambiguator found a better match,Rashi on Temurah 21b:13:1,Zevachim 57a:5
Tosafot on Niddah 46b:34:1,Ketubot 59a:12,disambiguator found a better match,Tosafot on Niddah 46b:13:1,Ketubot 59a:12
Tosafot on Keritot 22a:50:1,Chullin 36a:2,disambiguator found a better match,Tosafot on Keritot 22a:14:1,Chullin 36a:2
Tosafot on Arakhin 21b:37:1,Bava Metzia 83a:12,disambiguator found a better match,Tosafot on Arakhin 21b:15:1,Bava Metzia 83a:12
Tosafot on Meilah 3a:8:1,Zevachim 84a:7,disambiguator found a better match,Tosafot on Meilah 3a:4:1,Zevachim 84a:7
Tosafot on Meilah 3a:8:1,Zevachim 66b:13,disambiguator found a better match,Tosafot on Meilah 3a:4:1,Zevachim 66b:13
Tosafot on Meilah 3a:8:1,Zevachim 66b:9,disambiguator found a better match,Tosafot on Meilah 3a:4:1,Zevachim 66b:9
Tosafot on Meilah 3a:8:1,Zevachim 68b:2,disambiguator found a better match,Tosafot on Meilah 3a:4:1,Zevachim 68b:2
Tosafot on Meilah 3a:8:1,Zevachim 66a:7,disambiguator found a better match,Tosafot on Meilah 3a:4:1,Zevachim 66a:7
Tosafot on Niddah 40b:3:3,Zevachim 84b:7,disambiguator found a better match,Tosafot on Niddah 40b:1:1,Zevachim 84b:7
Tosafot on Niddah 40b:3:3,Menachot 79a:10,disambiguator found a better match,Tosafot on Niddah 40b:2:2,Menachot 79a:10
Rashi on Keritot 3a:38:1,Sanhedrin 54b:2,disambiguator found a better match,Rashi on Keritot 3a:14:1,Sanhedrin 54b:2
Tosafot on Bekhorot 2b:54:2,Shabbat 118b:13,disambiguator found a better match,Tosafot on Bekhorot 2b:19:3,Shabbat 118b:13
Tosafot on Bekhorot 2b:54:1,Chullin 133a:17,disambiguator found a better match,Tosafot on Bekhorot 2b:19:2,Chullin 133a:17
Tosafot on Niddah 73a:26:1,Pesachim 43b:10,disambiguator found a better match,Tosafot on Niddah 73a:11:1,Pesachim 43b:10
