Index Title,Genesis
Version Title,"The Contemporary Torah, Jewish Publication Society, 2006"
Language,en
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002529489/NLI
Version Notes,"In honor of all women and girls who study, teach, and transform Torah."
Genesis 1:1,"When God began to create<sup>*</sup><sup>*</sup><i class=""footnote""><b>When God began to create </b>Others “In the beginning God created.”</i> heaven and earth—"
Genesis 1:2,"the earth being unformed and void, with darkness over the surface of the deep and a wind from<sup>*</sup><sup>*</sup><i class=""footnote""><b>a wind from </b>Others “the spirit of.”</i> God sweeping over the water—"
Genesis 1:3,"God said, “Let there be light”; and there was light."
Genesis 1:4,"God saw that the light was good, and God separated the light from the darkness."
Genesis 1:5,"God called the light Day and called the darkness Night. And there was evening and there was morning, a first day.<sup>*</sup><sup>*</sup><i class=""footnote""><b>a first day </b>Others “one day.”</i> "
Genesis 1:6,"God said, “Let there be an expanse in the midst of the water, that it may separate water from water.”"
Genesis 1:7,"God made the expanse, and it separated the water which was below the expanse from the water which was above the expanse. And it was so."
Genesis 1:8,"God called the expanse Sky. And there was evening and there was morning, a second day."
Genesis 1:9,"God said, “Let the water below the sky be gathered into one area, that the dry land may appear.” And it was so."
Genesis 1:10,God called the dry land Earth and called the gathering of waters Seas. And God saw that this was good.
Genesis 1:11,"And God said, “Let the earth sprout vegetation: seed-bearing plants, fruit trees of every kind on earth that bear fruit with the seed in it.” And it was so."
Genesis 1:12,"The earth brought forth vegetation: seed-bearing plants of every kind, and trees of every kind bearing fruit with the seed in it. And God saw that this was good."
Genesis 1:13,"And there was evening and there was morning, a third day."
Genesis 1:14,"God said, “Let there be lights in the expanse of the sky to separate day from night; they shall serve as signs for the set times—the days and the years;"
Genesis 1:15,and they shall serve as lights in the expanse of the sky to shine upon the earth.” And it was so.
Genesis 1:16,"God made the two great lights, the greater light to dominate the day and the lesser light to dominate the night, and the stars."
Genesis 1:17,"And God set them in the expanse of the sky to shine upon the earth,"
Genesis 1:18,"to dominate the day and the night, and to separate light from darkness. And God saw that this was good."
Genesis 1:19,"And there was evening and there was morning, a fourth day."
Genesis 1:20,"God said, “Let the waters bring forth swarms of living creatures, and birds that fly above the earth across the expanse of the sky.”"
Genesis 1:21,"God created the great sea monsters, and all the living creatures of every kind that creep, which the waters brought forth in swarms, and all the winged birds of every kind. And God saw that this was good."
Genesis 1:22,"God blessed them, saying, “Be fertile and increase, fill the waters in the seas, and let the birds increase on the earth.”"
Genesis 1:23,"And there was evening and there was morning, a fifth day."
Genesis 1:24,"God said, “Let the earth bring forth every kind of living creature: cattle, creeping things, and wild beasts of every kind.” And it was so."
Genesis 1:25,"God made wild beasts of every kind and cattle of every kind, and all kinds of creeping things of the earth. And God saw that this was good."
Genesis 1:26,"And God said, “Let us make humankind in our image, after our likeness. They shall rule the fish of the sea, the birds of the sky, the cattle, the whole earth, and all the creeping things that creep on earth.”<br>"
Genesis 1:27,"And God created humankind in the divine image,<br>creating it in the image of God—<br>creating them male and female."
Genesis 1:28,"God blessed them and God said to them, “Be fertile and increase, fill the earth and master it; and rule the fish of the sea, the birds of the sky, and all the living things that creep on earth.”"
Genesis 1:29,"God said, “See, I give you every seed-bearing plant that is upon all the earth, and every tree that has seed-bearing fruit; they shall be yours for food."
Genesis 1:30,"And to all the animals on land, to all the birds of the sky, and to everything that creeps on earth, in which there is the breath of life, [I give] all the green plants for food.” And it was so."
Genesis 1:31,"And God saw all that had been made, and found it very good. And there was evening and there was morning, the sixth day."
Genesis 2:1,"The heaven and the earth were finished, and all their array."
Genesis 2:2,"On the seventh day God finished the work that had been undertaken: [God] ceased<sup>*</sup><sup>*</sup><i class=""footnote""><b>ceased </b>Or “rested.”</i> on the seventh day from doing any of the work."
Genesis 2:3,And God blessed the seventh day and declared it holy—having ceased on it from all the work of creation that God had done.
